game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myAUSTRIA_mydiplodocus_high_oppcicero_nopress_seed0_v1,0,1v6,AUSTRIA,diplodocus_high,cicero_nopress,solo_18sc_FRANCE,F1911R,50,1,4,18,1,0,0,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,1,0,0,0,1,0,0,31,48,20,23,45,82,18,55,9,15,17,26,29,44
run_1v6_myAUSTRIA_mydiplodocus_high_oppcicero_nopress_seed3_v1,3,1v6,AUSTRIA,diplodocus_high,cicero_nopress,stop_after_W1913A,W1913A,59,17,0,8,9,0,0,0,0.6658986175115207,0.0,0.14746543778801843,0.18663594470046083,0.0,0.0,0.0,2,5,3,0,0,0,0,0,0,0,1,0,0,0,7,0,0,5,1,0,0,0,0,0,0,1,1,0,48,76,5,6,51,55,50,61,22,28,14,29,9,21
run_1v6_myAUSTRIA_mydiplodocus_high_oppcicero_nopress_seed1_v1,1,1v6,AUSTRIA,diplodocus_high,cicero_nopress,stop_after_W1913A,W1913A,60,9,0,16,0,7,2,0,0.2076923076923077,0.0,0.6564102564102564,0.0,0.12564102564102564,0.010256410256410256,0.0,2,5,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,6,0,0,2,0,0,0,0,0,0,0,40,68,9,9,44,84,30,42,31,44,25,49,11,20
run_1v6_myAUSTRIA_mydiplodocus_high_oppcicero_nopress_seed2_v1,2,1v6,AUSTRIA,diplodocus_high,cicero_nopress,stop_after_W1913A,W1913A,60,0,0,7,13,12,0,2,0.0,0.0,0.13387978142076504,0.46174863387978143,0.39344262295081966,0.0,0.01092896174863388,0,2,0,0,0,0,0,0,1,0,2,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,1,0,10,22,11,13,41,54,71,106,51,72,6,12,37,55
run_1v6_myAUSTRIA_mydiplodocus_high_oppcicero_nopress_seed5_v1,5,1v6,AUSTRIA,diplodocus_high,cicero_nopress,solo_18sc_FRANCE,F1912R,55,6,0,18,0,10,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,2,0,0,0,0,0,0,0,3,0,0,0,1,0,0,2,4,0,0,1,3,0,1,0,1,1,0,42,57,6,7,64,98,21,33,29,74,14,26,11,17
run_1v6_myAUSTRIA_mydiplodocus_high_oppcicero_nopress_seed6_v1,6,1v6,AUSTRIA,diplodocus_high,cicero_nopress,solo_18sc_ITALY,F1912M,54,0,1,9,6,18,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17,26,14,23,38,79,39,47,49,66,17,28,23,45
run_1v6_myAUSTRIA_mydiplodocus_high_oppcicero_nopress_seed4_v1,4,1v6,AUSTRIA,diplodocus_high,cicero_nopress,max_phases,F1913R,60,0,7,10,0,3,7,7,0.0,0.19140625,0.390625,0.0,0.03515625,0.19140625,0.19140625,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,1,0,0,16,22,24,29,28,43,29,54,32,43,31,50,34,45
run_1v6_myAUSTRIA_mydiplodocus_high_oppcicero_nopress_seed7_v1,7,1v6,AUSTRIA,diplodocus_high,cicero_nopress,stop_after_W1913A,W1913A,58,0,9,5,0,4,0,16,0.0,0.21428571428571427,0.06613756613756613,0.0,0.042328042328042326,0.0,0.6772486772486772,0,1,0,0,1,0,2,0,2,2,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,15,21,32,39,28,44,20,26,22,27,19,26,48,65
run_1v6_myAUSTRIA_mydiplodocus_high_oppcicero_nopress_seed8_v1,8,1v6,AUSTRIA,diplodocus_high,cicero_nopress,solo_18sc_ENGLAND,F1910R,45,4,18,4,0,7,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,23,39,54,72,25,40,5,8,16,16,19,32,7,12
run_1v6_myAUSTRIA_mydiplodocus_high_oppcicero_nopress_seed9_v1,9,1v6,AUSTRIA,diplodocus_high,cicero_nopress,solo_18sc_FRANCE,F1909R,41,0,0,18,0,13,3,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,18,9,11,37,68,8,23,44,60,23,44,14,19
