game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myENGLAND_mydiplodocus_high_oppcicero_nopress_seed1_v1,1,1v6,ENGLAND,diplodocus_high,cicero_nopress,solo_18sc_ENGLAND,F1908R,35,0,21,1,0,8,0,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,12,29,38,15,24,13,20,18,24,14,21,17,22
run_1v6_myENGLAND_mydiplodocus_high_oppcicero_nopress_seed0_v1,0,1v6,ENGLAND,diplodocus_high,cicero_nopress,solo_18sc_ITALY,F1911R,50,0,0,5,11,18,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,0,0,1,0,1,0,0,1,0,0,0,0,0,0,10,24,6,9,28,46,44,65,42,47,16,34,14,23
run_1v6_myENGLAND_mydiplodocus_high_oppcicero_nopress_seed3_v1,3,1v6,ENGLAND,diplodocus_high,cicero_nopress,solo_18sc_ENGLAND,F1910R,44,1,21,3,0,0,4,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,1,0,1,0,17,26,43,50,40,59,19,24,8,12,22,31,15,19
run_1v6_myENGLAND_mydiplodocus_high_oppcicero_nopress_seed2_v1,2,1v6,ENGLAND,diplodocus_high,cicero_nopress,max_phases,F1913R,60,11,0,9,9,1,4,0,0.4033333333333333,0.0,0.27,0.27,0.0033333333333333335,0.05333333333333334,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,41,70,12,31,33,69,38,73,13,26,23,38,12,15
run_1v6_myENGLAND_mydiplodocus_high_oppcicero_nopress_seed4_v1,4,1v6,ENGLAND,diplodocus_high,cicero_nopress,max_phases,F1913R,60,9,15,0,1,9,0,0,0.20876288659793815,0.5798969072164949,0.0,0.002577319587628866,0.20876288659793815,0.0,0.0,1,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,1,0,62,90,49,76,19,35,39,53,29,31,7,15,13,27
run_1v6_myENGLAND_mydiplodocus_high_oppcicero_nopress_seed5_v1,5,1v6,ENGLAND,diplodocus_high,cicero_nopress,max_phases,F1913R,60,0,0,15,0,8,0,11,0.0,0.0,0.5487804878048781,0.0,0.15609756097560976,0.0,0.2951219512195122,0,1,0,0,0,1,0,0,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,22,27,6,18,52,74,13,18,47,59,9,13,35,45
run_1v6_myENGLAND_mydiplodocus_high_oppcicero_nopress_seed8_v1,8,1v6,ENGLAND,diplodocus_high,cicero_nopress,solo_18sc_ENGLAND,F1910R,43,3,18,0,0,4,1,8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,3,0,0,1,5,0,0,29,37,34,54,15,30,15,29,9,15,18,22,25,33
run_1v6_myENGLAND_mydiplodocus_high_oppcicero_nopress_seed6_v1,6,1v6,ENGLAND,diplodocus_high,cicero_nopress,stop_after_W1913A,W1913A,57,10,6,2,0,0,9,7,0.37037037037037035,0.13333333333333333,0.014814814814814815,0.0,0.0,0.3,0.1814814814814815,0,2,4,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,1,1,0,0,0,1,1,0,45,60,26,37,21,37,12,23,17,17,62,81,32,43
run_1v6_myENGLAND_mydiplodocus_high_oppcicero_nopress_seed7_v1,7,1v6,ENGLAND,diplodocus_high,cicero_nopress,max_phases,F1913R,60,11,11,1,2,5,0,4,0.4201388888888889,0.4201388888888889,0.003472222222222222,0.013888888888888888,0.08680555555555555,0.0,0.05555555555555555,0,3,0,0,4,3,0,0,0,2,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,47,68,38,73,23,82,28,46,28,38,13,27,25,53
run_1v6_myENGLAND_mydiplodocus_high_oppcicero_nopress_seed9_v1,9,1v6,ENGLAND,diplodocus_high,cicero_nopress,stop_after_W1913A,W1913A,59,0,14,3,0,17,0,0,0.0,0.3967611336032389,0.018218623481781375,0.0,0.5850202429149798,0.0,0.0,0,0,2,0,11,10,0,0,0,6,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,12,21,28,82,42,79,29,43,59,69,7,12,18,23
