game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myFRANCE_mydiplodocus_high_oppcicero_nopress_seed0_v1,0,1v6,FRANCE,diplodocus_high,cicero_nopress,solo_18sc_FRANCE,F1910M,46,0,0,18,0,6,0,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,15,19,13,17,32,54,16,20,17,38,12,23,36,53
run_1v6_myFRANCE_mydiplodocus_high_oppcicero_nopress_seed1_v1,1,1v6,FRANCE,diplodocus_high,cicero_nopress,stop_after_W1913A,W1913A,60,0,14,1,0,17,2,0,0.0,0.4,0.0020408163265306124,0.0,0.5897959183673469,0.00816326530612245,0.0,0,2,0,1,0,3,0,0,1,1,1,1,0,1,2,0,0,4,0,0,0,0,0,0,0,0,0,0,21,33,45,66,21,47,23,34,51,62,25,36,8,31
run_1v6_myFRANCE_mydiplodocus_high_oppcicero_nopress_seed2_v1,2,1v6,FRANCE,diplodocus_high,cicero_nopress,solo_18sc_FRANCE,F1911R,47,5,2,19,0,0,4,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,2,0,0,0,0,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,5,0,0,1,3,0,0,32,46,30,31,51,75,19,30,7,7,23,42,21,45
run_1v6_myFRANCE_mydiplodocus_high_oppcicero_nopress_seed3_v1,3,1v6,FRANCE,diplodocus_high,cicero_nopress,max_phases,F1913R,60,0,0,14,0,4,5,11,0.0,0.0,0.547486033519553,0.0,0.0446927374301676,0.06983240223463687,0.33798882681564246,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,8,10,16,23,39,64,37,55,33,44,37,50,33,51
run_1v6_myFRANCE_mydiplodocus_high_oppcicero_nopress_seed4_v1,4,1v6,FRANCE,diplodocus_high,cicero_nopress,max_phases,F1913M,60,0,5,6,10,9,0,4,0.0,0.09689922480620156,0.13953488372093023,0.3875968992248062,0.313953488372093,0.0,0.06201550387596899,0,0,0,0,3,2,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,2,22,31,28,37,56,64,59,76,17,25,30,59
run_1v6_myFRANCE_mydiplodocus_high_oppcicero_nopress_seed6_v1,6,1v6,FRANCE,diplodocus_high,cicero_nopress,solo_18sc_GERMANY,F1911R,48,9,0,0,18,4,0,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,1,38,75,15,17,12,16,60,71,15,21,6,17,21,31
run_1v6_myFRANCE_mydiplodocus_high_oppcicero_nopress_seed5_v1,5,1v6,FRANCE,diplodocus_high,cicero_nopress,solo_18sc_FRANCE,F1913R,59,8,0,18,0,1,2,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,2,0,0,0,1,0,0,50,70,17,19,47,52,19,41,22,23,19,48,25,52
run_1v6_myFRANCE_mydiplodocus_high_oppcicero_nopress_seed7_v1,7,1v6,FRANCE,diplodocus_high,cicero_nopress,max_phases,F1913R,60,0,0,16,2,1,0,15,0.0,0.0,0.5267489711934157,0.00823045267489712,0.00205761316872428,0.0,0.46296296296296297,0,1,0,1,0,0,0,0,2,1,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,17,32,11,17,56,71,40,49,7,16,6,9,65,93
run_1v6_myFRANCE_mydiplodocus_high_oppcicero_nopress_seed8_v1,8,1v6,FRANCE,diplodocus_high,cicero_nopress,solo_18sc_FRANCE,F1909R,40,5,2,19,1,0,1,6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,37,56,18,34,46,63,21,41,0,0,10,14,14,29
run_1v6_myFRANCE_mydiplodocus_high_oppcicero_nopress_seed9_v1,9,1v6,FRANCE,diplodocus_high,cicero_nopress,solo_18sc_FRANCE,F1908R,34,5,0,18,3,0,1,7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,27,34,9,14,25,33,14,28,6,8,15,25,12,19
