game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myGERMANY_mydiplodocus_high_oppcicero_nopress_seed2_v1,2,1v6,GERMANY,diplodocus_high,cicero_nopress,stop_after_W1913A,W1913A,58,0,1,8,10,1,0,14,0.0,0.0027624309392265192,0.17679558011049723,0.27624309392265195,0.0027624309392265192,0.0,0.5414364640883977,0,0,0,0,0,1,0,0,0,3,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,1,0,14,26,4,10,44,70,66,107,25,33,12,24,51,67
run_1v6_myGERMANY_mydiplodocus_high_oppcicero_nopress_seed3_v1,3,1v6,GERMANY,diplodocus_high,cicero_nopress,stop_after_W1913A,W1913A,59,0,1,4,13,15,1,0,0.0,0.0024271844660194173,0.038834951456310676,0.41019417475728154,0.5461165048543689,0.0024271844660194173,0.0,0,2,0,0,0,2,2,0,0,3,0,0,3,4,0,0,0,6,0,0,0,1,2,0,1,0,0,0,26,50,13,21,46,79,50,100,46,51,23,36,7,26
run_1v6_myGERMANY_mydiplodocus_high_oppcicero_nopress_seed5_v1,5,1v6,GERMANY,diplodocus_high,cicero_nopress,solo_18sc_TURKEY,F1910R,45,0,0,13,3,0,0,18,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,19,38,3,4,31,32,19,33,16,19,6,26,43,58
run_1v6_myGERMANY_mydiplodocus_high_oppcicero_nopress_seed4_v1,4,1v6,GERMANY,diplodocus_high,cicero_nopress,stop_after_W1913A,W1913A,57,0,0,16,2,0,0,16,0.0,0.0,0.49612403100775193,0.007751937984496124,0.0,0.0,0.49612403100775193,0,2,0,0,0,1,0,0,2,1,0,0,0,3,7,0,0,1,0,0,1,1,0,0,0,4,1,0,14,26,13,15,48,95,18,49,20,28,2,14,76,94
run_1v6_myGERMANY_mydiplodocus_high_oppcicero_nopress_seed6_v1,6,1v6,GERMANY,diplodocus_high,cicero_nopress,stop_after_W1913A,W1913A,59,7,0,2,15,0,0,10,0.12962962962962962,0.0,0.010582010582010581,0.5952380952380952,0.0,0.0,0.26455026455026454,2,2,0,0,0,0,1,0,0,2,1,0,4,3,3,0,0,3,0,0,0,0,0,0,1,2,0,0,50,69,10,12,15,20,80,104,6,14,16,26,30,50
run_1v6_myGERMANY_mydiplodocus_high_oppcicero_nopress_seed7_v1,7,1v6,GERMANY,diplodocus_high,cicero_nopress,max_phases,F1913M,60,0,0,12,2,12,8,0,0.0,0.0,0.4044943820224719,0.011235955056179775,0.4044943820224719,0.1797752808988764,0.0,0,0,0,0,0,2,2,0,0,2,0,0,0,4,2,0,1,2,1,1,0,1,0,0,0,0,0,0,19,22,12,15,39,59,27,35,44,58,56,71,26,33
run_1v6_myGERMANY_mydiplodocus_high_oppcicero_nopress_seed8_v1,8,1v6,GERMANY,diplodocus_high,cicero_nopress,stop_after_W1913A,W1913A,59,1,0,0,15,6,12,0,0.0024630541871921183,0.0,0.0,0.5541871921182266,0.08866995073891626,0.35467980295566504,0.0,0,1,3,1,0,0,0,0,0,0,0,0,2,3,1,0,0,1,1,0,0,4,0,0,0,1,0,0,39,72,4,7,32,42,49,72,29,40,39,70,5,7
run_1v6_myGERMANY_mydiplodocus_high_oppcicero_nopress_seed9_v1,9,1v6,GERMANY,diplodocus_high,cicero_nopress,stop_after_W1913A,W1913A,59,15,0,8,2,0,9,0,0.6016042780748663,0.0,0.1711229946524064,0.0106951871657754,0.0,0.21657754010695188,0.0,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,69,78,8,16,56,76,23,47,5,5,36,64,11,24
run_1v6_myGERMANY_mydiplodocus_high_oppcicero_nopress_seed0_v1,0,1v6,GERMANY,diplodocus_high,cicero_nopress,stop_after_W1913A,W1913A,58,0,1,3,14,0,0,16,0.0,0.0021645021645021645,0.01948051948051948,0.42424242424242425,0.0,0.0,0.5541125541125541,0,1,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,1,0,0,0,0,0,0,1,1,0,0,16,16,12,22,25,55,40,129,8,10,14,22,90,118
run_1v6_myGERMANY_mydiplodocus_high_oppcicero_nopress_seed0_v1,0,1v6,GERMANY,diplodocus_high,cicero_nopress,solo_18sc_GERMANY,F1911R,52,0,0,0,19,5,0,10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,3,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,4,0,0,11,21,9,17,21,36,69,88,10,14,8,12,64,90
