game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myRUSSIA_mydiplodocus_high_oppcicero_nopress_seed1_v1,1,1v6,RUSSIA,diplodocus_high,cicero_nopress,solo_18sc_RUSSIA,F1912R,54,0,0,3,6,6,18,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,6,10,5,6,37,49,33,67,23,25,60,81,21,28
run_1v6_myRUSSIA_mydiplodocus_high_oppcicero_nopress_seed0_v1,0,1v6,RUSSIA,diplodocus_high,cicero_nopress,max_phases,F1913R,60,0,3,8,5,10,5,3,0.0,0.03879310344827586,0.27586206896551724,0.10775862068965517,0.43103448275862066,0.10775862068965517,0.03879310344827586,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,2,3,0,0,1,4,0,0,12,16,37,42,39,50,30,37,53,67,30,56,29,52
run_1v6_myRUSSIA_mydiplodocus_high_oppcicero_nopress_seed2_v1,2,1v6,RUSSIA,diplodocus_high,cicero_nopress,solo_18sc_FRANCE,F1909R,40,0,0,18,1,2,1,12,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,10,24,5,16,38,51,18,39,14,19,17,28,25,43
run_1v6_myRUSSIA_mydiplodocus_high_oppcicero_nopress_seed3_v1,3,1v6,RUSSIA,diplodocus_high,cicero_nopress,stop_after_W1913A,W1913A,58,15,0,15,2,2,0,0,0.4912663755458515,0.0,0.4912663755458515,0.008733624454148471,0.008733624454148471,0.0,0.0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,51,67,7,9,58,80,40,56,24,32,15,28,8,15
run_1v6_myRUSSIA_mydiplodocus_high_oppcicero_nopress_seed4_v1,4,1v6,RUSSIA,diplodocus_high,cicero_nopress,solo_18sc_RUSSIA,F1913R,57,0,5,7,0,4,18,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0,0,0,0,3,2,2,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,16,33,24,34,41,55,17,35,21,27,62,80,10,26
run_1v6_myRUSSIA_mydiplodocus_high_oppcicero_nopress_seed5_v1,5,1v6,RUSSIA,diplodocus_high,cicero_nopress,stop_after_W1913A,W1913A,60,0,1,11,6,4,7,5,0.0,0.004032258064516129,0.4879032258064516,0.14516129032258066,0.06451612903225806,0.1975806451612903,0.10080645161290322,0,3,0,1,0,2,0,0,0,0,0,0,1,2,0,0,1,1,0,0,3,3,0,0,0,2,0,0,12,13,37,50,28,35,39,60,48,57,34,58,20,30
run_1v6_myRUSSIA_mydiplodocus_high_oppcicero_nopress_seed6_v1,6,1v6,RUSSIA,diplodocus_high,cicero_nopress,max_phases,F1913M,60,1,11,0,15,0,0,7,0.0025252525252525255,0.3055555555555556,0.0,0.5681818181818182,0.0,0.0,0.12373737373737374,0,0,0,0,4,1,0,0,0,0,6,0,1,1,1,0,0,1,3,0,0,0,0,0,0,0,2,0,28,53,33,39,19,30,59,90,14,15,8,16,32,51
run_1v6_myRUSSIA_mydiplodocus_high_oppcicero_nopress_seed7_v1,7,1v6,RUSSIA,diplodocus_high,cicero_nopress,solo_18sc_ITALY,F1912R,55,0,0,4,12,18,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0,0,0,1,0,0,0,2,2,0,3,2,0,0,0,4,0,0,0,1,1,0,1,0,0,0,26,50,18,25,29,41,46,63,48,68,4,12,4,18
run_1v6_myRUSSIA_mydiplodocus_high_oppcicero_nopress_seed8_v1,8,1v6,RUSSIA,diplodocus_high,cicero_nopress,stop_after_W1913A,W1913A,59,6,0,14,1,3,7,3,0.12,0.0,0.6533333333333333,0.0033333333333333335,0.03,0.16333333333333333,0.03,1,2,0,0,0,0,0,1,2,3,0,0,0,0,0,0,1,5,0,1,0,1,0,0,0,1,0,0,40,88,23,25,46,57,27,45,18,27,24,37,21,23
run_1v6_myRUSSIA_mydiplodocus_high_oppcicero_nopress_seed9_v1,9,1v6,RUSSIA,diplodocus_high,cicero_nopress,stop_after_W1913A,W1913A,60,0,1,13,3,0,17,0,0.0,0.002136752136752137,0.3611111111111111,0.019230769230769232,0.0,0.6175213675213675,0.0,0,0,1,0,0,0,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,21,24,13,18,52,65,47,58,9,9,60,86,15,19
