game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myTURKEY_mydiplodocus_high_oppcicero_nopress_seed0_v1,0,1v6,TURKEY,diplodocus_high,cicero_nopress,max_phases,F1913M,60,0,12,0,13,5,4,0,0.0,0.4067796610169492,0.0,0.4774011299435028,0.07062146892655367,0.04519774011299435,0.0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,3,0,0,0,0,0,1,1,0,0,1,1,1,0,7,26,53,59,21,28,57,102,36,46,28,38,5,17
run_1v6_myTURKEY_mydiplodocus_high_oppcicero_nopress_seed1_v1,1,1v6,TURKEY,diplodocus_high,cicero_nopress,stop_after_W1913A,W1913A,60,0,0,15,0,0,10,9,0.0,0.0,0.5541871921182266,0.0,0.0,0.24630541871921183,0.19950738916256158,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,2,0,3,1,0,0,14,17,15,19,65,86,26,50,11,18,32,58,20,42
run_1v6_myTURKEY_mydiplodocus_high_oppcicero_nopress_seed3_v1,3,1v6,TURKEY,diplodocus_high,cicero_nopress,stop_after_W1913A,W1913A,58,0,14,5,2,0,0,13,0.0,0.49746192893401014,0.06345177664974619,0.01015228426395939,0.0,0.0,0.4289340101522843,0,0,1,0,0,2,0,0,1,3,0,0,2,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,19,29,60,81,57,96,31,58,2,2,5,10,37,73
run_1v6_myTURKEY_mydiplodocus_high_oppcicero_nopress_seed2_v1,2,1v6,TURKEY,diplodocus_high,cicero_nopress,max_phases,F1913R,60,0,15,1,1,17,0,0,0.0,0.436046511627907,0.001937984496124031,0.001937984496124031,0.560077519379845,0.0,0.0,0,1,0,0,1,3,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,28,36,60,94,20,25,27,36,48,55,25,38,7,9
run_1v6_myTURKEY_mydiplodocus_high_oppcicero_nopress_seed4_v1,4,1v6,TURKEY,diplodocus_high,cicero_nopress,solo_18sc_FRANCE,F1910R,47,2,0,20,2,1,0,9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,2,2,0,0,0,2,1,0,1,2,0,0,0,0,0,0,0,0,1,0,31,38,20,21,43,48,17,24,17,30,11,27,18,26
run_1v6_myTURKEY_mydiplodocus_high_oppcicero_nopress_seed5_v1,5,1v6,TURKEY,diplodocus_high,cicero_nopress,max_phases,F1913R,60,0,0,13,6,0,0,15,0.0,0.0,0.3930232558139535,0.08372093023255814,0.0,0.0,0.5232558139534884,0,0,0,0,0,0,0,0,1,3,1,2,1,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,25,39,24,38,44,49,25,30,4,4,22,37,48,79
run_1v6_myTURKEY_mydiplodocus_high_oppcicero_nopress_seed6_v1,6,1v6,TURKEY,diplodocus_high,cicero_nopress,stop_after_W1913A,W1913A,58,0,0,17,0,0,0,17,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0,0,0,0,0,1,0,0,0,0,3,0,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,19,34,16,26,39,78,32,37,19,31,18,26,57,73
run_1v6_myTURKEY_mydiplodocus_high_oppcicero_nopress_seed7_v1,7,1v6,TURKEY,diplodocus_high,cicero_nopress,max_phases,S1914R,60,0,0,7,7,15,5,0,0.0,0.0,0.14080459770114942,0.14080459770114942,0.646551724137931,0.07183908045977011,0.0,0,1,0,0,0,2,0,0,0,0,1,0,2,4,1,0,0,2,0,0,2,2,0,0,0,0,0,0,24,55,9,10,41,52,33,60,58,70,32,74,6,8
run_1v6_myTURKEY_mydiplodocus_high_oppcicero_nopress_seed8_v1,8,1v6,TURKEY,diplodocus_high,cicero_nopress,stop_after_W1913A,W1913A,58,0,0,16,0,1,0,17,0.0,0.0,0.46886446886446886,0.0,0.0018315018315018315,0.0,0.5293040293040293,0,0,0,0,0,2,0,0,1,3,2,0,0,0,1,0,0,4,4,0,0,1,0,0,4,0,0,0,4,7,11,25,53,92,21,29,18,26,29,42,64,105
run_1v6_myTURKEY_mydiplodocus_high_oppcicero_nopress_seed9_v1,9,1v6,TURKEY,diplodocus_high,cicero_nopress,solo_18sc_AUSTRIA,F1909R,37,20,5,2,5,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,40,62,4,5,9,10,22,38,3,3,10,16,2,6
