side,agent_name,scope,power,n_samples,mean_sos,win_rate,most_sc_rate,survived_rate,defeated_rate,win_count,most_sc_count,survived_count,defeated_count,c1_total,c2_total,c3_total,c4_total,c1_avg_per_sample,c2_avg_per_sample,c3_avg_per_sample,c4_avg_per_sample,support_success_total,support_total_total,support_success_ratio
self,diplodocus_high,per_power,AUSTRIA,10,0.08735909252038285,0.0,0.1,0.1,0.8,0,1,1,8,5,16,3,0,0.5,1.6,0.3,0.0,247,397,0.6221662468513854
self,diplodocus_high,per_power,ENGLAND,10,0.4530130263041957,0.3,0.2,0.2,0.3,3,2,2,3,18,19,0,0,1.8,1.9,0.0,0.0,271,468,0.5790598290598291
self,diplodocus_high,per_power,FRANCE,10,0.5391634880584606,0.4,0.2,0.3,0.1,4,2,3,1,5,5,6,2,0.5,0.5,0.6,0.2,364,528,0.6893939393939394
self,diplodocus_high,per_power,GERMANY,10,0.2865545636242707,0.1,0.2,0.5,0.2,1,2,5,2,9,24,14,0,0.9,2.4,1.4,0.0,415,672,0.6175595238095238
self,diplodocus_high,per_power,ITALY,10,0.5872177170148262,0.4,0.3,0.2,0.1,4,3,2,1,11,19,3,1,1.1,1.9,0.3,0.1,351,497,0.7062374245472837
self,diplodocus_high,per_power,RUSSIA,10,0.30861939667056465,0.2,0.1,0.3,0.4,2,1,3,4,8,9,2,0,0.8,0.9,0.2,0.0,314,482,0.6514522821576764
self,diplodocus_high,per_power,TURKEY,10,0.21810012425723638,0.0,0.3,0.2,0.5,0,3,2,5,8,6,2,0,0.8,0.6,0.2,0.0,264,438,0.6027397260273972
opponent,cicero_nopress,per_power,AUSTRIA,60,0.07390968620993385,0.016666666666666666,0.08333333333333333,0.15,0.75,1,5,9,45,20,52,19,5,0.3333333333333333,0.8666666666666667,0.31666666666666665,0.08333333333333333,1555,2442,0.6367731367731367
opponent,cicero_nopress,per_power,ENGLAND,60,0.07200021106110173,0.016666666666666666,0.03333333333333333,0.25,0.7,1,2,15,42,11,42,17,1,0.18333333333333332,0.7,0.2833333333333333,0.016666666666666666,1167,1559,0.7485567671584349
opponent,cicero_nopress,per_power,FRANCE,60,0.2523107383584596,0.08333333333333333,0.21666666666666667,0.35,0.35,5,13,21,21,18,66,45,3,0.3,1.1,0.75,0.05,2158,3275,0.6589312977099236
opponent,cicero_nopress,per_power,GERMANY,60,0.08462382189741577,0.016666666666666666,0.08333333333333333,0.2833333333333333,0.6166666666666667,1,5,17,37,19,61,45,2,0.31666666666666665,1.0166666666666666,0.75,0.03333333333333333,1918,2883,0.6652792230315644
opponent,cicero_nopress,per_power,ITALY,60,0.14381888235686566,0.05,0.11666666666666667,0.31666666666666665,0.5166666666666667,3,7,19,31,18,75,19,3,0.3,1.25,0.31666666666666665,0.05,1531,2055,0.7450121654501216
opponent,cicero_nopress,per_power,RUSSIA,60,0.03978502764098024,0.0,0.016666666666666666,0.26666666666666666,0.7166666666666667,0,1,16,43,11,48,5,1,0.18333333333333332,0.8,0.08333333333333333,0.016666666666666666,1185,2033,0.5828824397442204
opponent,cicero_nopress,per_power,TURKEY,60,0.086880397733587,0.016666666666666666,0.05,0.2833333333333333,0.65,1,3,17,39,10,51,18,3,0.16666666666666666,0.85,0.3,0.05,1348,2146,0.6281453867660765
self,diplodocus_high,overall,OVERALL,70,0.3542896297785623,0.2,0.2,0.2571428571428571,0.34285714285714286,14,14,18,24,64,98,30,3,0.9142857142857143,1.4,0.42857142857142855,0.04285714285714286,2226,3482,0.6392877656519241
opponent,cicero_nopress,overall,OVERALL,420,0.10761839503690625,0.02857142857142857,0.08571428571428572,0.2714285714285714,0.6142857142857143,12,36,114,258,107,395,168,18,0.25476190476190474,0.9404761904761905,0.4,0.04285714285714286,10862,16393,0.6625998901970354
