game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myAUSTRIA_mydiplodocus_high_oppconsistent_seed6_v1,6,1v6,AUSTRIA,diplodocus_high,consistent,solo_18sc_AUSTRIA,F1912M,53,18,9,7,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,74,123,38,55,34,82,29,49,5,6,18,34,10,12
run_1v6_myAUSTRIA_mydiplodocus_high_oppconsistent_seed2_v1,2,1v6,AUSTRIA,diplodocus_high,consistent,max_phases,F1913M,60,0,0,10,4,6,14,0,0.000000,0.000000,0.287356,0.045977,0.103448,0.563218,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,5,10,18,46,74,28,52,47,71,55,75,17,44
run_1v6_myAUSTRIA_mydiplodocus_high_oppconsistent_seed0_v1,0,1v6,AUSTRIA,diplodocus_high,consistent,max_phases,F1913M,60,0,0,10,5,7,6,6,0.000000,0.000000,0.406504,0.101626,0.199187,0.146341,0.146341,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,21,23,26,33,80,39,79,39,57,31,50,46,55
run_1v6_myAUSTRIA_mydiplodocus_high_oppconsistent_seed3_v1,3,1v6,AUSTRIA,diplodocus_high,consistent,stop_after_W1913A,W1913A,57,12,0,10,9,0,0,3,0.431138,0.000000,0.299401,0.242515,0.000000,0.000000,0.026946,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,45,95,28,35,44,52,37,65,10,22,20,32,20,31
run_1v6_myAUSTRIA_mydiplodocus_high_oppconsistent_seed5_v1,5,1v6,AUSTRIA,diplodocus_high,consistent,stop_after_W1913A,W1913A,58,1,12,5,0,7,5,4,0.003846,0.553846,0.096154,0.000000,0.188462,0.096154,0.061538,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,29,58,62,39,56,15,38,34,69,29,89,25,53
run_1v6_myAUSTRIA_mydiplodocus_high_oppconsistent_seed1_v1,1,1v6,AUSTRIA,diplodocus_high,consistent,stop_after_W1913A,W1913A,60,2,3,1,4,7,10,7,0.017544,0.039474,0.004386,0.070175,0.214912,0.438596,0.214912,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,26,64,33,50,23,25,33,59,33,40,45,93,26,64
run_1v6_myAUSTRIA_mydiplodocus_high_oppconsistent_seed4_v1,4,1v6,AUSTRIA,diplodocus_high,consistent,stop_after_W1913A,W1913A,57,6,1,0,9,5,9,4,0.150000,0.004167,0.000000,0.337500,0.104167,0.337500,0.066667,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,37,68,22,58,13,26,41,76,24,29,39,95,19,33
run_1v6_myAUSTRIA_mydiplodocus_high_oppconsistent_seed7_v1,7,1v6,AUSTRIA,diplodocus_high,consistent,stop_after_W1913A,W1913A,56,0,3,11,5,0,8,7,0.000000,0.033582,0.451493,0.093284,0.000000,0.238806,0.182836,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,52,19,46,70,88,40,105,8,10,36,72,34,58
run_1v6_myAUSTRIA_mydiplodocus_high_oppconsistent_seed9_v1,9,1v6,AUSTRIA,diplodocus_high,consistent,max_phases,F1915M,60,0,11,6,0,0,0,17,0.000000,0.271300,0.080717,0.000000,0.000000,0.000000,0.647982,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,58,135,39,56,21,51,22,24,7,40,108,144
run_1v6_myAUSTRIA_mydiplodocus_high_oppconsistent_seed8_v1,8,1v6,AUSTRIA,diplodocus_high,consistent,stop_after_W1913A,W1913A,60,2,8,6,3,0,6,9,0.017391,0.278261,0.156522,0.039130,0.000000,0.156522,0.352174,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,53,47,62,23,54,59,73,16,16,51,75,36,60
