game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myENGLAND_mydiplodocus_high_oppconsistent_seed3_v1,3,1v6,ENGLAND,diplodocus_high,consistent,max_phases,F1913M,60,0,10,5,0,3,11,5,0.000000,0.357143,0.089286,0.000000,0.032143,0.432143,0.089286,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,6,46,75,32,59,14,34,30,56,56,90,39,49
run_1v6_myENGLAND_mydiplodocus_high_oppconsistent_seed4_v1,4,1v6,ENGLAND,diplodocus_high,consistent,stop_after_W1913A,W1913A,57,0,10,6,0,2,10,6,0.000000,0.362319,0.130435,0.000000,0.014493,0.362319,0.130435,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,5,53,91,46,70,10,20,41,49,62,101,38,66
run_1v6_myENGLAND_mydiplodocus_high_oppconsistent_seed0_v1,0,1v6,ENGLAND,diplodocus_high,consistent,max_phases,F1913R,60,1,7,10,3,0,6,7,0.004098,0.200820,0.409836,0.036885,0.000000,0.147541,0.200820,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,54,26,43,45,84,28,71,13,19,44,75,31,35
run_1v6_myENGLAND_mydiplodocus_high_oppconsistent_seed2_v1,2,1v6,ENGLAND,diplodocus_high,consistent,max_phases,F1913M,60,0,8,5,5,9,7,0,0.000000,0.262295,0.102459,0.102459,0.331967,0.200820,0.000000,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3,38,52,28,36,35,60,47,66,41,78,20,46
run_1v6_myENGLAND_mydiplodocus_high_oppconsistent_seed5_v1,5,1v6,ENGLAND,diplodocus_high,consistent,max_phases,S1913R,60,3,7,10,0,10,4,0,0.032847,0.178832,0.364964,0.000000,0.364964,0.058394,0.000000,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,58,27,46,47,71,39,57,36,53,21,37,18,29
run_1v6_myENGLAND_mydiplodocus_high_oppconsistent_seed1_v1,1,1v6,ENGLAND,diplodocus_high,consistent,stop_after_W1913A,W1913A,55,8,0,12,2,3,6,3,0.240602,0.000000,0.541353,0.015038,0.033835,0.135338,0.033835,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,42,124,14,24,41,61,32,52,12,24,24,96,11,49
run_1v6_myENGLAND_mydiplodocus_high_oppconsistent_seed6_v1,6,1v6,ENGLAND,diplodocus_high,consistent,stop_after_W1913A,W1913A,55,13,8,8,0,3,0,2,0.545161,0.206452,0.206452,0.000000,0.029032,0.000000,0.012903,1,3,0,0,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,88,39,64,44,55,22,49,23,44,15,26,13,26
run_1v6_myENGLAND_mydiplodocus_high_oppconsistent_seed7_v1,7,1v6,ENGLAND,diplodocus_high,consistent,stop_after_W1913A,W1913A,60,1,11,6,0,0,6,10,0.003401,0.411565,0.122449,0.000000,0.000000,0.122449,0.340136,0,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,46,38,65,38,49,15,61,17,38,31,44,49,76
run_1v6_myENGLAND_mydiplodocus_high_oppconsistent_seed8_v1,8,1v6,ENGLAND,diplodocus_high,consistent,stop_after_W1913A,W1913A,55,2,0,0,6,12,8,6,0.014085,0.000000,0.000000,0.126761,0.507042,0.225352,0.126761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,71,13,15,9,23,35,70,36,57,32,79,34,44
run_1v6_myENGLAND_mydiplodocus_high_oppconsistent_seed9_v1,9,1v6,ENGLAND,diplodocus_high,consistent,stop_after_W1913A,W1913A,58,6,15,3,0,4,1,5,0.115385,0.721154,0.028846,0.000000,0.051282,0.003205,0.080128,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,80,57,66,30,61,30,48,32,52,6,12,36,68
