game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myFRANCE_mydiplodocus_high_oppconsistent_seed1_v1,1,1v6,FRANCE,diplodocus_high,consistent,max_phases,W1914A,60,9,0,17,0,8,0,0,0.186636,0.000000,0.665899,0.000000,0.147465,0.000000,0.000000,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,43,96,10,12,58,139,12,18,25,72,30,72,12,16
run_1v6_myFRANCE_mydiplodocus_high_oppconsistent_seed0_v1,0,1v6,FRANCE,diplodocus_high,consistent,max_phases,F1913M,60,0,6,4,6,6,5,7,0.000000,0.181818,0.080808,0.181818,0.181818,0.126263,0.247475,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,24,82,18,41,51,68,42,64,46,69,45,60
run_1v6_myFRANCE_mydiplodocus_high_oppconsistent_seed2_v1,2,1v6,FRANCE,diplodocus_high,consistent,stop_after_W1913A,W1913A,60,0,10,0,9,5,10,0,0.000000,0.326797,0.000000,0.264706,0.081699,0.326797,0.000000,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,44,79,15,30,45,68,31,47,61,134,24,41
run_1v6_myFRANCE_mydiplodocus_high_oppconsistent_seed3_v1,3,1v6,FRANCE,diplodocus_high,consistent,max_phases,F1913R,60,0,7,12,0,12,1,2,0.000000,0.143275,0.421053,0.000000,0.421053,0.002924,0.011696,0,0,0,0,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,37,44,29,54,27,41,44,57,44,62,29,52
run_1v6_myFRANCE_mydiplodocus_high_oppconsistent_seed4_v1,4,1v6,FRANCE,diplodocus_high,consistent,stop_after_W1913A,W1913A,60,1,5,0,5,10,9,4,0.004032,0.100806,0.000000,0.100806,0.403226,0.326613,0.064516,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,23,29,59,9,17,50,61,60,117,27,68,20,40
run_1v6_myFRANCE_mydiplodocus_high_oppconsistent_seed5_v1,5,1v6,FRANCE,diplodocus_high,consistent,stop_after_W1913A,W1913A,55,0,7,1,12,2,8,4,0.000000,0.176259,0.003597,0.517986,0.014388,0.230216,0.057554,0,0,0,0,0,1,0,0,0,5,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,18,62,17,35,36,57,39,59,33,92,36,62
run_1v6_myFRANCE_mydiplodocus_high_oppconsistent_seed9_v1,9,1v6,FRANCE,diplodocus_high,consistent,stop_after_W1913A,W1913A,59,0,15,0,1,0,2,16,0.000000,0.462963,0.000000,0.002058,0.000000,0.008230,0.526749,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,43,94,13,24,30,73,34,43,18,49,49,53
run_1v6_myFRANCE_mydiplodocus_high_oppconsistent_seed8_v1,8,1v6,FRANCE,diplodocus_high,consistent,stop_after_W1913A,W1913A,56,0,5,15,0,0,2,12,0.000000,0.062814,0.565327,0.000000,0.000000,0.010050,0.361809,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,55,32,34,45,87,26,78,14,26,26,60,40,58
run_1v6_myFRANCE_mydiplodocus_high_oppconsistent_seed7_v1,7,1v6,FRANCE,diplodocus_high,consistent,stop_after_W1913A,W1913A,58,2,4,7,4,6,5,6,0.021978,0.087912,0.269231,0.087912,0.197802,0.137363,0.197802,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,61,36,52,22,42,29,48,17,31,37,64,32,48
run_1v6_myFRANCE_mydiplodocus_high_oppconsistent_seed6_v1,6,1v6,FRANCE,diplodocus_high,consistent,stop_after_W1913A,W1913A,47,4,2,7,7,5,3,6,0.085106,0.021277,0.260638,0.260638,0.132979,0.047872,0.191489,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,48,116,17,59,12,95,40,67,13,47,34,61,16,40
