game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myGERMANY_mydiplodocus_high_oppconsistent_seed0_v1,0,1v6,GERMANY,diplodocus_high,consistent,stop_after_W1913A,W1913A,58,0,0,6,8,6,9,5,0.000000,0.000000,0.148760,0.264463,0.148760,0.334711,0.103306,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,13,23,46,61,55,73,49,62,44,79,40,79
run_1v6_myGERMANY_mydiplodocus_high_oppconsistent_seed1_v1,1,1v6,GERMANY,diplodocus_high,consistent,stop_after_W1913A,W1913A,59,0,1,10,11,0,5,7,0.000000,0.003378,0.337838,0.408784,0.000000,0.084459,0.165541,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,36,52,16,47,33,60,41,87,14,29,35,90,34,38
run_1v6_myGERMANY_mydiplodocus_high_oppconsistent_seed2_v1,2,1v6,GERMANY,diplodocus_high,consistent,stop_after_W1913A,W1913A,55,0,6,1,9,4,11,3,0.000000,0.136364,0.003788,0.306818,0.060606,0.458333,0.034091,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,27,77,31,49,41,75,29,69,23,91,27,62
run_1v6_myGERMANY_mydiplodocus_high_oppconsistent_seed3_v1,3,1v6,GERMANY,diplodocus_high,consistent,max_phases,S1915M,60,0,0,0,17,6,0,11,0.000000,0.000000,0.000000,0.647982,0.080717,0.000000,0.271300,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,11,15,35,43,59,141,48,91,35,42,47,76
run_1v6_myGERMANY_mydiplodocus_high_oppconsistent_seed7_v1,7,1v6,GERMANY,diplodocus_high,consistent,stop_after_W1913A,W1913A,56,0,5,15,7,0,4,3,0.000000,0.077160,0.694444,0.151235,0.000000,0.049383,0.027778,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,35,34,54,61,92,36,92,8,8,35,55,35,56
run_1v6_myGERMANY_mydiplodocus_high_oppconsistent_seed4_v1,4,1v6,GERMANY,diplodocus_high,consistent,max_phases,S1914R,60,0,0,9,6,5,13,1,0.000000,0.000000,0.259615,0.115385,0.080128,0.541667,0.003205,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,23,36,25,41,34,61,52,79,24,41,62,73,25,33
run_1v6_myGERMANY_mydiplodocus_high_oppconsistent_seed6_v1,6,1v6,GERMANY,diplodocus_high,consistent,max_phases,F1913M,60,7,0,9,4,6,5,3,0.226852,0.000000,0.375000,0.074074,0.166667,0.115741,0.041667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,80,12,12,37,49,40,44,16,38,49,66,23,37
run_1v6_myGERMANY_mydiplodocus_high_oppconsistent_seed5_v1,5,1v6,GERMANY,diplodocus_high,consistent,stop_after_W1913A,W1913A,55,0,3,7,8,1,5,10,0.000000,0.036290,0.197581,0.258065,0.004032,0.100806,0.403226,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,12,33,24,54,22,60,37,102,34,60,31,57,35,78
run_1v6_myGERMANY_mydiplodocus_high_oppconsistent_seed8_v1,8,1v6,GERMANY,diplodocus_high,consistent,stop_after_W1913A,W1913A,60,3,4,9,5,13,0,0,0.030000,0.053333,0.270000,0.083333,0.563333,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,38,51,22,47,41,73,36,72,42,51,22,31,21,28
run_1v6_myGERMANY_mydiplodocus_high_oppconsistent_seed9_v1,9,1v6,GERMANY,diplodocus_high,consistent,stop_after_W1913A,W1913A,57,0,6,4,7,0,4,13,0.000000,0.125874,0.055944,0.171329,0.000000,0.055944,0.590909,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,5,5,24,35,37,51,42,82,26,48,36,66,35,67
