game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myITALY_mydiplodocus_high_oppconsistent_seed1_v1,1,1v6,ITALY,diplodocus_high,consistent,max_phases,F1913M,60,1,0,9,3,12,9,0,0.003165,0.000000,0.256329,0.028481,0.455696,0.256329,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,34,49,7,8,46,76,36,50,48,67,51,87,9,24
run_1v6_myITALY_mydiplodocus_high_oppconsistent_seed0_v1,0,1v6,ITALY,diplodocus_high,consistent,max_phases,F1913R,60,0,10,4,3,5,5,7,0.000000,0.446429,0.071429,0.040179,0.111607,0.111607,0.218750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,25,35,49,63,34,69,14,62,36,65,26,37,29,37
run_1v6_myITALY_mydiplodocus_high_oppconsistent_seed4_v1,4,1v6,ITALY,diplodocus_high,consistent,stop_after_W1913A,W1913A,55,0,2,0,9,11,7,5,0.000000,0.014286,0.000000,0.289286,0.432143,0.175000,0.089286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,10,12,22,28,7,7,40,56,46,60,38,109,30,59
run_1v6_myITALY_mydiplodocus_high_oppconsistent_seed3_v1,3,1v6,ITALY,diplodocus_high,consistent,stop_after_W1913A,W1913A,60,0,3,7,7,13,3,1,0.000000,0.031469,0.171329,0.171329,0.590909,0.031469,0.003497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,30,57,41,51,46,62,30,54,43,80,26,51
run_1v6_myITALY_mydiplodocus_high_oppconsistent_seed2_v1,2,1v6,ITALY,diplodocus_high,consistent,stop_after_W1913A,W1913A,60,0,6,6,4,9,6,3,0.000000,0.168224,0.168224,0.074766,0.378505,0.168224,0.042056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,10,12,35,46,32,53,40,61,61,84,31,52,25,32
run_1v6_myITALY_mydiplodocus_high_oppconsistent_seed7_v1,7,1v6,ITALY,diplodocus_high,consistent,solo_18sc_ITALY,F1909R,41,0,4,3,4,18,5,0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,11,17,17,20,20,50,17,49,34,54,18,33,13,25
run_1v6_myITALY_mydiplodocus_high_oppconsistent_seed5_v1,5,1v6,ITALY,diplodocus_high,consistent,max_phases,F1913M,60,0,8,0,7,5,14,0,0.000000,0.191617,0.000000,0.146707,0.074850,0.586826,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,1,0,2,0,0,0,4,0,0,12,14,20,72,18,25,27,91,16,65,58,80,26,41
run_1v6_myITALY_mydiplodocus_high_oppconsistent_seed6_v1,6,1v6,ITALY,diplodocus_high,consistent,max_phases,F1913R,60,1,2,5,12,7,0,7,0.003676,0.014706,0.091912,0.529412,0.180147,0.000000,0.180147,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0,44,86,15,18,42,62,47,60,26,59,7,19,24,41
run_1v6_myITALY_mydiplodocus_high_oppconsistent_seed9_v1,9,1v6,ITALY,diplodocus_high,consistent,stop_after_W1913A,W1913A,56,0,7,6,4,7,3,7,0.000000,0.235577,0.173077,0.076923,0.235577,0.043269,0.235577,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,11,0,0,0,0,0,0,0,8,0,0,3,8,36,43,36,41,40,84,19,95,19,79,56,70
run_1v6_myITALY_mydiplodocus_high_oppconsistent_seed8_v1,8,1v6,ITALY,diplodocus_high,consistent,stop_after_W1913A,W1913A,55,8,1,11,9,5,0,0,0.219178,0.003425,0.414384,0.277397,0.085616,0.000000,0.000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,1,0,0,0,0,0,0,0,0,0,56,74,22,39,34,85,46,90,39,58,13,18,13,26
