game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myRUSSIA_mydiplodocus_high_oppconsistent_seed3_v1,3,1v6,RUSSIA,diplodocus_high,consistent,max_phases,F1913M,60,0,7,0,7,0,14,6,0.000000,0.148485,0.000000,0.148485,0.000000,0.593939,0.109091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,2,3,0,0,5,7,53,67,16,24,38,46,37,60,55,83,31,52
run_1v6_myRUSSIA_mydiplodocus_high_oppconsistent_seed1_v1,1,1v6,RUSSIA,diplodocus_high,consistent,stop_after_W1913A,W1913A,58,0,5,0,3,12,10,4,0.000000,0.085034,0.000000,0.030612,0.489796,0.340136,0.054422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,6,6,36,56,12,22,37,48,39,68,50,117,32,66
run_1v6_myRUSSIA_mydiplodocus_high_oppconsistent_seed0_v1,0,1v6,RUSSIA,diplodocus_high,consistent,stop_after_W1913A,W1913A,60,0,8,7,1,5,12,1,0.000000,0.225352,0.172535,0.003521,0.088028,0.507042,0.003521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,37,68,35,75,25,35,30,59,52,88,29,34
run_1v6_myRUSSIA_mydiplodocus_high_oppconsistent_seed2_v1,2,1v6,RUSSIA,diplodocus_high,consistent,stop_after_W1913A,W1913A,57,9,0,4,9,6,6,0,0.324000,0.000000,0.064000,0.324000,0.144000,0.144000,0.000000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,41,78,12,13,27,51,27,86,27,61,49,87,4,21
run_1v6_myRUSSIA_mydiplodocus_high_oppconsistent_seed4_v1,4,1v6,RUSSIA,diplodocus_high,consistent,max_phases,F1913R,60,6,4,0,0,17,3,4,0.098361,0.043716,0.000000,0.000000,0.789617,0.024590,0.043716,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,42,78,30,39,7,9,26,36,44,79,21,52,31,77
run_1v6_myRUSSIA_mydiplodocus_high_oppconsistent_seed5_v1,5,1v6,RUSSIA,diplodocus_high,consistent,stop_after_W1913A,W1913A,57,0,2,11,0,7,8,6,0.000000,0.014599,0.441606,0.000000,0.178832,0.233577,0.131387,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,40,30,63,36,52,16,17,26,68,43,108,16,95
run_1v6_myRUSSIA_mydiplodocus_high_oppconsistent_seed7_v1,7,1v6,RUSSIA,diplodocus_high,consistent,max_phases,F1913M,60,0,0,4,7,7,11,5,0.000000,0.000000,0.061538,0.188462,0.188462,0.465385,0.096154,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,2,2,0,0,0,0,0,4,4,13,23,26,39,51,61,46,73,51,79,45,63
run_1v6_myRUSSIA_mydiplodocus_high_oppconsistent_seed6_v1,6,1v6,RUSSIA,diplodocus_high,consistent,stop_after_W1913A,W1913A,54,7,7,9,0,5,5,1,0.213043,0.213043,0.352174,0.000000,0.108696,0.108696,0.004348,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,29,90,20,38,43,58,26,43,7,54,34,57,13,66
run_1v6_myRUSSIA_mydiplodocus_high_oppconsistent_seed9_v1,9,1v6,RUSSIA,diplodocus_high,consistent,stop_after_W1913A,W1913A,58,0,0,12,3,5,9,5,0.000000,0.000000,0.507042,0.031690,0.088028,0.285211,0.088028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,30,53,17,21,56,76,34,64,35,53,50,74,18,45
run_1v6_myRUSSIA_mydiplodocus_high_oppconsistent_seed8_v1,8,1v6,RUSSIA,diplodocus_high,consistent,stop_after_W1913A,W1913A,59,9,0,12,2,11,0,0,0.231429,0.000000,0.411429,0.011429,0.345714,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,45,89,21,23,40,57,28,53,47,57,24,39,16,36
