game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myTURKEY_mydiplodocus_high_oppconsistent_seed0_v1,0,1v6,TURKEY,diplodocus_high,consistent,max_phases,S1913R,60,0,2,6,0,9,12,5,0.000000,0.013793,0.124138,0.000000,0.279310,0.496552,0.086207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,1,3,1,1,2,2,33,57,20,44,16,32,59,82,53,72,48,65
run_1v6_myTURKEY_mydiplodocus_high_oppconsistent_seed1_v1,1,1v6,TURKEY,diplodocus_high,consistent,stop_after_W1913A,W1913A,55,0,11,0,0,4,13,6,0.000000,0.353801,0.000000,0.000000,0.046784,0.494152,0.105263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,6,7,40,56,22,24,35,46,24,70,45,135,34,91
run_1v6_myTURKEY_mydiplodocus_high_oppconsistent_seed2_v1,2,1v6,TURKEY,diplodocus_high,consistent,stop_after_W1913A,W1913A,57,0,0,11,4,4,8,7,0.000000,0.000000,0.454887,0.060150,0.060150,0.240602,0.184211,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,5,0,0,6,7,30,32,35,53,37,67,46,59,35,60,41,86
run_1v6_myTURKEY_mydiplodocus_high_oppconsistent_seed3_v1,3,1v6,TURKEY,diplodocus_high,consistent,stop_after_W1913A,W1913A,52,0,5,9,6,4,4,6,0.000000,0.119048,0.385714,0.171429,0.076190,0.076190,0.171429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4,7,25,53,41,74,23,95,18,40,54,81,36,99
run_1v6_myTURKEY_mydiplodocus_high_oppconsistent_seed4_v1,4,1v6,TURKEY,diplodocus_high,consistent,max_phases,F1913R,60,0,4,2,6,7,6,9,0.000000,0.072072,0.018018,0.162162,0.220721,0.162162,0.364865,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,5,11,23,45,18,28,45,73,34,50,60,86,51,72
run_1v6_myTURKEY_mydiplodocus_high_oppconsistent_seed7_v1,7,1v6,TURKEY,diplodocus_high,consistent,max_phases,F1913R,60,0,9,9,0,0,0,16,0.000000,0.193780,0.193780,0.000000,0.000000,0.000000,0.612440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17,21,46,61,51,87,28,43,6,12,11,24,69,85
run_1v6_myTURKEY_mydiplodocus_high_oppconsistent_seed6_v1,6,1v6,TURKEY,diplodocus_high,consistent,stop_after_W1913A,W1913A,57,0,9,0,8,7,4,6,0.000000,0.329268,0.000000,0.260163,0.199187,0.065041,0.146341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,13,18,22,113,26,34,25,91,36,70,26,83,36,72
run_1v6_myTURKEY_mydiplodocus_high_oppconsistent_seed5_v1,5,1v6,TURKEY,diplodocus_high,consistent,max_phases,F1913R,60,6,10,0,7,0,3,8,0.139535,0.387597,0.000000,0.189922,0.000000,0.034884,0.248062,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,28,63,39,67,26,42,39,66,15,19,21,35,42,59
run_1v6_myTURKEY_mydiplodocus_high_oppconsistent_seed8_v1,8,1v6,TURKEY,diplodocus_high,consistent,max_phases,F1913R,60,3,0,7,7,0,8,9,0.035714,0.000000,0.194444,0.194444,0.000000,0.253968,0.321429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,32,46,5,5,17,122,16,135,5,6,36,109,52,67
run_1v6_myTURKEY_mydiplodocus_high_oppconsistent_seed9_v1,9,1v6,TURKEY,diplodocus_high,consistent,stop_after_W1913A,W1913A,58,0,12,0,0,7,2,13,0.000000,0.393443,0.000000,0.000000,0.133880,0.010929,0.461749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,36,54,60,10,31,24,34,28,29,47,76,40,42
