side,agent_name,scope,power,n_samples,mean_sos,win_rate,most_sc_rate,survived_rate,defeated_rate,win_count,most_sc_count,survived_count,defeated_count,c1_total,c2_total,c3_total,c4_total,c1_avg_per_sample,c2_avg_per_sample,c3_avg_per_sample,c4_avg_per_sample,support_success_total,support_total_total,support_success_ratio
self,diplodocus_high,per_power,AUSTRIA,10,0.161992,0.100000,0.100000,0.400000,0.400000,1,1,4,4,6,18,6,0,0.600000,1.800000,0.600000,0.000000,283,516,0.548450
self,diplodocus_high,per_power,ENGLAND,10,0.270058,0.000000,0.300000,0.500000,0.200000,0,3,5,2,4,27,10,0,0.400000,2.700000,1.000000,0.000000,351,541,0.648799
self,diplodocus_high,per_power,FRANCE,10,0.226655,0.000000,0.500000,0.200000,0.300000,0,5,2,3,3,16,12,1,0.300000,1.600000,1.200000,0.100000,238,564,0.421986
self,diplodocus_high,per_power,GERMANY,10,0.248147,0.000000,0.200000,0.800000,0.000000,0,2,8,0,2,17,12,0,0.200000,1.700000,1.200000,0.000000,439,847,0.518300
self,diplodocus_high,per_power,ITALY,10,0.354505,0.100000,0.500000,0.400000,0.000000,1,5,4,0,25,30,8,1,2.500000,3.000000,0.800000,0.100000,355,661,0.537065
self,diplodocus_high,per_power,RUSSIA,10,0.270258,0.000000,0.300000,0.600000,0.100000,0,3,6,1,5,14,5,1,0.500000,1.400000,0.500000,0.100000,429,784,0.547194
self,diplodocus_high,per_power,TURKEY,10,0.270200,0.000000,0.400000,0.600000,0.000000,0,4,6,0,4,19,3,1,0.400000,1.900000,0.300000,0.100000,449,738,0.608401
opponent,consistent,per_power,AUSTRIA,60,0.046305,0.000000,0.033333,0.333333,0.633333,0,2,20,38,2,8,0,0,0.033333,0.133333,0.000000,0.000000,1187,2201,0.539300
opponent,consistent,per_power,ENGLAND,60,0.114595,0.000000,0.100000,0.616667,0.283333,0,6,37,17,1,11,0,0,0.016667,0.183333,0.000000,0.000000,1673,2883,0.580298
opponent,consistent,per_power,FRANCE,60,0.180826,0.000000,0.233333,0.533333,0.233333,0,14,32,14,2,7,1,0,0.033333,0.116667,0.016667,0.000000,1975,3282,0.601767
opponent,consistent,per_power,GERMANY,60,0.100637,0.000000,0.083333,0.583333,0.333333,0,5,35,20,2,7,1,0,0.033333,0.116667,0.016667,0.000000,1897,3584,0.529297
opponent,consistent,per_power,ITALY,60,0.138283,0.000000,0.133333,0.600000,0.266667,0,8,36,16,2,8,0,0,0.033333,0.133333,0.000000,0.000000,1743,2931,0.594678
opponent,consistent,per_power,RUSSIA,60,0.163821,0.000000,0.200000,0.616667,0.183333,0,12,37,11,1,19,0,0,0.016667,0.316667,0.000000,0.000000,2083,4029,0.517002
opponent,consistent,per_power,TURKEY,60,0.121897,0.000000,0.116667,0.666667,0.216667,0,7,40,13,2,17,0,0,0.033333,0.283333,0.000000,0.000000,1741,3027,0.575157
self,diplodocus_high,overall,OVERALL,70,0.257402,0.028571,0.328571,0.500000,0.142857,2,23,35,10,49,141,56,4,0.700000,2.014286,0.800000,0.057143,2544,4651,0.546979
opponent,consistent,overall,OVERALL,420,0.123766,0.000000,0.128571,0.564286,0.307143,0,54,237,129,12,77,2,0,0.028571,0.183333,0.004762,0.000000,12299,21937,0.560651
