game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myENGLAND_mydipnet_oppcicero_nopress_seed0_v1,0,1v6,ENGLAND,dipnet,cicero_nopress,stop_after_W1913A,W1913A,53,0,0,12,6,16,0,0,0.000000,0.000000,0.330275,0.082569,0.587156,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,17,13,15,65,126,21,59,87,104,7,13,11,15
run_1v6_myENGLAND_mydipnet_oppcicero_nopress_seed1_v1,1,1v6,ENGLAND,dipnet,cicero_nopress,max_phases,F1913M,60,0,0,17,0,12,4,1,0.000000,0.000000,0.642222,0.000000,0.320000,0.035556,0.002222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,19,10,17,71,104,26,28,66,99,20,55,16,23
run_1v6_myENGLAND_mydipnet_oppcicero_nopress_seed4_v1,4,1v6,ENGLAND,dipnet,cicero_nopress,solo_18sc_FRANCE,F1910R,44,0,0,18,0,1,2,13,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,36,11,13,43,50,22,28,24,28,8,24,42,51
run_1v6_myENGLAND_mydipnet_oppcicero_nopress_seed2_v1,2,1v6,ENGLAND,dipnet,cicero_nopress,stop_after_W1913A,W1913A,60,0,0,5,14,15,0,0,0.000000,0.000000,0.056054,0.439462,0.504484,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,14,26,28,75,63,77,74,86,13,41,10,28
run_1v6_myENGLAND_mydipnet_oppcicero_nopress_seed3_v1,3,1v6,ENGLAND,dipnet,cicero_nopress,solo_18sc_FRANCE,F1913R,56,0,0,18,0,5,6,5,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,29,19,21,68,85,17,30,42,60,31,57,15,28
run_1v6_myENGLAND_mydipnet_oppcicero_nopress_seed5_v1,5,1v6,ENGLAND,dipnet,cicero_nopress,max_phases,F1913R,60,0,0,10,6,2,0,16,0.000000,0.000000,0.252525,0.090909,0.010101,0.000000,0.646465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,25,4,4,57,79,57,79,31,41,8,13,61,82
run_1v6_myENGLAND_mydipnet_oppcicero_nopress_seed6_v1,6,1v6,ENGLAND,dipnet,cicero_nopress,solo_18sc_FRANCE,F1913M,57,0,0,18,1,0,4,11,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,20,27,39,84,119,43,52,6,9,17,33,61,62
run_1v6_myENGLAND_mydipnet_oppcicero_nopress_seed8_v1,8,1v6,ENGLAND,dipnet,cicero_nopress,solo_18sc_FRANCE,F1910R,43,8,0,20,0,3,1,2,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,43,12,20,46,62,22,41,18,21,19,37,15,25
run_1v6_myENGLAND_mydipnet_oppcicero_nopress_seed7_v1,7,1v6,ENGLAND,dipnet,cicero_nopress,solo_18sc_FRANCE,F1912R,54,0,0,19,0,15,0,0,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,46,11,13,75,95,32,45,61,71,23,40,9,29
run_1v6_myENGLAND_mydipnet_oppcicero_nopress_seed9_v1,9,1v6,ENGLAND,dipnet,cicero_nopress,stop_after_W1913A,W1913A,57,0,10,0,13,0,0,11,0.000000,0.256410,0.000000,0.433333,0.000000,0.000000,0.310256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,26,48,61,16,29,48,73,22,32,15,20,53,69
