game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myFRANCE_mydipnet_oppcicero_nopress_seed1_v1,1,1v6,FRANCE,dipnet,cicero_nopress,solo_18sc_AUSTRIA,F1909M,36,18,6,4,5,1,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,48,18,23,14,27,21,53,13,14,9,11,2,11
run_1v6_myFRANCE_mydipnet_oppcicero_nopress_seed0_v1,0,1v6,FRANCE,dipnet,cicero_nopress,solo_18sc_GERMANY,F1911R,48,0,0,2,18,4,0,10,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,25,15,17,32,46,49,94,27,36,10,17,22,65
run_1v6_myFRANCE_mydipnet_oppcicero_nopress_seed2_v1,2,1v6,FRANCE,dipnet,cicero_nopress,solo_18sc_ITALY,F1913R,57,0,12,4,0,18,0,0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,43,76,27,109,11,61,73,93,20,30,19,38
run_1v6_myFRANCE_mydipnet_oppcicero_nopress_seed3_v1,3,1v6,FRANCE,dipnet,cicero_nopress,max_phases,S1915M,60,0,4,10,3,17,0,0,0.000000,0.038647,0.241546,0.021739,0.698068,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,29,33,40,42,129,18,78,67,77,19,29,9,20
run_1v6_myFRANCE_mydipnet_oppcicero_nopress_seed4_v1,4,1v6,FRANCE,dipnet,cicero_nopress,stop_after_W1913A,W1913A,59,0,15,2,0,0,0,17,0.000000,0.434363,0.007722,0.000000,0.000000,0.000000,0.557915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,44,53,79,31,48,27,40,22,28,6,23,63,72
run_1v6_myFRANCE_mydipnet_oppcicero_nopress_seed5_v1,5,1v6,FRANCE,dipnet,cicero_nopress,stop_after_W1913A,W1913A,56,0,8,7,1,2,16,0,0.000000,0.171123,0.131016,0.002674,0.010695,0.684492,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,46,59,25,103,9,55,39,47,62,117,22,27
run_1v6_myFRANCE_mydipnet_oppcicero_nopress_seed6_v1,6,1v6,FRANCE,dipnet,cicero_nopress,stop_after_W1913A,W1913A,59,0,0,17,3,0,0,14,0.000000,0.000000,0.585020,0.018219,0.000000,0.000000,0.396761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,39,7,9,48,90,40,90,25,52,10,19,48,84
run_1v6_myFRANCE_mydipnet_oppcicero_nopress_seed7_v1,7,1v6,FRANCE,dipnet,cicero_nopress,solo_18sc_GERMANY,F1910R,45,0,0,0,19,12,3,0,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,32,21,25,8,21,46,47,34,57,22,39,5,14
run_1v6_myFRANCE_mydipnet_oppcicero_nopress_seed8_v1,8,1v6,FRANCE,dipnet,cicero_nopress,solo_18sc_GERMANY,F1909R,40,2,1,5,18,8,0,0,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,37,7,17,21,53,41,64,31,46,3,4,3,14
run_1v6_myFRANCE_mydipnet_oppcicero_nopress_seed9_v1,9,1v6,FRANCE,dipnet,cicero_nopress,solo_18sc_GERMANY,F1908R,35,3,3,0,19,8,1,0,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,32,18,27,12,25,34,55,18,40,14,17,7,7
