side,agent_name,scope,power,n_samples,mean_sos,win_rate,most_sc_rate,survived_rate,defeated_rate,win_count,most_sc_count,survived_count,defeated_count,c1_total,c2_total,c3_total,c4_total,c1_avg_per_sample,c2_avg_per_sample,c3_avg_per_sample,c4_avg_per_sample,support_success_total,support_total_total,support_success_ratio
self,dipnet,per_power,AUSTRIA,10,0.000000,0.000000,0.000000,0.000000,1.000000,0,0,0,10,0,0,0,0,0.000000,0.000000,0.000000,0.000000,93,159,0.584906
self,dipnet,per_power,ENGLAND,10,0.025641,0.000000,0.000000,0.100000,0.900000,0,0,1,9,0,0,0,0,0.000000,0.000000,0.000000,0.000000,169,229,0.737991
self,dipnet,per_power,FRANCE,10,0.096530,0.000000,0.100000,0.300000,0.600000,0,1,3,6,0,0,0,0,0.000000,0.000000,0.000000,0.000000,260,651,0.399386
self,dipnet,per_power,GERMANY,10,0.000000,0.000000,0.000000,0.000000,1.000000,0,0,0,10,0,0,0,0,0.000000,0.000000,0.000000,0.000000,132,267,0.494382
self,dipnet,per_power,ITALY,10,0.024839,0.000000,0.000000,0.200000,0.800000,0,0,2,8,0,0,0,0,0.000000,0.000000,0.000000,0.000000,171,306,0.558824
self,dipnet,per_power,RUSSIA,10,0.006477,0.000000,0.000000,0.100000,0.900000,0,0,1,9,0,0,0,0,0.000000,0.000000,0.000000,0.000000,130,308,0.422078
self,dipnet,per_power,TURKEY,10,0.000000,0.000000,0.000000,0.000000,1.000000,0,0,0,10,0,0,0,0,0.000000,0.000000,0.000000,0.000000,95,199,0.477387
opponent,cicero_nopress,per_power,AUSTRIA,60,0.043166,0.016667,0.033333,0.083333,0.866667,1,2,5,52,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1367,2233,0.612181
opponent,cicero_nopress,per_power,ENGLAND,60,0.145471,0.083333,0.033333,0.233333,0.650000,5,2,14,39,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1647,2256,0.730053
opponent,cicero_nopress,per_power,FRANCE,60,0.346578,0.266667,0.100000,0.233333,0.400000,16,6,14,24,0,0,0,0,0.000000,0.000000,0.000000,0.000000,2299,3193,0.720013
opponent,cicero_nopress,per_power,GERMANY,60,0.187544,0.116667,0.066667,0.250000,0.566667,7,4,15,34,0,0,0,0,0.000000,0.000000,0.000000,0.000000,2125,3412,0.622802
opponent,cicero_nopress,per_power,ITALY,60,0.241441,0.116667,0.183333,0.150000,0.550000,7,11,9,33,0,0,0,0,0.000000,0.000000,0.000000,0.000000,2333,3322,0.702288
opponent,cicero_nopress,per_power,RUSSIA,60,0.060899,0.016667,0.066667,0.066667,0.850000,1,4,4,51,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1228,2123,0.578427
opponent,cicero_nopress,per_power,TURKEY,60,0.115987,0.033333,0.083333,0.150000,0.733333,2,5,9,44,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1468,2301,0.637983
self,dipnet,overall,OVERALL,70,0.021927,0.000000,0.014286,0.100000,0.885714,0,1,7,62,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1050,2119,0.495517
opponent,cicero_nopress,overall,OVERALL,420,0.163012,0.092857,0.080952,0.166667,0.659524,39,34,70,277,0,0,0,0,0.000000,0.000000,0.000000,0.000000,12467,18840,0.661730
