game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myENGLAND_mydipnet_oppconsistent_seed0_v2,0,1v6,ENGLAND,dipnet,consistent,max_phases,F1913R,60,0,0,9,7,4,10,4,0.000000,0.000000,0.309160,0.187023,0.061069,0.381679,0.061069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,9,55,69,53,89,44,81,46,94,47,77
run_1v6_myENGLAND_mydipnet_oppconsistent_seed1_v2,1,1v6,ENGLAND,dipnet,consistent,stop_after_W1913A,W1913A,59,0,0,6,9,6,5,8,0.000000,0.000000,0.148760,0.334711,0.148760,0.103306,0.264463,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,4,9,25,49,60,46,89,47,67,39,84,46,82
run_1v6_myENGLAND_mydipnet_oppconsistent_seed2_v2,2,1v6,ENGLAND,dipnet,consistent,stop_after_W1913A,W1913A,54,0,1,6,8,5,10,4,0.000000,0.004132,0.148760,0.264463,0.103306,0.413223,0.066116,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,13,24,46,69,66,111,42,70,51,87,37,64
run_1v6_myENGLAND_mydipnet_oppconsistent_seed3_v2,3,1v6,ENGLAND,dipnet,consistent,stop_after_W1913A,W1913A,60,3,2,4,8,5,6,6,0.047368,0.021053,0.084211,0.336842,0.131579,0.189474,0.189474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,58,19,38,49,62,39,59,33,48,26,44,47,64
run_1v6_myENGLAND_mydipnet_oppconsistent_seed4_v2,4,1v6,ENGLAND,dipnet,consistent,stop_after_W1913A,W1913A,55,0,0,9,4,4,11,6,0.000000,0.000000,0.300000,0.059259,0.059259,0.448148,0.133333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,12,20,56,70,45,70,36,66,75,109,26,49
run_1v6_myENGLAND_mydipnet_oppconsistent_seed5_v2,5,1v6,ENGLAND,dipnet,consistent,stop_after_W1913A,W1913A,59,0,0,17,0,8,1,8,0.000000,0.000000,0.691388,0.000000,0.153110,0.002392,0.153110,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,4,6,61,89,36,71,37,51,35,113,37,62
run_1v6_myENGLAND_mydipnet_oppconsistent_seed6_v2,6,1v6,ENGLAND,dipnet,consistent,stop_after_W1913A,W1913A,58,0,0,16,0,6,3,9,0.000000,0.000000,0.670157,0.000000,0.094241,0.023560,0.212042,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,6,9,24,61,82,35,56,40,51,39,86,37,84
run_1v6_myENGLAND_mydipnet_oppconsistent_seed7_v2,7,1v6,ENGLAND,dipnet,consistent,max_phases,F1913R,60,0,0,4,10,0,6,14,0.000000,0.000000,0.045977,0.287356,0.000000,0.103448,0.563218,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,29,18,22,30,41,65,79,10,24,29,47,48,62
run_1v6_myENGLAND_mydipnet_oppconsistent_seed8_v2,8,1v6,ENGLAND,dipnet,consistent,stop_after_W1913A,W1913A,45,0,1,6,8,6,7,6,0.000000,0.004505,0.162162,0.288288,0.162162,0.220721,0.162162,0,0,0,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,16,28,43,91,41,92,12,92,18,146,6,120
run_1v6_myENGLAND_mydipnet_oppconsistent_seed9_v2,9,1v6,ENGLAND,dipnet,consistent,stop_after_W1913A,W1913A,60,0,0,2,9,11,7,5,0.000000,0.000000,0.014286,0.289286,0.432143,0.175000,0.089286,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13,12,15,27,44,45,61,30,88,49,82,15,71
