game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myFRANCE_mydipnet_oppconsistent_seed0_v2,0,1v6,FRANCE,dipnet,consistent,stop_after_W1913A,W1913A,57,0,0,0,16,3,5,10,0.000000,0.000000,0.000000,0.656410,0.023077,0.064103,0.256410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,21,49,5,8,57,99,38,69,43,107,43,67
run_1v6_myFRANCE_mydipnet_oppconsistent_seed1_v2,1,1v6,FRANCE,dipnet,consistent,stop_after_W1913A,W1913A,59,0,0,0,17,7,10,0,0.000000,0.000000,0.000000,0.659817,0.111872,0.228311,0.000000,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,4,11,26,39,64,93,39,52,47,94,34,50
run_1v6_myFRANCE_mydipnet_oppconsistent_seed2_v2,2,1v6,FRANCE,dipnet,consistent,stop_after_W1913A,W1913A,58,0,16,1,0,8,1,8,0.000000,0.663212,0.002591,0.000000,0.165803,0.002591,0.165803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,51,74,31,34,24,41,32,41,46,76,35,64
run_1v6_myFRANCE_mydipnet_oppconsistent_seed3_v2,3,1v6,FRANCE,dipnet,consistent,max_phases,F1913R,60,0,0,5,9,6,14,0,0.000000,0.000000,0.073964,0.239645,0.106509,0.579882,0.000000,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,23,9,11,36,62,50,98,32,39,41,126,32,50
run_1v6_myFRANCE_mydipnet_oppconsistent_seed4_v2,4,1v6,FRANCE,dipnet,consistent,solo_18sc_TURKEY,F1913R,57,0,5,3,7,0,0,19,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,30,61,40,63,30,73,26,71,25,47,58,72
run_1v6_myFRANCE_mydipnet_oppconsistent_seed5_v2,5,1v6,FRANCE,dipnet,consistent,stop_after_W1913A,W1913A,56,0,0,1,16,4,3,10,0.000000,0.000000,0.002618,0.670157,0.041885,0.023560,0.261780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,17,21,27,68,48,70,32,50,29,68,53,68
run_1v6_myFRANCE_mydipnet_oppconsistent_seed6_v2,6,1v6,FRANCE,dipnet,consistent,stop_after_W1913A,W1913A,56,0,4,6,6,0,10,8,0.000000,0.063492,0.142857,0.142857,0.000000,0.396825,0.253968,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,22,38,15,110,23,95,43,55,56,72,28,44
run_1v6_myFRANCE_mydipnet_oppconsistent_seed7_v2,7,1v6,FRANCE,dipnet,consistent,max_phases,F1913R,60,0,13,4,0,9,5,3,0.000000,0.563333,0.053333,0.000000,0.270000,0.083333,0.030000,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,37,51,51,79,39,72,26,28,29,42,34,59,20,46
run_1v6_myFRANCE_mydipnet_oppconsistent_seed8_v2,8,1v6,FRANCE,dipnet,consistent,stop_after_W1913A,W1913A,59,0,4,0,8,11,4,7,0.000000,0.060150,0.000000,0.240602,0.454887,0.060150,0.184211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,12,28,51,20,20,43,78,43,70,40,94,41,50
run_1v6_myFRANCE_mydipnet_oppconsistent_seed9_v2,9,1v6,FRANCE,dipnet,consistent,stop_after_W1913A,W1913A,56,5,10,0,11,1,7,0,0.084459,0.337838,0.000000,0.408784,0.003378,0.165541,0.000000,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,92,39,57,16,20,42,73,13,20,56,90,5,6
