game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myRUSSIA_mydipnet_oppconsistent_seed0_v2,0,1v6,RUSSIA,dipnet,consistent,stop_after_W1913A,W1913A,57,13,12,5,0,4,0,0,0.477401,0.406780,0.070621,0.000000,0.045198,0.000000,0.000000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,47,94,49,83,29,58,28,35,28,38,10,22,10,17
run_1v6_myRUSSIA_mydipnet_oppconsistent_seed1_v2,1,1v6,RUSSIA,dipnet,consistent,stop_after_W1913A,W1913A,59,0,5,7,5,6,1,10,0.000000,0.105932,0.207627,0.105932,0.152542,0.004237,0.423729,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,24,25,34,50,36,46,38,61,27,67,52,87
run_1v6_myRUSSIA_mydipnet_oppconsistent_seed2_v2,2,1v6,RUSSIA,dipnet,consistent,stop_after_W1913A,W1913A,60,0,4,12,9,0,0,9,0.000000,0.049689,0.447205,0.251553,0.000000,0.000000,0.251553,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,37,66,48,57,48,75,35,72,24,35,18,44,36,57
run_1v6_myRUSSIA_mydipnet_oppconsistent_seed3_v2,3,1v6,RUSSIA,dipnet,consistent,max_phases,F1913R,60,0,15,1,0,8,1,9,0.000000,0.604839,0.002688,0.000000,0.172043,0.002688,0.217742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,4,4,78,102,25,74,9,34,43,68,8,27,49,90
run_1v6_myRUSSIA_mydipnet_oppconsistent_seed4_v2,4,1v6,RUSSIA,dipnet,consistent,stop_after_W1913A,W1913A,59,10,0,0,16,8,0,0,0.238095,0.000000,0.000000,0.609524,0.152381,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,69,11,11,7,7,59,142,26,99,20,44,14,17
run_1v6_myRUSSIA_mydipnet_oppconsistent_seed5_v2,5,1v6,RUSSIA,dipnet,consistent,stop_after_W1913A,W1913A,60,0,0,8,10,16,0,0,0.000000,0.000000,0.152381,0.238095,0.609524,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,11,19,4,7,51,72,49,148,55,84,13,43,17,27
run_1v6_myRUSSIA_mydipnet_oppconsistent_seed6_v2,6,1v6,RUSSIA,dipnet,consistent,solo_18sc_ITALY,F1913R,59,0,8,2,6,18,0,0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,9,52,66,24,37,54,74,91,129,10,30,10,17
run_1v6_myRUSSIA_mydipnet_oppconsistent_seed7_v2,7,1v6,RUSSIA,dipnet,consistent,solo_18sc_TURKEY,F1911R,51,0,0,14,1,1,0,18,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,2,0,0,4,5,12,13,32,54,33,48,19,37,8,20,66,102
run_1v6_myRUSSIA_mydipnet_oppconsistent_seed8_v2,8,1v6,RUSSIA,dipnet,consistent,stop_after_W1913A,W1913A,59,15,12,0,4,2,1,0,0.576923,0.369231,0.000000,0.041026,0.010256,0.002564,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,98,56,82,21,23,22,42,14,21,29,45,13,13
run_1v6_myRUSSIA_mydipnet_oppconsistent_seed9_v2,9,1v6,RUSSIA,dipnet,consistent,stop_after_W1913A,W1913A,54,9,1,10,4,5,0,5,0.326613,0.004032,0.403226,0.064516,0.100806,0.000000,0.100806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,52,111,12,29,39,87,35,70,25,49,16,44,21,54
