side,agent_name,scope,power,n_samples,mean_sos,win_rate,most_sc_rate,survived_rate,defeated_rate,win_count,most_sc_count,survived_count,defeated_count,c1_total,c2_total,c3_total,c4_total,c1_avg_per_sample,c2_avg_per_sample,c3_avg_per_sample,c4_avg_per_sample,support_success_total,support_total_total,support_success_ratio
self,dipnet,per_power,AUSTRIA,10,0.000000,0.000000,0.000000,0.000000,1.000000,0,0,0,10,0,7,0,0,0.000000,0.700000,0.000000,0.000000,72,181,0.397790
self,dipnet,per_power,ENGLAND,10,0.002969,0.000000,0.000000,0.300000,0.700000,0,0,3,7,1,14,1,0,0.100000,1.400000,0.100000,0.000000,121,211,0.573460
self,dipnet,per_power,FRANCE,10,0.027536,0.000000,0.000000,0.500000,0.500000,0,0,5,5,2,7,4,0,0.200000,0.700000,0.400000,0.000000,255,496,0.514113
self,dipnet,per_power,GERMANY,10,0.001977,0.000000,0.000000,0.200000,0.800000,0,0,2,8,4,12,18,4,0.400000,1.200000,1.800000,0.400000,152,272,0.558824
self,dipnet,per_power,ITALY,10,0.017191,0.000000,0.000000,0.400000,0.600000,0,0,4,6,5,4,12,0,0.500000,0.400000,1.200000,0.000000,171,309,0.553398
self,dipnet,per_power,RUSSIA,10,0.000949,0.000000,0.000000,0.300000,0.700000,0,0,3,7,2,16,1,1,0.200000,1.600000,0.100000,0.100000,159,386,0.411917
self,dipnet,per_power,TURKEY,10,0.020906,0.000000,0.000000,0.300000,0.700000,0,0,3,7,0,6,4,0,0.000000,0.600000,0.400000,0.000000,268,444,0.603604
opponent,consistent,per_power,AUSTRIA,60,0.041587,0.000000,0.033333,0.166667,0.800000,0,2,10,48,0,0,0,0,0.000000,0.000000,0.000000,0.000000,819,1524,0.537402
opponent,consistent,per_power,ENGLAND,60,0.131796,0.000000,0.116667,0.533333,0.350000,0,7,32,21,0,10,0,0,0.000000,0.166667,0.000000,0.000000,1914,2866,0.667830
opponent,consistent,per_power,FRANCE,60,0.206491,0.000000,0.250000,0.566667,0.183333,0,15,34,11,1,6,0,0,0.016667,0.100000,0.000000,0.000000,2221,3628,0.612183
opponent,consistent,per_power,GERMANY,60,0.160630,0.000000,0.150000,0.533333,0.316667,0,9,32,19,0,16,0,0,0.000000,0.266667,0.000000,0.000000,2222,4096,0.542480
opponent,consistent,per_power,ITALY,60,0.201390,0.033333,0.183333,0.583333,0.200000,2,11,35,12,1,9,0,0,0.016667,0.150000,0.000000,0.000000,2195,3651,0.601205
opponent,consistent,per_power,RUSSIA,60,0.205778,0.016667,0.266667,0.583333,0.133333,1,16,35,8,0,8,0,0,0.000000,0.133333,0.000000,0.000000,2448,4792,0.510851
opponent,consistent,per_power,TURKEY,60,0.207073,0.033333,0.150000,0.633333,0.183333,2,9,38,11,0,7,0,0,0.000000,0.116667,0.000000,0.000000,2240,3797,0.589939
self,dipnet,overall,OVERALL,70,0.010218,0.000000,0.000000,0.285714,0.714286,0,0,20,50,14,66,40,5,0.200000,0.942857,0.571429,0.071429,1198,2299,0.521096
opponent,consistent,overall,OVERALL,420,0.164964,0.011905,0.164286,0.514286,0.309524,5,69,216,130,2,56,0,0,0.004762,0.133333,0.000000,0.000000,14059,24354,0.577277
