game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myENGLAND_mydipnet_oppsearchbot_seed0_v1,0,1v6,ENGLAND,dipnet,searchbot,solo_18sc_FRANCE,F1909R,35,2,0,18,1,8,0,5,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,24,11,12,31,32,8,19,20,51,9,33,29,35
run_1v6_myENGLAND_mydipnet_oppsearchbot_seed1_v1,1,1v6,ENGLAND,dipnet,searchbot,stop_after_W1913A,W1913A,54,0,0,2,6,7,12,7,0.000000,0.000000,0.014184,0.127660,0.173759,0.510638,0.173759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,68,10,10,34,67,34,80,39,57,21,72,33,40
run_1v6_myENGLAND_mydipnet_oppsearchbot_seed4_v1,4,1v6,ENGLAND,dipnet,searchbot,solo_18sc_FRANCE,F1910R,44,0,0,18,0,3,2,11,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,11,14,59,63,4,12,20,34,31,57,35,51
run_1v6_myENGLAND_mydipnet_oppsearchbot_seed3_v1,3,1v6,ENGLAND,dipnet,searchbot,stop_after_W1913A,W1913A,60,0,0,14,3,0,0,17,0.000000,0.000000,0.396761,0.018219,0.000000,0.000000,0.585020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,23,7,8,56,160,48,85,20,28,3,3,79,127
run_1v6_myENGLAND_mydipnet_oppsearchbot_seed2_v1,2,1v6,ENGLAND,dipnet,searchbot,max_phases,F1913R,60,11,0,3,0,10,10,0,0.366667,0.000000,0.027273,0.000000,0.303030,0.303030,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,104,8,8,34,65,24,41,30,60,43,88,16,22
run_1v6_myENGLAND_mydipnet_oppsearchbot_seed5_v1,5,1v6,ENGLAND,dipnet,searchbot,solo_18sc_FRANCE,F1913R,58,0,0,18,2,4,0,10,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,24,10,11,64,89,15,33,38,47,20,72,48,61
run_1v6_myENGLAND_mydipnet_oppsearchbot_seed6_v1,6,1v6,ENGLAND,dipnet,searchbot,stop_after_W1913A,W1913A,60,0,0,16,1,0,0,17,0.000000,0.000000,0.468864,0.001832,0.000000,0.000000,0.529304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,23,8,11,67,98,27,74,10,13,25,51,60,86
run_1v6_myENGLAND_mydipnet_oppsearchbot_seed7_v1,7,1v6,ENGLAND,dipnet,searchbot,max_phases,F1913R,60,0,0,17,1,6,10,0,0.000000,0.000000,0.678404,0.002347,0.084507,0.234742,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,29,21,29,55,60,31,40,29,48,41,93,22,38
run_1v6_myENGLAND_mydipnet_oppsearchbot_seed8_v1,8,1v6,ENGLAND,dipnet,searchbot,stop_after_W1913A,W1913A,59,4,0,0,14,7,4,5,0.052980,0.000000,0.000000,0.649007,0.162252,0.052980,0.082781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,70,10,18,28,36,48,62,28,36,25,63,32,55
run_1v6_myENGLAND_mydipnet_oppsearchbot_seed9_v1,9,1v6,ENGLAND,dipnet,searchbot,solo_18sc_GERMANY,F1912R,51,5,0,1,23,4,0,1,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,43,15,17,16,38,69,85,26,50,5,6,40,49
