game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myGERMANY_mydipnet_oppsearchbot_seed0_v1,0,1v6,GERMANY,dipnet,searchbot,solo_18sc_FRANCE,F1908R,37,7,0,19,0,2,2,4,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,48,3,5,31,43,20,39,17,35,20,34,13,20
run_1v6_myGERMANY_mydipnet_oppsearchbot_seed2_v1,2,1v6,GERMANY,dipnet,searchbot,solo_18sc_ITALY,F1910R,46,0,1,11,0,19,3,0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,19,25,29,40,11,12,56,73,39,52,7,11
run_1v6_myGERMANY_mydipnet_oppsearchbot_seed3_v1,3,1v6,GERMANY,dipnet,searchbot,solo_18sc_AUSTRIA,F1912R,51,18,8,0,0,8,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,78,40,80,3,18,23,43,29,41,11,15,10,14
run_1v6_myGERMANY_mydipnet_oppsearchbot_seed1_v1,1,1v6,GERMANY,dipnet,searchbot,max_phases,F1913M,60,1,0,17,0,1,4,11,0.002336,0.000000,0.675234,0.000000,0.002336,0.037383,0.282710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,24,12,14,67,81,21,29,10,12,47,95,50,73
run_1v6_myGERMANY_mydipnet_oppsearchbot_seed4_v1,4,1v6,GERMANY,dipnet,searchbot,solo_18sc_TURKEY,F1913R,60,0,0,3,0,0,10,21,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8,22,42,55,7,10,19,36,55,118,63,91
run_1v6_myGERMANY_mydipnet_oppsearchbot_seed6_v1,6,1v6,GERMANY,dipnet,searchbot,solo_18sc_ITALY,F1910R,44,0,6,3,7,18,0,0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,18,44,11,65,12,71,62,79,15,34,14,24
run_1v6_myGERMANY_mydipnet_oppsearchbot_seed5_v1,5,1v6,GERMANY,dipnet,searchbot,solo_18sc_FRANCE,F1912R,54,0,0,21,0,4,2,7,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,30,22,39,56,72,11,27,32,67,27,63,34,50
run_1v6_myGERMANY_mydipnet_oppsearchbot_seed8_v1,8,1v6,GERMANY,dipnet,searchbot,stop_after_W1913A,W1913A,55,11,13,4,0,6,0,0,0.353801,0.494152,0.046784,0.000000,0.105263,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,100,74,117,26,57,10,29,4,21,11,22,12,14
run_1v6_myGERMANY_mydipnet_oppsearchbot_seed7_v1,7,1v6,GERMANY,dipnet,searchbot,stop_after_W1913A,W1913A,56,2,6,13,5,0,4,4,0.015038,0.135338,0.635338,0.093985,0.000000,0.060150,0.060150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,53,31,53,39,76,37,91,2,5,21,85,27,30
run_1v6_myGERMANY_mydipnet_oppsearchbot_seed9_v1,9,1v6,GERMANY,dipnet,searchbot,solo_18sc_FRANCE,F1911R,47,12,1,18,0,3,0,0,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,82,11,19,63,83,16,25,16,30,7,21,6,14
