game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myTURKEY_mydipnet_oppsearchbot_seed3_v1,3,1v6,TURKEY,dipnet,searchbot,solo_18sc_FRANCE,F1912R,52,0,0,21,2,9,2,0,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,12,31,62,73,12,28,56,106,19,68,10,25
run_1v6_myTURKEY_mydipnet_oppsearchbot_seed0_v1,0,1v6,TURKEY,dipnet,searchbot,stop_after_W1913A,W1913A,56,0,0,8,8,6,8,4,0.000000,0.000000,0.262295,0.262295,0.147541,0.262295,0.065574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,10,11,49,70,60,89,31,75,47,112,30,72
run_1v6_myTURKEY_mydipnet_oppsearchbot_seed2_v1,2,1v6,TURKEY,dipnet,searchbot,max_phases,F1913R,60,0,0,9,6,8,11,0,0.000000,0.000000,0.268212,0.119205,0.211921,0.400662,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,21,10,16,39,88,31,81,19,63,29,99,14,34
run_1v6_myTURKEY_mydipnet_oppsearchbot_seed4_v1,4,1v6,TURKEY,dipnet,searchbot,solo_18sc_FRANCE,F1911M,43,0,8,18,4,1,0,3,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,25,26,65,42,102,17,54,9,13,18,34,21,25
run_1v6_myTURKEY_mydipnet_oppsearchbot_seed1_v1,1,1v6,TURKEY,dipnet,searchbot,solo_18sc_FRANCE,F1910R,44,0,0,19,0,0,9,6,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,24,27,34,47,59,4,36,6,10,23,88,26,66
run_1v6_myTURKEY_mydipnet_oppsearchbot_seed5_v1,5,1v6,TURKEY,dipnet,searchbot,solo_18sc_FRANCE,F1910R,44,0,0,19,1,4,3,7,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,9,44,64,23,44,21,71,17,66,13,76
run_1v6_myTURKEY_mydipnet_oppsearchbot_seed6_v1,6,1v6,TURKEY,dipnet,searchbot,solo_18sc_FRANCE,F1911R,49,0,0,18,3,4,4,5,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,6,11,62,85,18,34,34,56,19,46,27,62
run_1v6_myTURKEY_mydipnet_oppsearchbot_seed7_v1,7,1v6,TURKEY,dipnet,searchbot,solo_18sc_FRANCE,F1909R,40,0,0,20,0,8,6,0,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,11,13,40,68,11,18,29,35,30,77,10,14
run_1v6_myTURKEY_mydipnet_oppsearchbot_seed8_v1,8,1v6,TURKEY,dipnet,searchbot,solo_18sc_FRANCE,F1913R,55,0,0,19,0,0,8,7,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13,8,8,48,61,25,52,18,70,42,150,29,110
run_1v6_myTURKEY_mydipnet_oppsearchbot_seed9_v1,9,1v6,TURKEY,dipnet,searchbot,solo_18sc_FRANCE,F1910M,42,0,2,18,0,6,3,5,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,16,20,42,49,11,20,19,60,20,55,14,27
