game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myAUSTRIA_myconsistent_oppcicero_nopress_seed0,0,1v6,AUSTRIA,consistent,cicero_nopress,solo_18sc_AUSTRIA,F1913R,52,18,0,7,9,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,1,0,0,0,2,0,0,1,1,0,0,83,124,9,11,46,63,48,69,8,9,10,16,6,14
run_1v6_myAUSTRIA_myconsistent_oppcicero_nopress_seed1,1,1v6,AUSTRIA,consistent,cicero_nopress,max_phases,F1913M,60,0,2,14,2,14,0,2,0.0,0.009900990099009901,0.48514851485148514,0.009900990099009901,0.48514851485148514,0.0,0.009900990099009901,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,18,34,9,43,53,77,35,55,54,67,4,12,40,50
run_1v6_myAUSTRIA_myconsistent_oppcicero_nopress_seed2,2,1v6,AUSTRIA,consistent,cicero_nopress,solo_18sc_ITALY,F1911R,50,0,0,13,3,18,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0,0,1,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5,6,16,22,37,48,34,46,63,91,12,28,11,16
run_1v6_myAUSTRIA_myconsistent_oppcicero_nopress_seed3,3,1v6,AUSTRIA,consistent,cicero_nopress,solo_18sc_TURKEY,F1912M,53,0,0,16,0,0,0,18,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,28,35,16,21,70,78,35,46,11,12,5,9,61,77
run_1v6_myAUSTRIA_myconsistent_oppcicero_nopress_seed7,7,1v6,AUSTRIA,consistent,cicero_nopress,solo_18sc_FRANCE,F1911R,51,0,0,19,0,2,0,13,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,2,4,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,26,32,10,12,43,79,15,42,19,35,4,9,48,62
run_1v6_myAUSTRIA_myconsistent_oppcicero_nopress_seed9,9,1v6,AUSTRIA,consistent,cicero_nopress,stop_after_W1913A,W1913A,58,14,16,1,0,0,0,3,0.42424242424242425,0.5541125541125541,0.0021645021645021645,0.0,0.0,0.0,0.01948051948051948,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,40,138,51,77,34,42,16,26,12,14,10,19,24,39
run_1v6_myAUSTRIA_myconsistent_oppcicero_nopress_seed6,6,1v6,AUSTRIA,consistent,cicero_nopress,stop_after_W1913A,W1913A,57,15,15,0,0,4,0,0,0.48283261802575106,0.48283261802575106,0.0,0.0,0.034334763948497854,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,51,109,60,114,24,40,17,23,22,24,9,21,12,21
run_1v6_myAUSTRIA_myconsistent_oppcicero_nopress_seed5,5,1v6,AUSTRIA,consistent,cicero_nopress,stop_after_W1913A,W1913A,60,7,8,3,0,16,0,0,0.12962962962962962,0.1693121693121693,0.023809523809523808,0.0,0.6772486772486772,0.0,0.0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,1,0,0,2,1,0,0,0,1,0,0,0,0,0,41,63,42,64,25,41,6,7,35,53,25,36,7,18
run_1v6_myAUSTRIA_myconsistent_oppcicero_nopress_seed8,8,1v6,AUSTRIA,consistent,cicero_nopress,solo_18sc_ITALY,F1912R,53,0,6,2,8,18,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,1,0,0,19,25,24,36,22,28,28,34,52,64,12,20,21,33
run_1v6_myAUSTRIA_myconsistent_oppcicero_nopress_seed4,4,1v6,AUSTRIA,consistent,cicero_nopress,max_phases,F1913R,60,0,6,11,0,1,0,16,0.0,0.08695652173913043,0.2922705314009662,0.0,0.0024154589371980675,0.0,0.6183574879227053,0,0,0,0,2,4,1,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,20,35,34,64,33,55,17,29,30,31,4,6,58,73
