game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myENGLAND_myconsistent_oppcicero_nopress_seed0,0,1v6,ENGLAND,consistent,cicero_nopress,stop_after_W1913A,W1913A,59,17,11,2,3,1,0,0,0.6816037735849056,0.28537735849056606,0.009433962264150943,0.02122641509433962,0.0023584905660377358,0.0,0.0,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,1,71,89,41,65,37,52,35,41,11,16,3,6,10,27
run_1v6_myENGLAND_myconsistent_oppcicero_nopress_seed1,1,1v6,ENGLAND,consistent,cicero_nopress,max_phases,F1913R,60,3,12,4,0,15,0,0,0.02284263959390863,0.36548223350253806,0.04060913705583756,0.0,0.5710659898477157,0.0,0.0,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,2,0,0,26,34,38,45,41,70,13,16,46,70,6,11,26,36
run_1v6_myENGLAND_myconsistent_oppcicero_nopress_seed2,2,1v6,ENGLAND,consistent,cicero_nopress,stop_after_W1913A,W1913A,59,3,17,4,0,0,2,8,0.02356020942408377,0.756544502617801,0.041884816753926704,0.0,0.0,0.010471204188481676,0.16753926701570682,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,34,59,48,64,35,58,15,27,10,12,20,43,27,48
run_1v6_myENGLAND_myconsistent_oppcicero_nopress_seed7,7,1v6,ENGLAND,consistent,cicero_nopress,solo_18sc_TURKEY,F1913R,60,0,13,3,0,0,0,18,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,16,34,62,89,55,77,17,28,9,11,9,21,53,67
run_1v6_myENGLAND_myconsistent_oppcicero_nopress_seed3,3,1v6,ENGLAND,consistent,cicero_nopress,stop_after_W1913A,W1913A,57,13,9,1,3,5,1,2,0.5827586206896552,0.2793103448275862,0.0034482758620689655,0.03103448275862069,0.08620689655172414,0.0034482758620689655,0.013793103448275862,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,35,69,28,43,41,58,21,63,25,36,15,31,23,46
run_1v6_myENGLAND_myconsistent_oppcicero_nopress_seed4,4,1v6,ENGLAND,consistent,cicero_nopress,stop_after_W1913A,W1913A,60,0,3,10,4,10,1,6,0.0,0.03435114503816794,0.3816793893129771,0.061068702290076333,0.3816793893129771,0.003816793893129771,0.13740458015267176,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,6,9,31,36,45,52,26,56,49,59,39,60,19,40
run_1v6_myENGLAND_myconsistent_oppcicero_nopress_seed8,8,1v6,ENGLAND,consistent,cicero_nopress,max_phases,F1913R,60,0,14,3,0,4,2,11,0.0,0.5664739884393064,0.02601156069364162,0.0,0.046242774566473986,0.011560693641618497,0.34971098265895956,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,5,11,51,74,42,61,14,20,44,53,39,60,34,47
run_1v6_myENGLAND_myconsistent_oppcicero_nopress_seed5,5,1v6,ENGLAND,consistent,cicero_nopress,stop_after_W1913A,W1913A,60,11,4,9,4,0,0,6,0.44814814814814813,0.05925925925925926,0.3,0.05925925925925926,0.0,0.0,0.13333333333333333,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,45,59,6,8,42,50,28,52,15,18,21,32,26,37
run_1v6_myENGLAND_myconsistent_oppcicero_nopress_seed6,6,1v6,ENGLAND,consistent,cicero_nopress,stop_after_W1913A,W1913A,60,8,0,11,8,0,0,7,0.21476510067114093,0.0,0.40604026845637586,0.21476510067114093,0.0,0.0,0.1644295302013423,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,1,40,82,12,17,66,75,47,56,3,5,14,25,35,59
run_1v6_myENGLAND_myconsistent_oppcicero_nopress_seed9,9,1v6,ENGLAND,consistent,cicero_nopress,solo_18sc_ITALY,F1910R,45,0,0,7,9,18,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,1,1,0,0,0,0,0,0,0,1,0,0,14,22,13,14,26,43,47,62,30,39,7,26,7,20
