game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myFRANCE_myconsistent_oppcicero_nopress_seed0,0,1v6,FRANCE,consistent,cicero_nopress,solo_18sc_FRANCE,F1910M,46,0,2,18,2,1,7,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3,3,11,17,45,53,42,51,16,28,18,35,19,33
run_1v6_myFRANCE_myconsistent_oppcicero_nopress_seed1,1,1v6,FRANCE,consistent,cicero_nopress,stop_after_W1913A,W1913A,60,0,8,10,1,0,0,15,0.0,0.1641025641025641,0.2564102564102564,0.002564102564102564,0.0,0.0,0.5769230769230769,0,0,0,0,1,5,1,0,0,0,0,0,1,5,1,0,0,2,0,0,0,0,0,0,0,2,1,0,9,12,30,39,42,53,38,60,28,43,5,13,69,86
run_1v6_myFRANCE_myconsistent_oppcicero_nopress_seed3,3,1v6,FRANCE,consistent,cicero_nopress,solo_18sc_FRANCE,F1912R,56,0,0,19,0,15,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,28,46,3,5,52,67,29,44,41,67,30,41,14,27
run_1v6_myFRANCE_myconsistent_oppcicero_nopress_seed4,4,1v6,FRANCE,consistent,cicero_nopress,max_phases,S1913R,60,0,0,13,1,7,0,13,0.0,0.0,0.43556701030927836,0.002577319587628866,0.12628865979381443,0.0,0.43556701030927836,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,14,21,16,16,44,55,26,29,46,49,4,17,72,83
run_1v6_myFRANCE_myconsistent_oppcicero_nopress_seed2,2,1v6,FRANCE,consistent,cicero_nopress,solo_18sc_FRANCE,F1913R,60,0,0,18,0,15,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,8,10,12,15,47,78,28,30,62,80,40,51,23,26
run_1v6_myFRANCE_myconsistent_oppcicero_nopress_seed5,5,1v6,FRANCE,consistent,cicero_nopress,stop_after_W1913A,W1913A,60,16,10,7,1,0,0,0,0.6305418719211823,0.24630541871921183,0.1206896551724138,0.0024630541871921183,0.0,0.0,0.0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,55,72,33,36,37,43,40,59,21,25,9,20,10,20
run_1v6_myFRANCE_myconsistent_oppcicero_nopress_seed6,6,1v6,FRANCE,consistent,cicero_nopress,stop_after_W1913A,W1913A,60,0,8,4,0,8,10,4,0.0,0.24615384615384617,0.06153846153846154,0.0,0.24615384615384617,0.38461538461538464,0.06153846153846154,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,1,14,29,41,56,37,40,8,13,36,65,43,75,19,35
run_1v6_myFRANCE_myconsistent_oppcicero_nopress_seed7,7,1v6,FRANCE,consistent,cicero_nopress,stop_after_W1913A,W1913A,58,0,0,14,2,3,8,7,0.0,0.0,0.6086956521739131,0.012422360248447204,0.027950310559006212,0.19875776397515527,0.15217391304347827,0,1,0,0,0,1,1,0,0,0,0,0,0,2,3,0,1,3,0,0,1,2,1,0,0,2,0,0,11,15,27,37,42,54,17,29,31,39,43,67,22,32
run_1v6_myFRANCE_myconsistent_oppcicero_nopress_seed8,8,1v6,FRANCE,consistent,cicero_nopress,stop_after_W1913A,W1913A,60,4,0,7,12,1,0,10,0.05161290322580645,0.0,0.15806451612903225,0.4645161290322581,0.0032258064516129032,0.0,0.3225806451612903,0,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,3,0,0,3,3,0,0,21,33,35,41,26,43,67,88,25,32,9,31,24,50
run_1v6_myFRANCE_myconsistent_oppcicero_nopress_seed9,9,1v6,FRANCE,consistent,cicero_nopress,solo_18sc_FRANCE,F1913R,59,0,0,18,0,3,13,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,1,0,0,0,0,0,13,17,21,28,61,93,13,29,20,34,59,87,14,16
