game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myGERMANY_myconsistent_oppcicero_nopress_seed0,0,1v6,GERMANY,consistent,cicero_nopress,solo_18sc_ENGLAND,F1910M,45,0,18,0,0,2,1,13,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,9,11,41,48,12,14,6,8,22,38,17,20,41,57
run_1v6_myGERMANY_myconsistent_oppcicero_nopress_seed1,1,1v6,GERMANY,consistent,cicero_nopress,solo_18sc_ITALY,F1912R,55,0,4,3,5,20,2,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,1,2,0,1,0,1,0,0,12,24,19,25,26,44,19,39,58,85,18,41,4,27
run_1v6_myGERMANY_myconsistent_oppcicero_nopress_seed2,2,1v6,GERMANY,consistent,cicero_nopress,stop_after_W1913A,W1913A,56,4,1,6,13,10,0,0,0.049689440993788817,0.003105590062111801,0.11180124223602485,0.5248447204968945,0.3105590062111801,0.0,0.0,1,2,1,0,0,1,2,0,0,1,3,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,26,64,10,10,45,56,76,119,63,83,9,17,6,10
run_1v6_myGERMANY_myconsistent_oppcicero_nopress_seed3,3,1v6,GERMANY,consistent,cicero_nopress,stop_after_W1913A,W1913A,59,0,0,16,0,0,7,11,0.0,0.0,0.6009389671361502,0.0,0.0,0.11502347417840375,0.284037558685446,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,2,0,0,0,2,0,0,1,0,0,0,13,24,9,13,67,107,22,24,22,28,62,88,26,38
run_1v6_myGERMANY_myconsistent_oppcicero_nopress_seed4,4,1v6,GERMANY,consistent,cicero_nopress,solo_18sc_FRANCE,F1911R,50,3,0,18,0,0,7,6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,20,56,9,15,59,78,20,32,12,26,21,40,12,29
run_1v6_myGERMANY_myconsistent_oppcicero_nopress_seed6,6,1v6,GERMANY,consistent,cicero_nopress,max_phases,F1913R,60,7,2,14,7,0,0,4,0.15605095541401273,0.012738853503184714,0.6242038216560509,0.15605095541401273,0.0,0.0,0.050955414012738856,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,44,81,21,24,51,72,37,59,4,7,14,21,30,34
run_1v6_myGERMANY_myconsistent_oppcicero_nopress_seed9,9,1v6,GERMANY,consistent,cicero_nopress,solo_18sc_AUSTRIA,F1911R,47,18,14,2,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,57,78,42,52,16,18,32,35,13,15,6,21,15,22
run_1v6_myGERMANY_myconsistent_oppcicero_nopress_seed5,5,1v6,GERMANY,consistent,cicero_nopress,stop_after_W1913A,W1913A,57,9,12,8,1,3,1,0,0.27,0.48,0.21333333333333335,0.0033333333333333335,0.03,0.0033333333333333335,0.0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,81,54,62,44,62,18,35,21,24,27,39,7,15
run_1v6_myGERMANY_myconsistent_oppcicero_nopress_seed8,8,1v6,GERMANY,consistent,cicero_nopress,stop_after_W1913A,W1913A,59,0,15,0,5,0,0,14,0.0,0.5044843049327354,0.0,0.05605381165919283,0.0,0.0,0.43946188340807174,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,3,2,0,0,8,13,56,79,13,17,55,66,11,17,26,36,42,72
run_1v6_myGERMANY_myconsistent_oppcicero_nopress_seed7,7,1v6,GERMANY,consistent,cicero_nopress,solo_18sc_FRANCE,F1913R,56,0,0,20,1,3,3,7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,12,23,11,15,53,74,35,48,33,48,25,35,40,50
