game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myTURKEY_myconsistent_oppcicero_nopress_seed2,2,1v6,TURKEY,consistent,cicero_nopress,solo_18sc_FRANCE,F1909R,41,7,0,20,0,0,4,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,30,40,11,13,35,49,14,31,9,14,14,15,9,17
run_1v6_myTURKEY_myconsistent_oppcicero_nopress_seed0,0,1v6,TURKEY,consistent,cicero_nopress,solo_18sc_FRANCE,F1912M,53,0,1,18,0,1,0,14,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,28,8,22,47,53,28,28,16,35,9,14,57,72
run_1v6_myTURKEY_myconsistent_oppcicero_nopress_seed4,4,1v6,TURKEY,consistent,cicero_nopress,solo_18sc_TURKEY,F1909R,41,0,4,2,9,1,0,18,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24,28,16,16,10,11,34,50,10,15,5,7,30,46
run_1v6_myTURKEY_myconsistent_oppcicero_nopress_seed1,1,1v6,TURKEY,consistent,cicero_nopress,solo_18sc_ITALY,F1912R,52,0,1,6,7,19,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,3,3,1,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,29,42,5,9,41,59,37,53,43,63,21,36,4,11
run_1v6_myTURKEY_myconsistent_oppcicero_nopress_seed3,3,1v6,TURKEY,consistent,cicero_nopress,stop_after_W1913A,W1913A,60,0,2,6,14,10,0,2,0.0,0.011764705882352941,0.10588235294117647,0.5764705882352941,0.29411764705882354,0.0,0.011764705882352941,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,2,0,0,9,19,8,22,37,69,56,75,46,54,4,16,45,65
run_1v6_myTURKEY_myconsistent_oppcicero_nopress_seed6,6,1v6,TURKEY,consistent,cicero_nopress,max_phases,F1913M,60,4,11,0,0,13,2,4,0.049079754601226995,0.37116564417177916,0.0,0.0,0.5184049079754601,0.012269938650306749,0.049079754601226995,0,2,0,0,3,2,0,0,0,0,0,0,0,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,45,67,40,58,6,13,35,41,54,86,30,37,19,40
run_1v6_myTURKEY_myconsistent_oppcicero_nopress_seed5,5,1v6,TURKEY,consistent,cicero_nopress,stop_after_W1913A,W1913A,59,0,0,13,1,10,6,4,0.0,0.0,0.5248447204968945,0.003105590062111801,0.3105590062111801,0.11180124223602485,0.049689440993788817,0,0,0,0,0,0,1,0,0,3,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,9,12,21,25,50,73,36,69,48,57,25,73,7,85
run_1v6_myTURKEY_myconsistent_oppcicero_nopress_seed8,8,1v6,TURKEY,consistent,cicero_nopress,max_phases,F1913M,60,4,1,7,11,5,0,6,0.06451612903225806,0.004032258064516129,0.1975806451612903,0.4879032258064516,0.10080645161290322,0.0,0.14516129032258066,0,1,0,0,0,1,0,0,0,2,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,26,49,12,15,46,51,62,70,25,38,9,29,29,57
run_1v6_myTURKEY_myconsistent_oppcicero_nopress_seed7,7,1v6,TURKEY,consistent,cicero_nopress,max_phases,S1913R,60,0,0,4,12,8,0,10,0.0,0.0,0.04938271604938271,0.4444444444444444,0.19753086419753085,0.0,0.30864197530864196,0,1,0,0,0,5,0,0,0,0,1,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9,27,20,24,31,51,63,77,35,39,10,27,39,59
run_1v6_myTURKEY_myconsistent_oppcicero_nopress_seed9,9,1v6,TURKEY,consistent,cicero_nopress,solo_18sc_ITALY,F1913R,58,0,1,13,0,18,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17,27,21,30,51,55,19,41,68,92,11,19,15,64
