role,scope,power,n_samples,mean_sos,win_rate,most_sc_rate,survived_rate,defeated_rate,win_count,most_sc_count,survived_count,defeated_count,c1_total,c2_total,c3_total,c4_total,c1_avg_per_sample,c2_avg_per_sample,c3_avg_per_sample,c4_avg_per_sample,support_success_total,support_total_total,support_success_ratio
consistent,per_power,AUSTRIA,10,0.20367046718978052,0.1,0.1,0.2,0.6,1,1,2,6,0,2,0,0,0.0,0.2,0.0,0.0,331,601,0.5507487520798668
consistent,per_power,ENGLAND,10,0.23467988321752253,0.0,0.2,0.5,0.3,0,2,5,3,0,0,0,0,0.0,0.0,0.0,0.0,330,455,0.7252747252747253
consistent,per_power,FRANCE,10,0.5640965551733356,0.4,0.2,0.4,0.0,4,2,4,0,0,1,1,0,0.0,0.1,0.1,0.0,433,579,0.7478411053540587
consistent,per_power,GERMANY,10,0.07402828209034333,0.0,0.1,0.3,0.6,0,1,3,6,0,0,0,0,0.0,0.0,0.0,0.0,320,465,0.6881720430107527
consistent,per_power,ITALY,10,0.31398606729972567,0.2,0.1,0.4,0.3,2,1,4,3,0,0,0,0,0.0,0.0,0.0,0.0,328,503,0.6520874751491054
consistent,per_power,RUSSIA,10,0.21618684087815762,0.1,0.1,0.3,0.5,1,1,3,5,0,0,0,0,0.0,0.0,0.0,0.0,408,711,0.5738396624472574
consistent,per_power,TURKEY,10,0.15643371671085915,0.1,0.0,0.5,0.4,1,0,5,4,0,3,0,0,0.0,0.3,0.0,0.0,254,516,0.49224806201550386
opponent,per_power,AUSTRIA,60,0.10793746774161696,0.03333333333333333,0.08333333333333333,0.21666666666666667,0.6666666666666666,2,5,13,40,24,46,14,6,0.4,0.7666666666666667,0.23333333333333334,0.1,1398,2299,0.6080904741191823
opponent,per_power,ENGLAND,60,0.09391672185170394,0.016666666666666666,0.08333333333333333,0.25,0.65,1,5,15,39,18,39,15,3,0.3,0.65,0.25,0.05,1356,1898,0.7144362486828241
opponent,per_power,FRANCE,60,0.23819906708188204,0.11666666666666667,0.16666666666666666,0.35,0.36666666666666664,7,10,21,22,14,37,44,2,0.23333333333333334,0.6166666666666667,0.7333333333333333,0.03333333333333333,2339,3337,0.7009289781240635
opponent,per_power,GERMANY,60,0.08562805216417671,0.0,0.11666666666666667,0.26666666666666666,0.6166666666666667,0,7,16,37,5,51,36,3,0.08333333333333333,0.85,0.6,0.05,1844,2788,0.6614060258249641
opponent,per_power,ITALY,60,0.2186858319018569,0.13333333333333333,0.1,0.3,0.4666666666666667,8,6,18,28,15,60,16,2,0.25,1.0,0.26666666666666666,0.03333333333333333,1816,2494,0.7281475541299118
opponent,per_power,RUSSIA,60,0.015250192074788789,0.0,0.016666666666666666,0.18333333333333332,0.8,0,1,11,48,7,32,8,3,0.11666666666666667,0.5333333333333333,0.13333333333333333,0.05,1034,1829,0.5653362493165665
opponent,per_power,TURKEY,60,0.11320236509068735,0.03333333333333333,0.05,0.35,0.5666666666666667,2,3,21,34,18,53,11,5,0.3,0.8833333333333333,0.18333333333333332,0.08333333333333333,1389,2163,0.6421636615811374
consistent,overall,OVERALL,70,0.2518688303656749,0.12857142857142856,0.11428571428571428,0.37142857142857144,0.38571428571428573,9,8,26,27,0,6,1,0,0.0,0.08571428571428572,0.014285714285714285,0.0,2404,3830,0.6276762402088772
opponent,overall,OVERALL,420,0.12468852827238755,0.047619047619047616,0.0880952380952381,0.27380952380952384,0.5904761904761905,20,37,115,248,101,318,144,24,0.24047619047619048,0.7571428571428571,0.34285714285714286,0.05714285714285714,11176,16808,0.6649214659685864
