game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myITALY_myconsistent_oppcicero_nopress_seed1,1,1v6,ITALY,consistent,cicero_nopress,solo_18sc_AUSTRIA,F1911R,51,19,0,13,2,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,0,0,0,1,1,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,51,108,5,5,45,61,26,47,10,17,6,11,18,22
run_1v6_myITALY_myconsistent_oppcicero_nopress_seed2,2,1v6,ITALY,consistent,cicero_nopress,stop_after_W1913A,W1913A,56,0,0,3,16,5,0,10,0.0,0.0,0.023076923076923078,0.6564102564102564,0.0641025641025641,0.0,0.2564102564102564,0,0,0,0,0,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,12,15,13,22,22,46,52,119,28,58,3,12,33,93
run_1v6_myITALY_myconsistent_oppcicero_nopress_seed0,0,1v6,ITALY,consistent,cicero_nopress,max_phases,F1913M,60,5,6,12,4,1,0,6,0.09689922480620156,0.13953488372093023,0.5581395348837209,0.06201550387596899,0.003875968992248062,0.0,0.13953488372093023,0,0,0,0,2,1,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,39,64,34,49,43,71,45,64,14,26,2,13,28,29
run_1v6_myITALY_myconsistent_oppcicero_nopress_seed6,6,1v6,ITALY,consistent,cicero_nopress,solo_18sc_ITALY,F1910M,43,0,0,10,6,18,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,20,38,3,3,32,55,34,37,36,41,15,20,4,14
run_1v6_myITALY_myconsistent_oppcicero_nopress_seed3,3,1v6,ITALY,consistent,cicero_nopress,solo_18sc_FRANCE,F1911R,50,0,0,18,0,10,4,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,2,0,1,0,1,2,0,0,1,0,0,0,3,0,1,0,0,0,0,1,1,1,0,0,1,1,0,18,31,25,30,43,80,13,24,33,40,23,47,20,26
run_1v6_myITALY_myconsistent_oppcicero_nopress_seed4,4,1v6,ITALY,consistent,cicero_nopress,stop_after_W1913A,W1913A,57,4,0,15,0,12,0,3,0.04060913705583756,0.0,0.5710659898477157,0.0,0.36548223350253806,0.0,0.02284263959390863,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,35,58,16,19,66,92,11,25,59,72,3,14,35,49
run_1v6_myITALY_myconsistent_oppcicero_nopress_seed5,5,1v6,ITALY,consistent,cicero_nopress,solo_18sc_ITALY,F1913R,60,0,1,12,2,19,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,40,11,30,47,56,26,32,53,68,23,40,7,12
run_1v6_myITALY_myconsistent_oppcicero_nopress_seed9,9,1v6,ITALY,consistent,cicero_nopress,max_phases,F1913M,60,0,0,2,15,17,0,0,0.0,0.0,0.007722007722007722,0.4343629343629344,0.5579150579150579,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,14,30,13,13,31,36,68,113,55,113,4,12,10,13
run_1v6_myITALY_myconsistent_oppcicero_nopress_seed7,7,1v6,ITALY,consistent,cicero_nopress,stop_after_W1913A,W1913A,57,15,4,1,10,0,2,2,0.6428571428571429,0.045714285714285714,0.002857142857142857,0.2857142857142857,0.0,0.011428571428571429,0.011428571428571429,0,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,1,0,0,0,0,54,65,20,22,24,28,52,63,7,11,31,50,17,26
run_1v6_myITALY_myconsistent_oppcicero_nopress_seed8,8,1v6,ITALY,consistent,cicero_nopress,stop_after_W1913A,W1913A,59,0,15,2,0,7,4,6,0.0,0.6818181818181818,0.012121212121212121,0.0,0.1484848484848485,0.048484848484848485,0.10909090909090909,0,0,0,0,0,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,1,0,12,14,63,76,7,42,31,49,33,57,33,51,27,43
