game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myRUSSIA_myconsistent_oppcicero_nopress_seed0,0,1v6,RUSSIA,consistent,cicero_nopress,stop_after_W1913A,W1913A,58,0,14,4,0,0,16,0,0.0,0.4188034188034188,0.03418803418803419,0.0,0.0,0.5470085470085471,0.0,0,0,0,0,1,1,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,67,77,49,66,6,16,17,29,72,151,9,18
run_1v6_myRUSSIA_myconsistent_oppcicero_nopress_seed1,1,1v6,RUSSIA,consistent,cicero_nopress,solo_18sc_FRANCE,F1910R,44,0,0,18,0,12,4,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,6,8,8,10,45,68,16,37,41,64,20,41,14,26
run_1v6_myRUSSIA_myconsistent_oppcicero_nopress_seed2,2,1v6,RUSSIA,consistent,cicero_nopress,solo_18sc_ITALY,F1913M,60,0,16,0,0,18,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,33,66,99,21,22,20,33,50,70,22,42,4,18
run_1v6_myRUSSIA_myconsistent_oppcicero_nopress_seed5,5,1v6,RUSSIA,consistent,cicero_nopress,solo_18sc_RUSSIA,F1912R,56,0,3,12,0,0,19,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,38,60,53,67,11,26,18,27,70,112,20,21
run_1v6_myRUSSIA_myconsistent_oppcicero_nopress_seed4,4,1v6,RUSSIA,consistent,cicero_nopress,max_phases,F1913R,60,3,0,9,13,0,9,0,0.026470588235294117,0.0,0.23823529411764705,0.4970588235294118,0.0,0.23823529411764705,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,39,77,2,4,52,69,59,82,3,3,44,53,8,12
run_1v6_myRUSSIA_myconsistent_oppcicero_nopress_seed3,3,1v6,RUSSIA,consistent,cicero_nopress,max_phases,F1913M,60,0,0,9,9,12,0,4,0.0,0.0,0.2515527950310559,0.2515527950310559,0.4472049689440994,0.0,0.049689440993788817,0,1,0,0,0,0,1,0,1,2,1,0,1,2,0,0,2,1,0,0,0,0,0,0,0,2,0,1,7,21,8,9,45,84,41,65,51,68,22,47,23,44
run_1v6_myRUSSIA_myconsistent_oppcicero_nopress_seed6,6,1v6,RUSSIA,consistent,cicero_nopress,stop_after_W1913A,W1913A,59,14,1,16,0,3,0,0,0.42424242424242425,0.0021645021645021645,0.5541125541125541,0.0,0.01948051948051948,0.0,0.0,2,1,2,0,0,1,0,0,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,62,86,15,19,41,51,30,40,23,33,12,21,5,8
run_1v6_myRUSSIA_myconsistent_oppcicero_nopress_seed7,7,1v6,RUSSIA,consistent,cicero_nopress,stop_after_W1913A,W1913A,56,0,0,15,1,1,7,10,0.0,0.0,0.598404255319149,0.0026595744680851063,0.0026595744680851063,0.13031914893617022,0.26595744680851063,0,2,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,5,0,0,0,0,0,0,0,4,0,0,13,31,8,11,66,88,31,41,24,36,56,104,25,33
run_1v6_myRUSSIA_myconsistent_oppcicero_nopress_seed8,8,1v6,RUSSIA,consistent,cicero_nopress,max_phases,F1913R,60,0,0,0,15,9,10,0,0.0,0.0,0.0,0.5541871921182266,0.19950738916256158,0.24630541871921183,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,1,0,0,23,36,4,6,14,20,44,63,50,57,54,70,11,16
run_1v6_myRUSSIA_myconsistent_oppcicero_nopress_seed9,9,1v6,RUSSIA,consistent,cicero_nopress,solo_18sc_ITALY,F1913R,60,0,0,9,0,19,4,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0,1,12,20,3,3,36,62,22,47,52,62,36,70,14,48
