game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myGERMANY_myconsistent_oppdiplodocus_high_seed0,0,1v6,GERMANY,consistent,diplodocus_high,stop_after_W1913A,W1913A,58,0,0,17,0,0,9,8,0.0,0.0,0.6658986175115207,0.0,0.0,0.18663594470046083,0.14746543778801843,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,15,47,19,27,52,119,28,64,2,9,36,87,47,64
run_1v6_myGERMANY_myconsistent_oppdiplodocus_high_seed1,1,1v6,GERMANY,consistent,diplodocus_high,stop_after_W1913A,W1913A,59,0,3,9,0,3,13,6,0.0,0.029605263157894735,0.26644736842105265,0.0,0.029605263157894735,0.555921052631579,0.11842105263157894,0,2,0,0,0,0,5,0,2,4,0,0,0,0,0,0,1,3,1,0,1,3,1,0,1,1,0,0,8,15,11,17,31,46,30,41,13,43,56,91,35,52
run_1v6_myGERMANY_myconsistent_oppdiplodocus_high_seed2,2,1v6,GERMANY,consistent,diplodocus_high,stop_after_W1913A,W1913A,57,0,6,7,4,6,5,6,0.0,0.18181818181818182,0.2474747474747475,0.08080808080808081,0.18181818181818182,0.12626262626262627,0.18181818181818182,0,2,0,0,1,3,0,0,1,3,0,0,0,0,0,0,1,5,0,0,0,1,0,0,0,3,3,0,13,25,15,36,36,65,38,64,21,83,30,83,17,68
run_1v6_myGERMANY_myconsistent_oppdiplodocus_high_seed3,3,1v6,GERMANY,consistent,diplodocus_high,stop_after_W1913A,W1913A,56,2,3,8,5,9,4,3,0.019230769230769232,0.04326923076923077,0.3076923076923077,0.1201923076923077,0.3894230769230769,0.07692307692307693,0.04326923076923077,0,5,0,0,1,1,3,0,0,2,1,0,0,0,0,0,1,6,0,0,1,2,0,0,0,2,0,0,27,106,24,48,33,70,25,51,22,59,26,36,12,28
run_1v6_myGERMANY_myconsistent_oppdiplodocus_high_seed4,4,1v6,GERMANY,consistent,diplodocus_high,stop_after_W1913A,W1913A,58,3,3,11,4,0,7,6,0.0375,0.0375,0.5041666666666667,0.06666666666666667,0.0,0.20416666666666666,0.15,0,4,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,0,0,0,0,0,0,42,66,20,38,47,79,37,68,10,17,37,71,22,44
run_1v6_myGERMANY_myconsistent_oppdiplodocus_high_seed6,6,1v6,GERMANY,consistent,diplodocus_high,stop_after_W1913A,W1913A,60,0,10,10,0,0,0,14,0.0,0.25252525252525254,0.25252525252525254,0.0,0.0,0.0,0.494949494949495,0,0,0,0,2,3,9,0,2,1,2,0,0,1,0,0,0,2,0,0,0,2,0,0,0,2,0,0,18,44,34,61,39,90,21,65,13,18,13,26,38,61
run_1v6_myGERMANY_myconsistent_oppdiplodocus_high_seed5,5,1v6,GERMANY,consistent,diplodocus_high,stop_after_W1913A,W1913A,58,0,3,14,2,8,2,5,0.0,0.029801324503311258,0.6490066225165563,0.013245033112582781,0.2119205298013245,0.013245033112582781,0.08278145695364239,0,1,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,2,0,0,15,39,41,51,39,67,23,43,36,66,35,60,29,39
run_1v6_myGERMANY_myconsistent_oppdiplodocus_high_seed7,7,1v6,GERMANY,consistent,diplodocus_high,stop_after_W1913A,W1913A,59,0,7,5,3,4,7,8,0.0,0.23113207547169812,0.1179245283018868,0.04245283018867924,0.07547169811320754,0.23113207547169812,0.3018867924528302,0,3,0,0,0,4,0,0,0,2,0,0,0,1,0,0,3,5,1,0,1,4,0,0,0,1,0,0,17,35,28,41,30,40,17,37,25,39,45,79,35,39
run_1v6_myGERMANY_myconsistent_oppdiplodocus_high_seed8,8,1v6,GERMANY,consistent,diplodocus_high,stop_after_W1913A,W1913A,58,0,7,9,1,8,3,6,0.0,0.20416666666666666,0.3375,0.004166666666666667,0.26666666666666666,0.0375,0.15,0,0,0,0,0,4,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,3,1,6,16,27,55,41,51,25,46,41,54,21,40,31,48
run_1v6_myGERMANY_myconsistent_oppdiplodocus_high_seed9,9,1v6,GERMANY,consistent,diplodocus_high,stop_after_W1913A,W1913A,59,3,3,13,3,6,0,6,0.033582089552238806,0.033582089552238806,0.6305970149253731,0.033582089552238806,0.13432835820895522,0.0,0.13432835820895522,0,3,0,1,0,1,0,0,0,2,1,0,0,1,0,0,2,6,0,0,0,0,0,0,1,1,0,0,34,77,34,47,35,49,28,34,16,24,12,29,28,56
