game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myENGLAND_myconsistent_oppdiplodocus_high_seed1,1,1v6,ENGLAND,consistent,diplodocus_high,max_phases,S1915M,60,4,0,3,16,11,0,0,0.03980099502487562,0.0,0.022388059701492536,0.6368159203980099,0.3009950248756219,0.0,0.0,1,10,0,0,0,0,0,0,0,1,0,1,1,0,0,0,13,10,1,0,0,0,0,0,0,0,0,0,29,82,7,11,21,60,97,117,37,103,12,17,18,23
run_1v6_myENGLAND_myconsistent_oppdiplodocus_high_seed0,0,1v6,ENGLAND,consistent,diplodocus_high,max_phases,F1913R,60,0,2,15,0,0,10,7,0.0,0.010582010582010581,0.5952380952380952,0.0,0.0,0.26455026455026454,0.12962962962962962,1,1,0,0,0,0,0,0,0,5,3,0,1,4,0,0,0,3,0,0,1,8,1,0,1,5,0,0,22,55,16,20,48,74,29,59,6,16,37,69,32,67
run_1v6_myENGLAND_myconsistent_oppdiplodocus_high_seed6,6,1v6,ENGLAND,consistent,diplodocus_high,stop_after_W1913A,W1913A,58,13,0,3,14,2,2,0,0.4424083769633508,0.0,0.02356020942408377,0.5130890052356021,0.010471204188481676,0.010471204188481676,0.0,9,11,1,0,0,1,0,0,0,1,2,0,0,3,1,0,1,3,0,0,1,5,1,0,0,0,0,0,33,99,26,33,20,34,58,98,14,33,23,64,3,3
run_1v6_myENGLAND_myconsistent_oppdiplodocus_high_seed7,7,1v6,ENGLAND,consistent,diplodocus_high,stop_after_W1913A,W1913A,58,6,4,7,6,5,0,6,0.18181818181818182,0.08080808080808081,0.2474747474747475,0.18181818181818182,0.12626262626262627,0.0,0.18181818181818182,0,5,1,0,0,1,0,0,0,2,5,0,2,6,1,0,3,2,1,0,0,3,0,0,0,1,0,0,33,85,29,33,34,48,28,52,20,33,16,28,22,70
run_1v6_myENGLAND_myconsistent_oppdiplodocus_high_seed4,4,1v6,ENGLAND,consistent,diplodocus_high,stop_after_W1913A,W1913A,57,3,0,9,5,7,10,0,0.03409090909090909,0.0,0.3068181818181818,0.0946969696969697,0.1856060606060606,0.3787878787878788,0.0,0,3,0,0,0,1,0,0,1,8,0,0,1,8,0,0,1,3,0,0,1,2,1,0,0,0,0,0,23,68,16,30,32,79,38,71,33,54,41,63,9,20
run_1v6_myENGLAND_myconsistent_oppdiplodocus_high_seed3,3,1v6,ENGLAND,consistent,diplodocus_high,stop_after_W1913A,W1913A,59,4,1,7,12,4,6,0,0.061068702290076333,0.003816793893129771,0.18702290076335878,0.549618320610687,0.061068702290076333,0.13740458015267176,0.0,0,10,0,0,0,1,0,0,0,5,2,0,0,4,4,0,3,5,0,0,0,2,0,0,0,1,0,0,23,88,17,22,25,54,48,84,17,43,40,73,9,29
run_1v6_myENGLAND_myconsistent_oppdiplodocus_high_seed2,2,1v6,ENGLAND,consistent,diplodocus_high,stop_after_W1913A,W1913A,56,6,4,10,3,6,1,4,0.16822429906542055,0.07476635514018691,0.4672897196261682,0.04205607476635514,0.16822429906542055,0.004672897196261682,0.07476635514018691,1,6,0,0,0,1,0,0,0,4,2,0,0,1,1,0,3,3,0,0,0,0,0,0,2,2,0,0,42,70,23,32,36,55,36,56,22,43,17,36,15,31
run_1v6_myENGLAND_myconsistent_oppdiplodocus_high_seed5,5,1v6,ENGLAND,consistent,diplodocus_high,max_phases,F1913M,60,6,2,7,7,5,3,4,0.19148936170212766,0.02127659574468085,0.26063829787234044,0.26063829787234044,0.13297872340425532,0.047872340425531915,0.0851063829787234,0,1,0,0,0,1,0,0,0,1,2,0,0,2,0,1,1,1,1,0,0,1,0,0,1,1,0,0,34,58,26,36,31,52,47,67,21,43,19,34,31,44
run_1v6_myENGLAND_myconsistent_oppdiplodocus_high_seed9,9,1v6,ENGLAND,consistent,diplodocus_high,max_phases,S1913R,60,4,3,3,8,8,6,2,0.07920792079207921,0.04455445544554455,0.04455445544554455,0.31683168316831684,0.31683168316831684,0.1782178217821782,0.019801980198019802,1,9,2,0,0,0,0,0,0,2,1,1,0,2,0,0,4,7,0,0,0,0,2,0,0,1,1,0,40,81,12,17,33,49,28,35,26,58,24,38,17,24
run_1v6_myENGLAND_myconsistent_oppdiplodocus_high_seed8,8,1v6,ENGLAND,consistent,diplodocus_high,stop_after_W1913A,W1913A,55,0,0,4,10,7,7,6,0.0,0.0,0.064,0.4,0.196,0.196,0.144,0,0,0,0,0,1,0,0,0,5,1,0,0,5,0,0,0,4,0,0,0,6,0,0,2,3,0,0,9,26,9,12,28,41,41,82,18,84,24,107,22,93
