game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myFRANCE_myconsistent_oppdiplodocus_high_seed1,1,1v6,FRANCE,consistent,diplodocus_high,max_phases,S1913M,60,0,9,9,0,0,0,16,0.0,0.1937799043062201,0.1937799043062201,0.0,0.0,0.0,0.6124401913875598,0,0,0,0,4,1,0,0,0,0,0,0,1,2,0,0,1,0,1,0,0,0,0,0,3,3,0,0,9,20,31,45,38,50,35,59,23,42,10,17,69,87
run_1v6_myFRANCE_myconsistent_oppdiplodocus_high_seed0,0,1v6,FRANCE,consistent,diplodocus_high,stop_after_W1913A,W1913A,57,3,5,5,3,4,9,5,0.04736842105263158,0.13157894736842105,0.13157894736842105,0.04736842105263158,0.08421052631578947,0.4263157894736842,0.13157894736842105,0,2,0,0,0,0,0,0,0,0,0,0,6,4,2,0,0,1,1,0,0,0,1,0,0,1,1,0,37,70,17,38,19,76,23,69,17,44,34,64,18,52
run_1v6_myFRANCE_myconsistent_oppdiplodocus_high_seed6,6,1v6,FRANCE,consistent,diplodocus_high,stop_after_W1913A,W1913A,60,0,4,6,4,9,6,5,0.0,0.0761904761904762,0.17142857142857143,0.0761904761904762,0.38571428571428573,0.17142857142857143,0.11904761904761904,0,7,0,0,0,1,0,0,0,0,0,0,2,1,0,0,4,6,0,0,0,2,0,0,2,0,0,0,15,43,32,45,28,49,26,57,35,83,43,70,17,48
run_1v6_myFRANCE_myconsistent_oppdiplodocus_high_seed2,2,1v6,FRANCE,consistent,diplodocus_high,stop_after_W1913A,W1913A,59,1,11,4,1,6,4,7,0.004166666666666667,0.5041666666666667,0.06666666666666667,0.004166666666666667,0.15,0.06666666666666667,0.20416666666666666,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,2,0,0,2,5,1,0,26,46,25,35,26,39,24,32,18,57,28,56,23,41
run_1v6_myFRANCE_myconsistent_oppdiplodocus_high_seed4,4,1v6,FRANCE,consistent,diplodocus_high,stop_after_W1913A,W1913A,55,1,9,0,8,5,2,9,0.00390625,0.31640625,0.0,0.25,0.09765625,0.015625,0.31640625,1,3,0,0,0,2,1,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,1,0,21,56,26,68,25,52,31,53,27,54,17,41,43,66
run_1v6_myFRANCE_myconsistent_oppdiplodocus_high_seed3,3,1v6,FRANCE,consistent,diplodocus_high,max_phases,F1913M,60,3,1,4,4,12,4,6,0.037815126050420166,0.004201680672268907,0.06722689075630252,0.06722689075630252,0.6050420168067226,0.06722689075630252,0.15126050420168066,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,2,0,0,0,0,0,0,48,64,7,17,22,36,38,46,37,52,33,49,27,45
run_1v6_myFRANCE_myconsistent_oppdiplodocus_high_seed7,7,1v6,FRANCE,consistent,diplodocus_high,stop_after_W1913A,W1913A,60,2,10,7,1,4,1,9,0.015873015873015872,0.3968253968253968,0.19444444444444445,0.003968253968253968,0.06349206349206349,0.003968253968253968,0.32142857142857145,0,0,0,0,0,1,2,0,0,1,0,0,1,3,0,0,1,4,3,0,0,0,1,0,0,3,0,0,35,51,35,53,40,58,22,53,20,43,19,43,28,37
run_1v6_myFRANCE_myconsistent_oppdiplodocus_high_seed5,5,1v6,FRANCE,consistent,diplodocus_high,stop_after_W1913A,W1913A,56,0,1,0,14,11,4,4,0.0,0.002857142857142857,0.0,0.56,0.3457142857142857,0.045714285714285714,0.045714285714285714,0,0,1,0,0,1,1,0,0,0,0,0,2,2,4,0,1,4,0,0,0,1,2,0,0,2,0,0,8,25,5,15,14,43,62,90,41,66,38,69,23,52
run_1v6_myFRANCE_myconsistent_oppdiplodocus_high_seed8,8,1v6,FRANCE,consistent,diplodocus_high,stop_after_W1913A,W1913A,54,0,5,0,8,9,6,6,0.0,0.10330578512396695,0.0,0.2644628099173554,0.3347107438016529,0.1487603305785124,0.1487603305785124,0,0,0,0,1,3,2,1,0,0,0,0,2,2,1,0,0,2,0,1,1,3,0,0,1,7,1,0,4,4,26,51,14,23,31,67,37,82,38,97,29,64
run_1v6_myFRANCE_myconsistent_oppdiplodocus_high_seed9,9,1v6,FRANCE,consistent,diplodocus_high,max_phases,F1913R,60,1,0,4,17,0,2,10,0.0024390243902439024,0.0,0.03902439024390244,0.7048780487804878,0.0,0.00975609756097561,0.24390243902439024,1,0,0,0,1,3,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,2,0,0,0,1,1,0,40,50,15,23,29,66,41,65,8,20,22,33,32,47
