game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myITALY_myconsistent_oppdiplodocus_high_seed0,0,1v6,ITALY,consistent,diplodocus_high,max_phases,F1913R,60,0,3,8,5,8,10,0,0.0,0.03435114503816794,0.24427480916030533,0.09541984732824428,0.24427480916030533,0.3816793893129771,0.0,0,3,0,0,0,2,2,0,0,2,0,0,0,3,1,0,0,0,0,0,0,3,0,0,0,1,0,0,24,59,20,35,29,45,48,73,35,51,41,74,12,17
run_1v6_myITALY_myconsistent_oppdiplodocus_high_seed1,1,1v6,ITALY,consistent,diplodocus_high,stop_after_W1913A,W1913A,56,2,5,10,7,0,2,8,0.016260162601626018,0.1016260162601626,0.4065040650406504,0.1991869918699187,0.0,0.016260162601626018,0.2601626016260163,3,3,0,0,1,4,0,0,0,5,3,0,0,7,1,0,0,0,0,0,0,6,1,0,0,7,0,0,16,59,12,55,44,77,28,90,7,10,37,106,35,46
run_1v6_myITALY_myconsistent_oppdiplodocus_high_seed2,2,1v6,ITALY,consistent,diplodocus_high,stop_after_W1913A,W1913A,57,9,3,8,2,7,5,0,0.34913793103448276,0.03879310344827586,0.27586206896551724,0.017241379310344827,0.21120689655172414,0.10775862068965517,0.0,1,6,0,0,0,0,1,0,0,4,0,0,1,3,0,0,0,1,0,0,0,4,0,0,0,0,0,0,52,98,21,28,49,74,26,54,20,26,31,53,7,14
run_1v6_myITALY_myconsistent_oppdiplodocus_high_seed3,3,1v6,ITALY,consistent,diplodocus_high,max_phases,F1913R,60,8,6,7,5,3,5,0,0.3076923076923077,0.17307692307692307,0.23557692307692307,0.1201923076923077,0.04326923076923077,0.1201923076923077,0.0,2,4,1,0,2,12,1,0,3,10,0,0,0,4,2,0,0,1,0,0,0,3,0,0,0,2,0,0,36,86,40,68,24,67,23,55,24,63,28,53,7,17
run_1v6_myITALY_myconsistent_oppdiplodocus_high_seed5,5,1v6,ITALY,consistent,diplodocus_high,max_phases,F1913R,60,9,3,10,8,2,2,0,0.30916030534351147,0.03435114503816794,0.3816793893129771,0.24427480916030533,0.015267175572519083,0.015267175572519083,0.0,1,4,2,0,0,2,3,0,0,1,0,0,0,4,0,0,0,0,0,0,0,2,1,0,0,0,0,0,41,84,26,33,38,59,23,72,11,19,30,34,8,10
run_1v6_myITALY_myconsistent_oppdiplodocus_high_seed8,8,1v6,ITALY,consistent,diplodocus_high,max_phases,F1913R,60,0,5,8,0,0,16,5,0.0,0.06756756756756757,0.17297297297297298,0.0,0.0,0.6918918918918919,0.06756756756756757,0,0,0,0,1,1,0,0,0,2,1,0,0,8,1,0,0,0,0,0,4,9,0,0,3,7,2,0,6,7,24,41,14,23,28,56,13,15,58,112,17,51
run_1v6_myITALY_myconsistent_oppdiplodocus_high_seed4,4,1v6,ITALY,consistent,diplodocus_high,stop_after_W1913A,W1913A,60,3,4,6,5,0,6,10,0.04054054054054054,0.07207207207207207,0.16216216216216217,0.11261261261261261,0.0,0.16216216216216217,0.45045045045045046,1,0,0,0,0,1,0,0,1,8,0,0,1,7,0,0,0,0,0,0,0,2,0,0,0,0,1,0,27,49,24,32,31,52,34,71,9,20,36,55,29,39
run_1v6_myITALY_myconsistent_oppdiplodocus_high_seed6,6,1v6,ITALY,consistent,diplodocus_high,stop_after_W1913A,W1913A,59,4,8,9,0,2,6,5,0.07079646017699115,0.2831858407079646,0.3584070796460177,0.0,0.017699115044247787,0.1592920353982301,0.11061946902654868,0,3,0,0,0,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,27,37,26,38,39,61,34,53,18,33,25,51,28,38
run_1v6_myITALY_myconsistent_oppdiplodocus_high_seed7,7,1v6,ITALY,consistent,diplodocus_high,stop_after_W1913A,W1913A,58,3,6,6,4,0,5,10,0.04054054054054054,0.16216216216216217,0.16216216216216217,0.07207207207207207,0.0,0.11261261261261261,0.45045045045045046,0,4,3,0,0,0,3,0,1,7,1,0,2,6,0,0,0,0,0,0,0,3,0,0,0,2,0,0,33,58,34,53,18,55,28,82,3,7,37,50,39,52
run_1v6_myITALY_myconsistent_oppdiplodocus_high_seed9,9,1v6,ITALY,consistent,diplodocus_high,stop_after_W1913A,W1913A,58,0,1,8,1,4,12,8,0.0,0.0034482758620689655,0.2206896551724138,0.0034482758620689655,0.05517241379310345,0.496551724137931,0.2206896551724138,1,1,1,0,1,2,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,1,3,0,0,13,38,9,29,21,38,28,36,23,46,58,96,24,48
