game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myRUSSIA_myconsistent_oppdiplodocus_high_seed0,0,1v6,RUSSIA,consistent,diplodocus_high,max_phases,F1913R,60,0,4,12,1,4,4,9,0.0,0.058394160583941604,0.5255474452554745,0.0036496350364963502,0.058394160583941604,0.058394160583941604,0.2956204379562044,0,1,0,0,1,3,0,0,0,4,0,0,1,6,3,0,0,4,0,0,0,0,0,0,0,3,0,0,13,34,26,40,43,88,20,58,29,54,30,53,38,54
run_1v6_myRUSSIA_myconsistent_oppdiplodocus_high_seed3,3,1v6,RUSSIA,consistent,diplodocus_high,stop_after_W1913A,W1913A,59,0,3,6,8,9,0,8,0.0,0.03543307086614173,0.14173228346456693,0.25196850393700787,0.3188976377952756,0.0,0.25196850393700787,0,0,0,0,1,6,1,1,1,6,1,0,1,10,0,0,0,3,1,0,0,0,0,0,0,0,1,0,1,1,22,59,20,65,31,69,43,62,20,36,33,62
run_1v6_myRUSSIA_myconsistent_oppdiplodocus_high_seed2,2,1v6,RUSSIA,consistent,diplodocus_high,stop_after_W1913A,W1913A,53,12,0,14,0,8,0,0,0.3564356435643564,0.0,0.48514851485148514,0.0,0.15841584158415842,0.0,0.0,4,7,0,0,0,4,3,0,1,4,0,0,4,7,7,0,2,7,0,0,0,0,0,0,0,1,0,0,44,122,33,48,29,90,22,59,14,83,7,17,6,26
run_1v6_myRUSSIA_myconsistent_oppdiplodocus_high_seed1,1,1v6,RUSSIA,consistent,diplodocus_high,stop_after_W1913A,W1913A,53,0,8,5,3,8,5,5,0.0,0.3018867924528302,0.1179245283018868,0.04245283018867924,0.3018867924528302,0.1179245283018868,0.1179245283018868,2,1,0,0,2,5,0,0,0,5,3,0,0,2,3,0,3,4,0,0,0,0,0,0,0,0,1,0,30,76,21,51,21,48,13,58,31,48,25,43,20,33
run_1v6_myRUSSIA_myconsistent_oppdiplodocus_high_seed4,4,1v6,RUSSIA,consistent,diplodocus_high,max_phases,F1913M,60,0,5,13,0,5,3,8,0.0,0.08561643835616438,0.5787671232876712,0.0,0.08561643835616438,0.030821917808219176,0.2191780821917808,0,2,0,0,0,2,0,0,0,2,0,0,0,3,1,0,2,3,0,0,0,1,0,0,1,5,0,0,9,14,28,44,38,72,25,38,40,73,30,52,31,54
run_1v6_myRUSSIA_myconsistent_oppdiplodocus_high_seed5,5,1v6,RUSSIA,consistent,diplodocus_high,stop_after_W1913A,W1913A,55,4,7,6,3,0,4,10,0.07079646017699115,0.2168141592920354,0.1592920353982301,0.03982300884955752,0.0,0.07079646017699115,0.4424778761061947,1,1,1,0,0,0,0,0,1,2,2,0,0,2,0,0,0,4,0,0,0,0,0,0,0,3,0,0,26,43,27,44,29,67,27,50,27,47,19,39,50,65
run_1v6_myRUSSIA_myconsistent_oppdiplodocus_high_seed9,9,1v6,RUSSIA,consistent,diplodocus_high,stop_after_W1913A,W1913A,59,0,2,6,11,6,0,9,0.0,0.014388489208633094,0.12949640287769784,0.4352517985611511,0.12949640287769784,0.0,0.29136690647482016,0,3,0,0,1,2,2,0,0,1,0,0,0,1,2,0,4,5,0,0,0,0,0,0,0,5,2,0,14,34,14,30,33,48,48,92,25,67,6,6,50,68
run_1v6_myRUSSIA_myconsistent_oppdiplodocus_high_seed6,6,1v6,RUSSIA,consistent,diplodocus_high,max_phases,F1913M,60,0,6,6,5,4,2,11,0.0,0.15126050420168066,0.15126050420168066,0.10504201680672269,0.06722689075630252,0.01680672268907563,0.5084033613445378,0,1,0,0,0,2,0,0,0,3,0,0,1,1,1,0,3,4,5,0,0,0,0,0,0,1,0,0,11,26,18,37,34,55,30,71,26,48,26,35,38,56
run_1v6_myRUSSIA_myconsistent_oppdiplodocus_high_seed7,7,1v6,RUSSIA,consistent,diplodocus_high,stop_after_W1913A,W1913A,58,1,0,8,9,13,3,0,0.0030864197530864196,0.0,0.19753086419753085,0.25,0.5216049382716049,0.027777777777777776,0.0,1,8,0,0,1,1,1,0,1,10,2,0,0,9,2,0,3,8,2,0,0,0,0,0,0,0,1,0,30,78,16,24,19,82,28,88,24,47,37,53,8,29
run_1v6_myRUSSIA_myconsistent_oppdiplodocus_high_seed8,8,1v6,RUSSIA,consistent,diplodocus_high,stop_after_W1913A,W1913A,58,0,2,7,8,4,6,7,0.0,0.01834862385321101,0.22477064220183487,0.29357798165137616,0.07339449541284404,0.1651376146788991,0.22477064220183487,0,1,0,0,0,1,1,0,1,5,0,0,0,4,1,0,2,3,3,0,0,0,0,0,1,0,0,0,6,8,29,50,18,55,50,75,35,58,35,91,34,70
