game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myTURKEY_myconsistent_oppdiplodocus_high_seed0,0,1v6,TURKEY,consistent,diplodocus_high,stop_after_W1913A,W1913A,58,4,5,11,4,0,3,7,0.06779661016949153,0.1059322033898305,0.5127118644067796,0.06779661016949153,0.0,0.038135593220338986,0.2076271186440678,0,1,1,0,1,0,0,0,0,3,0,0,0,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,22,55,22,37,43,91,32,73,5,10,39,87,37,57
run_1v6_myTURKEY_myconsistent_oppdiplodocus_high_seed1,1,1v6,TURKEY,consistent,diplodocus_high,stop_after_W1913A,W1913A,58,5,3,10,8,0,2,6,0.10504201680672269,0.037815126050420166,0.42016806722689076,0.2689075630252101,0.0,0.01680672268907563,0.15126050420168066,0,3,0,0,1,2,0,0,0,1,2,0,1,5,1,0,0,0,1,0,1,6,0,0,0,0,0,0,26,71,26,45,35,78,32,58,7,10,22,67,34,58
run_1v6_myTURKEY_myconsistent_oppdiplodocus_high_seed2,2,1v6,TURKEY,consistent,diplodocus_high,max_phases,F1913R,60,5,0,8,9,5,7,0,0.10245901639344263,0.0,0.26229508196721313,0.3319672131147541,0.10245901639344263,0.20081967213114754,0.0,0,6,0,0,0,0,1,0,1,3,1,0,0,2,1,0,1,5,0,1,0,2,2,0,0,0,0,0,36,59,16,23,40,74,39,80,32,52,48,69,4,5
run_1v6_myTURKEY_myconsistent_oppdiplodocus_high_seed3,3,1v6,TURKEY,consistent,diplodocus_high,stop_after_W1913A,W1913A,60,0,1,8,7,7,4,7,0.0,0.0043859649122807015,0.2807017543859649,0.2149122807017544,0.2149122807017544,0.07017543859649122,0.2149122807017544,0,0,0,0,0,4,1,0,0,7,0,0,0,9,0,0,0,11,0,0,1,7,1,0,0,3,0,0,4,4,17,34,19,62,33,52,22,82,35,92,37,104
run_1v6_myTURKEY_myconsistent_oppdiplodocus_high_seed5,5,1v6,TURKEY,consistent,diplodocus_high,stop_after_W1913A,W1913A,58,0,2,12,0,3,9,8,0.0,0.013245033112582781,0.4768211920529801,0.0,0.029801324503311258,0.2682119205298013,0.2119205298013245,0,1,0,0,0,3,1,0,0,1,2,0,2,5,0,0,1,1,1,0,0,9,0,0,0,1,0,0,7,7,19,29,47,65,10,32,24,39,39,128,43,69
run_1v6_myTURKEY_myconsistent_oppdiplodocus_high_seed4,4,1v6,TURKEY,consistent,diplodocus_high,max_phases,F1913R,60,0,4,5,7,3,7,8,0.0,0.07547169811320754,0.1179245283018868,0.23113207547169812,0.04245283018867924,0.23113207547169812,0.3018867924528302,0,2,0,0,0,2,0,0,2,8,1,0,0,7,0,0,2,2,0,0,0,9,1,0,0,0,0,0,4,7,18,30,25,49,42,84,35,70,32,93,29,62
run_1v6_myTURKEY_myconsistent_oppdiplodocus_high_seed6,6,1v6,TURKEY,consistent,diplodocus_high,stop_after_W1913A,W1913A,58,0,1,7,9,6,10,1,0.0,0.0037313432835820895,0.1828358208955224,0.30223880597014924,0.13432835820895522,0.373134328358209,0.0037313432835820895,0,0,0,0,0,4,0,0,0,3,0,0,0,4,0,0,1,2,0,0,1,2,0,1,0,0,0,0,15,34,21,38,21,59,38,110,33,72,28,54,36,66
run_1v6_myTURKEY_myconsistent_oppdiplodocus_high_seed7,7,1v6,TURKEY,consistent,diplodocus_high,max_phases,F1913R,60,2,0,8,6,5,7,6,0.018691588785046728,0.0,0.29906542056074764,0.16822429906542055,0.11682242990654206,0.22897196261682243,0.16822429906542055,0,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,29,56,8,14,33,53,31,65,22,39,40,74,27,33
run_1v6_myTURKEY_myconsistent_oppdiplodocus_high_seed9,9,1v6,TURKEY,consistent,diplodocus_high,stop_after_W1913A,W1913A,58,1,7,3,8,0,12,3,0.0036231884057971015,0.17753623188405798,0.03260869565217391,0.2318840579710145,0.0,0.5217391304347826,0.03260869565217391,0,3,0,0,0,2,0,0,1,2,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,25,38,17,66,29,39,26,92,7,13,38,82,23,29
run_1v6_myTURKEY_myconsistent_oppdiplodocus_high_seed8,8,1v6,TURKEY,consistent,diplodocus_high,stop_after_W1913A,W1913A,55,0,5,6,6,5,8,4,0.0,0.12376237623762376,0.1782178217821782,0.1782178217821782,0.12376237623762376,0.31683168316831684,0.07920792079207921,0,1,0,0,1,2,0,0,0,6,1,0,0,5,1,0,0,2,1,0,0,2,0,0,0,1,0,0,9,29,22,37,18,58,40,70,29,90,27,57,24,32
