role,scope,power,n_samples,mean_sos,win_rate,most_sc_rate,survived_rate,defeated_rate,win_count,most_sc_count,survived_count,defeated_count,c1_total,c2_total,c3_total,c4_total,c1_avg_per_sample,c2_avg_per_sample,c3_avg_per_sample,c4_avg_per_sample,support_success_total,support_total_total,support_success_ratio
consistent,per_power,AUSTRIA,10,0.04601851851851852,0.0,0.0,0.2,0.8,0,0,2,8,0,1,0,0,0.0,0.1,0.0,0.0,161,361,0.44598337950138506
consistent,per_power,ENGLAND,10,0.04901884741697589,0.0,0.1,0.6,0.3,0,1,6,3,0,4,0,0,0.0,0.4,0.0,0.0,182,351,0.5185185185185185
consistent,per_power,FRANCE,10,0.1595684254710394,0.0,0.3,0.6,0.1,0,3,6,1,0,1,1,0,0.0,0.1,0.1,0.0,278,610,0.4557377049180328
consistent,per_power,GERMANY,10,0.09599028397465857,0.0,0.1,0.7,0.2,0,1,7,2,0,8,0,0,0.0,0.8,0.0,0.0,256,658,0.3890577507598784
consistent,per_power,ITALY,10,0.05868896408911306,0.0,0.0,0.6,0.4,0,0,6,4,0,2,0,0,0.0,0.2,0.0,0.0,163,290,0.5620689655172414
consistent,per_power,RUSSIA,10,0.04876591820167912,0.0,0.0,0.7,0.3,0,0,7,3,0,1,0,0,0.0,0.1,0.0,0.0,235,425,0.5529411764705883
consistent,per_power,TURKEY,10,0.13713794845949134,0.0,0.1,0.8,0.1,0,1,8,1,0,5,0,0,0.0,0.5,0.0,0.0,294,515,0.570873786407767
opponent,per_power,AUSTRIA,60,0.04995476902149798,0.0,0.05,0.4166666666666667,0.5333333333333333,0,3,25,32,23,150,22,4,0.38333333333333336,2.5,0.36666666666666664,0.06666666666666667,1277,2712,0.47087020648967554
opponent,per_power,ENGLAND,60,0.12458551930072193,0.0,0.15,0.75,0.1,0,9,45,6,26,167,57,2,0.43333333333333335,2.783333333333333,0.95,0.03333333333333333,1315,2579,0.5098875533152385
opponent,per_power,FRANCE,60,0.2634251282162114,0.0,0.38333333333333336,0.5833333333333334,0.03333333333333333,0,23,35,2,27,208,53,4,0.45,3.466666666666667,0.8833333333333333,0.06666666666666667,1797,3777,0.47577442414614773
opponent,per_power,GERMANY,60,0.1449147569341805,0.0,0.16666666666666666,0.7166666666666667,0.11666666666666667,0,10,43,7,45,254,55,9,0.75,4.233333333333333,0.9166666666666666,0.15,1841,4120,0.44684466019417474
opponent,per_power,ITALY,60,0.1313836341275544,0.0,0.15,0.6833333333333333,0.16666666666666666,0,9,41,10,73,228,29,3,1.2166666666666666,3.8,0.48333333333333334,0.05,1461,3033,0.4817012858555885
opponent,per_power,RUSSIA,60,0.18300497401739121,0.0,0.26666666666666666,0.7166666666666667,0.016666666666666666,0,16,43,1,22,213,21,3,0.36666666666666664,3.55,0.35,0.05,1828,4005,0.4564294631710362
opponent,per_power,TURKEY,60,0.17019973402719657,0.0,0.21666666666666667,0.6166666666666667,0.16666666666666666,0,13,37,10,22,152,21,4,0.36666666666666664,2.533333333333333,0.35,0.06666666666666667,1603,3098,0.5174306003873467
consistent,overall,OVERALL,70,0.08502698659021084,0.0,0.08571428571428572,0.6,0.3142857142857143,0,6,42,22,0,22,1,0,0.0,0.3142857142857143,0.014285714285714285,0.0,1569,3210,0.48878504672897194
opponent,overall,OVERALL,420,0.1524955022349648,0.0,0.1976190476190476,0.6404761904761904,0.1619047619047619,0,83,269,68,238,1372,258,29,0.5666666666666667,3.2666666666666666,0.6142857142857143,0.06904761904761905,11122,23324,0.4768478820099468
