game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myAUSTRIA_myconsistent_oppdiplodocus_high_seed1,1,1v6,AUSTRIA,consistent,diplodocus_high,stop_after_W1913A,W1913A,55,0,7,8,3,9,4,3,0.0,0.2149122807017544,0.2807017543859649,0.039473684210526314,0.35526315789473684,0.07017543859649122,0.039473684210526314,0,0,0,0,0,2,2,0,0,4,1,0,1,4,0,0,1,3,1,0,0,4,0,0,1,6,0,0,5,6,14,29,27,64,40,88,37,74,30,55,41,63
run_1v6_myAUSTRIA_myconsistent_oppdiplodocus_high_seed3,3,1v6,AUSTRIA,consistent,diplodocus_high,stop_after_W1913A,W1913A,59,0,6,7,4,2,9,6,0.0,0.16216216216216217,0.22072072072072071,0.07207207207207207,0.018018018018018018,0.36486486486486486,0.16216216216216217,0,0,0,0,0,3,0,0,0,3,0,0,0,2,1,0,0,4,2,0,0,7,0,0,0,3,0,0,6,6,28,45,34,63,26,53,15,29,42,93,38,52
run_1v6_myAUSTRIA_myconsistent_oppdiplodocus_high_seed0,0,1v6,AUSTRIA,consistent,diplodocus_high,max_phases,F1915R,60,0,3,8,6,5,6,6,0.0,0.043689320388349516,0.3106796116504854,0.17475728155339806,0.12135922330097088,0.17475728155339806,0.17475728155339806,0,0,0,0,0,5,3,0,0,7,3,0,1,8,0,0,1,9,1,0,0,7,0,0,0,10,0,0,4,10,17,59,41,85,28,95,16,115,33,98,29,119
run_1v6_myAUSTRIA_myconsistent_oppdiplodocus_high_seed2,2,1v6,AUSTRIA,consistent,diplodocus_high,stop_after_W1913A,W1913A,59,0,1,8,6,6,6,7,0.0,0.0045045045045045045,0.2882882882882883,0.16216216216216217,0.16216216216216217,0.16216216216216217,0.22072072072072071,0,0,0,0,1,3,0,0,3,4,2,0,0,3,1,0,0,2,1,0,0,3,0,1,1,2,0,0,11,48,15,33,27,60,35,58,27,48,30,57,31,53
run_1v6_myAUSTRIA_myconsistent_oppdiplodocus_high_seed5,5,1v6,AUSTRIA,consistent,diplodocus_high,stop_after_W1913A,W1913A,58,0,6,6,5,5,5,7,0.0,0.1836734693877551,0.1836734693877551,0.12755102040816327,0.12755102040816327,0.12755102040816327,0.25,0,0,0,0,0,2,1,0,1,4,6,0,1,5,1,0,0,3,0,0,2,1,0,0,2,5,1,0,8,8,13,30,24,41,47,96,24,58,47,96,27,66
run_1v6_myAUSTRIA_myconsistent_oppdiplodocus_high_seed4,4,1v6,AUSTRIA,consistent,diplodocus_high,max_phases,S1914M,60,0,0,11,2,6,10,5,0.0,0.0,0.4230769230769231,0.013986013986013986,0.1258741258741259,0.34965034965034963,0.08741258741258741,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,0,0,1,0,0,5,1,1,0,0,0,1,0,13,32,7,11,53,76,18,49,29,45,72,129,22,39
run_1v6_myAUSTRIA_myconsistent_oppdiplodocus_high_seed7,7,1v6,AUSTRIA,consistent,diplodocus_high,stop_after_W1913A,W1913A,58,0,3,8,0,5,13,5,0.0,0.030821917808219176,0.2191780821917808,0.0,0.08561643835616438,0.5787671232876712,0.08561643835616438,0,0,0,0,0,4,1,0,1,5,0,0,0,4,0,0,0,6,0,0,5,9,0,0,5,10,0,0,6,13,24,52,25,57,22,51,37,60,48,99,33,58
run_1v6_myAUSTRIA_myconsistent_oppdiplodocus_high_seed6,6,1v6,AUSTRIA,consistent,diplodocus_high,stop_after_W1913A,W1913A,59,0,7,10,5,0,6,6,0.0,0.1991869918699187,0.4065040650406504,0.1016260162601626,0.0,0.14634146341463414,0.14634146341463414,0,0,0,0,0,6,2,0,1,4,0,0,0,3,1,0,1,2,0,1,0,2,0,0,0,5,1,1,34,59,23,45,28,84,13,65,22,38,23,55,23,48
run_1v6_myAUSTRIA_myconsistent_oppdiplodocus_high_seed9,9,1v6,AUSTRIA,consistent,diplodocus_high,stop_after_W1913A,W1913A,57,0,0,6,10,7,4,7,0.0,0.0,0.144,0.4,0.196,0.064,0.196,0,0,0,0,0,1,1,0,0,3,0,0,1,4,0,0,1,5,0,0,1,3,0,0,0,6,0,0,12,38,10,13,33,60,52,82,35,54,22,48,36,55
run_1v6_myAUSTRIA_myconsistent_oppdiplodocus_high_seed8,8,1v6,AUSTRIA,consistent,diplodocus_high,stop_after_W1913A,W1913A,59,0,10,9,1,1,2,11,0.0,0.3246753246753247,0.262987012987013,0.003246753246753247,0.003246753246753247,0.012987012987012988,0.39285714285714285,0,0,0,0,1,3,1,0,0,5,2,0,0,2,0,0,1,0,0,0,0,2,1,0,0,1,0,0,29,69,27,63,34,57,24,81,15,25,23,50,33,47
