role,scope,power,n_samples,mean_sos,win_rate,most_sc_rate,survived_rate,defeated_rate,win_count,most_sc_count,survived_count,defeated_count,c1_total,c2_total,c3_total,c4_total,c1_avg_per_sample,c2_avg_per_sample,c3_avg_per_sample,c4_avg_per_sample,support_success_total,support_total_total,support_success_ratio
consistent,per_power,AUSTRIA,10,0.27068539404065717,0.2,0.1,0.1,0.6,2,1,1,6,0,4,0,0,0.0,0.4,0.0,0.0,285,490,0.5816326530612245
consistent,per_power,ENGLAND,10,0.6148075526506899,0.5,0.2,0.1,0.2,5,2,1,2,0,8,0,0,0.0,0.8,0.0,0.0,342,561,0.6096256684491979
consistent,per_power,FRANCE,10,0.702922077922078,0.7,0.0,0.1,0.2,7,0,1,2,0,5,1,0,0.0,0.5,0.1,0.0,323,523,0.6175908221797323
consistent,per_power,GERMANY,10,0.4675289699480837,0.3,0.2,0.2,0.3,3,2,2,3,0,7,0,0,0.0,0.7,0.0,0.0,457,725,0.6303448275862069
consistent,per_power,ITALY,10,0.9,0.9,0.0,0.0,0.1,9,0,0,1,0,4,0,0,0.0,0.4,0.0,0.0,310,414,0.748792270531401
consistent,per_power,RUSSIA,10,0.45920080324036017,0.3,0.3,0.1,0.3,3,3,1,3,0,8,0,0,0.0,0.8,0.0,0.0,403,661,0.6096822995461422
consistent,per_power,TURKEY,10,0.27635993726603425,0.2,0.0,0.4,0.4,2,0,4,4,1,1,0,0,0.1,0.1,0.0,0.0,244,423,0.5768321513002365
opponent,per_power,AUSTRIA,60,0.027305593307856573,0.0,0.03333333333333333,0.06666666666666667,0.9,0,2,4,54,22,77,14,0,0.36666666666666664,1.2833333333333334,0.23333333333333334,0.0,1129,2042,0.5528893241919687
opponent,per_power,ENGLAND,60,0.02020407619711913,0.0,0.016666666666666666,0.11666666666666667,0.8666666666666667,0,1,7,52,19,67,25,4,0.31666666666666665,1.1166666666666667,0.4166666666666667,0.06666666666666667,901,1617,0.557204700061843
opponent,per_power,FRANCE,60,0.27581940910380415,0.18333333333333332,0.11666666666666667,0.25,0.45,11,7,15,27,41,87,53,2,0.6833333333333333,1.45,0.8833333333333333,0.03333333333333333,1942,4010,0.48428927680798006
opponent,per_power,GERMANY,60,0.03854826595573827,0.0,0.016666666666666666,0.2,0.7833333333333333,0,1,12,47,37,88,58,7,0.6166666666666667,1.4666666666666666,0.9666666666666667,0.11666666666666667,1495,2703,0.5530891601923789
opponent,per_power,ITALY,60,0.1302652537743372,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.6,4,4,16,36,72,72,30,2,1.2,1.2,0.5,0.03333333333333333,1726,2978,0.5795836131631967
opponent,per_power,RUSSIA,60,0.024395945869062425,0.0,0.016666666666666666,0.2,0.7833333333333333,0,1,12,47,11,44,35,5,0.18333333333333332,0.7333333333333333,0.5833333333333334,0.08333333333333333,981,2888,0.3396814404432133
opponent,per_power,TURKEY,60,0.03487733328076516,0.0,0.016666666666666666,0.18333333333333332,0.8,0,1,11,48,27,47,31,3,0.45,0.7833333333333333,0.5166666666666667,0.05,922,2226,0.4141958670260557
consistent,overall,OVERALL,70,0.5273578192954149,0.44285714285714284,0.11428571428571428,0.14285714285714285,0.3,31,8,10,21,1,37,1,0,0.014285714285714285,0.5285714285714286,0.014285714285714285,0.0,2364,3797,0.6225967869370556
opponent,overall,OVERALL,420,0.07877369678409754,0.03571428571428571,0.04047619047619048,0.18333333333333332,0.7404761904761905,15,17,77,311,229,482,246,23,0.5452380952380952,1.1476190476190475,0.5857142857142857,0.05476190476190476,9096,18464,0.49263431542461006
