game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myITALY_myconsistent_oppdipnet_seed0,0,1v6,ITALY,consistent,dipnet,solo_18sc_ITALY,F1908M,35,0,0,6,8,18,2,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0,0,0,3,0,0,2,4,0,0,0,4,3,0,0,0,0,0,1,0,0,0,0,1,0,0,19,23,11,24,14,45,25,48,24,36,13,29,0,19
run_1v6_myITALY_myconsistent_oppdipnet_seed2,2,1v6,ITALY,consistent,dipnet,solo_18sc_ITALY,F1909R,39,0,0,6,7,20,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,2,0,1,1,1,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,14,21,6,6,29,35,22,37,32,34,25,39,0,18
run_1v6_myITALY_myconsistent_oppdipnet_seed1,1,1v6,ITALY,consistent,dipnet,solo_18sc_FRANCE,F1913R,54,1,0,19,0,3,4,7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,9,84,12,12,49,87,28,40,21,41,29,57,26,68
run_1v6_myITALY_myconsistent_oppdipnet_seed3,3,1v6,ITALY,consistent,dipnet,solo_18sc_ITALY,F1908R,36,0,0,11,4,18,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0,0,0,2,1,0,0,3,0,0,0,0,3,0,0,1,0,0,1,1,0,1,0,1,0,0,12,18,7,7,22,43,19,34,24,27,15,43,0,23
run_1v6_myITALY_myconsistent_oppdipnet_seed4,4,1v6,ITALY,consistent,dipnet,solo_18sc_ITALY,F1909R,42,0,4,4,4,19,3,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,26,17,41,19,53,22,53,31,44,18,41,10,11
run_1v6_myITALY_myconsistent_oppdipnet_seed5,5,1v6,ITALY,consistent,dipnet,solo_18sc_ITALY,F1910M,46,0,1,13,2,18,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,16,24,12,19,37,80,21,41,31,44,24,45,7,20
run_1v6_myITALY_myconsistent_oppdipnet_seed6,6,1v6,ITALY,consistent,dipnet,solo_18sc_ITALY,F1910R,45,0,0,6,7,20,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,35,8,12,25,75,41,52,41,57,20,38,2,8
run_1v6_myITALY_myconsistent_oppdipnet_seed7,7,1v6,ITALY,consistent,dipnet,solo_18sc_ITALY,F1909R,39,0,3,4,5,20,2,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,1,11,12,19,27,16,58,19,44,35,40,17,41,5,31
run_1v6_myITALY_myconsistent_oppdipnet_seed8,8,1v6,ITALY,consistent,dipnet,solo_18sc_ITALY,F1910R,44,0,0,4,10,19,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,2,1,0,0,1,0,0,2,3,0,0,0,3,0,0,0,1,0,0,0,0,2,0,0,1,0,0,17,28,13,17,25,55,31,51,34,48,16,33,2,32
run_1v6_myITALY_myconsistent_oppdipnet_seed9,9,1v6,ITALY,consistent,dipnet,solo_18sc_ITALY,F1909R,40,0,2,8,5,18,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,21,18,18,15,40,12,44,37,43,27,39,0,17
