game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myAUSTRIA_myconsistent_oppsearchbot_seed0,0,1v6,AUSTRIA,consistent,searchbot,solo_18sc_TURKEY,F1912R,53,0,0,15,0,0,1,18,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,1,1,0,0,1,2,0,2,2,3,0,0,26,49,4,6,46,88,30,46,13,21,25,52,39,59
run_1v6_myAUSTRIA_myconsistent_oppsearchbot_seed1,1,1v6,AUSTRIA,consistent,searchbot,stop_after_W1913A,W1913A,57,0,0,8,9,0,0,17,0.0,0.0,0.14746543778801843,0.18663594470046083,0.0,0.0,0.6658986175115207,0,0,0,0,0,0,0,0,1,4,0,0,3,5,0,0,1,3,0,0,0,3,0,0,0,3,1,0,9,20,9,15,12,102,27,99,14,22,19,60,54,74
run_1v6_myAUSTRIA_myconsistent_oppsearchbot_seed3,3,1v6,AUSTRIA,consistent,searchbot,solo_18sc_FRANCE,F1910R,45,0,0,19,0,10,3,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,2,2,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,17,8,13,30,54,19,51,34,43,18,40,17,29
run_1v6_myAUSTRIA_myconsistent_oppsearchbot_seed2,2,1v6,AUSTRIA,consistent,searchbot,solo_18sc_ITALY,F1913R,60,0,0,3,12,19,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,5,0,0,0,3,0,0,2,5,1,0,1,4,0,0,0,2,0,0,2,3,0,2,9,21,18,37,32,52,44,94,56,76,16,39,27,45
run_1v6_myAUSTRIA_myconsistent_oppsearchbot_seed4,4,1v6,AUSTRIA,consistent,searchbot,stop_after_W1913A,W1913A,57,0,0,2,15,2,2,13,0.0,0.0,0.009852216748768473,0.5541871921182266,0.009852216748768473,0.009852216748768473,0.41625615763546797,0,2,0,0,0,4,1,0,4,5,1,0,0,3,0,0,1,1,0,0,0,3,0,0,0,5,0,0,16,18,4,17,24,41,34,80,17,28,26,65,76,110
run_1v6_myAUSTRIA_myconsistent_oppsearchbot_seed5,5,1v6,AUSTRIA,consistent,searchbot,stop_after_W1913A,W1913A,60,1,2,13,0,12,2,4,0.0029585798816568047,0.011834319526627219,0.5,0.0,0.4260355029585799,0.011834319526627219,0.047337278106508875,0,1,0,0,3,6,4,0,2,5,1,1,0,1,0,0,2,2,0,0,0,1,0,0,0,1,0,0,31,57,48,68,55,75,10,21,35,54,16,45,23,47
run_1v6_myAUSTRIA_myconsistent_oppsearchbot_seed6,6,1v6,AUSTRIA,consistent,searchbot,solo_18sc_FRANCE,F1910R,46,0,0,18,1,2,2,11,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,1,1,0,0,0,3,0,0,1,4,0,0,3,4,0,0,1,4,0,0,14,22,2,5,49,60,34,44,22,44,8,55,37,57
run_1v6_myAUSTRIA_myconsistent_oppsearchbot_seed7,7,1v6,AUSTRIA,consistent,searchbot,solo_18sc_FRANCE,F1910R,45,0,0,19,1,4,0,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,4,1,0,0,1,1,1,1,1,0,0,1,0,0,0,2,1,0,0,15,27,7,10,43,59,7,30,18,34,18,46,23,30
run_1v6_myAUSTRIA_myconsistent_oppsearchbot_seed8,8,1v6,AUSTRIA,consistent,searchbot,max_phases,F1913M,60,0,3,16,0,8,0,7,0.0,0.023809523809523808,0.6772486772486772,0.0,0.1693121693121693,0.0,0.12962962962962962,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,1,1,0,12,14,17,23,59,69,16,18,42,81,18,45,34,55
run_1v6_myAUSTRIA_myconsistent_oppsearchbot_seed9,9,1v6,AUSTRIA,consistent,searchbot,solo_18sc_TURKEY,F1913R,56,0,0,2,10,0,2,20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,1,0,0,2,5,4,0,0,4,0,0,1,2,0,0,0,1,0,0,0,2,0,0,8,36,11,20,30,35,65,97,10,16,27,57,57,70
