game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myGERMANY_myconsistent_oppsearchbot_seed1,1,1v6,GERMANY,consistent,searchbot,solo_18sc_GERMANY,F1909R,40,0,0,0,18,9,2,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,1,3,1,0,0,1,0,0,0,2,0,0,1,5,0,0,2,1,2,0,12,18,2,6,9,13,41,65,26,39,24,38,10,22
run_1v6_myGERMANY_myconsistent_oppsearchbot_seed0,0,1v6,GERMANY,consistent,searchbot,solo_18sc_AUSTRIA,F1907R,31,18,9,4,3,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,3,0,0,0,2,0,1,0,1,0,0,22,31,17,27,11,22,13,55,8,11,6,16,3,10
run_1v6_myGERMANY_myconsistent_oppsearchbot_seed2,2,1v6,GERMANY,consistent,searchbot,stop_after_W1913A,W1913A,60,0,3,10,1,16,4,0,0.0,0.02356020942408377,0.2617801047120419,0.002617801047120419,0.6701570680628273,0.041884816753926704,0.0,0,1,0,0,0,2,0,0,1,3,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,2,1,0,17,18,25,36,52,65,30,53,53,58,23,57,8,18
run_1v6_myGERMANY_myconsistent_oppsearchbot_seed3,3,1v6,GERMANY,consistent,searchbot,stop_after_W1913A,W1913A,57,0,1,2,9,2,15,5,0.0,0.0029411764705882353,0.011764705882352941,0.23823529411764705,0.011764705882352941,0.6617647058823529,0.07352941176470588,0,4,0,0,0,1,0,0,1,3,1,0,0,2,0,0,5,7,0,2,3,4,0,0,1,6,1,0,4,21,4,5,16,20,51,84,17,45,64,116,23,48
run_1v6_myGERMANY_myconsistent_oppsearchbot_seed4,4,1v6,GERMANY,consistent,searchbot,solo_18sc_RUSSIA,F1910R,46,0,6,4,0,3,18,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,18,29,25,35,14,20,12,14,18,29,35,85,24,39
run_1v6_myGERMANY_myconsistent_oppsearchbot_seed5,5,1v6,GERMANY,consistent,searchbot,stop_after_W1913A,W1913A,55,0,1,5,2,10,12,4,0.0,0.0034482758620689655,0.08620689655172414,0.013793103448275862,0.3448275862068966,0.496551724137931,0.05517241379310345,0,2,0,0,2,3,0,0,1,3,3,0,0,0,0,0,2,1,0,0,0,2,4,1,0,1,0,0,11,15,25,40,29,38,26,31,64,91,24,45,39,61
run_1v6_myGERMANY_myconsistent_oppsearchbot_seed6,6,1v6,GERMANY,consistent,searchbot,solo_18sc_TURKEY,F1913R,56,0,9,7,0,0,0,18,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,2,0,0,2,0,0,0,0,4,2,1,0,0,0,0,1,5,0,0,0,0,0,0,1,3,0,0,11,16,37,69,22,99,17,65,26,47,4,4,69,125
run_1v6_myGERMANY_myconsistent_oppsearchbot_seed7,7,1v6,GERMANY,consistent,searchbot,solo_18sc_GERMANY,F1911R,50,0,0,7,20,2,0,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,1,0,0,2,0,0,1,2,0,0,0,0,0,0,1,2,0,0,9,9,11,20,26,62,57,73,32,47,9,14,27,59
run_1v6_myGERMANY_myconsistent_oppsearchbot_seed9,9,1v6,GERMANY,consistent,searchbot,solo_18sc_ITALY,F1912R,50,0,0,7,6,20,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,1,1,7,7,3,10,37,74,41,64,62,75,25,55,14,35
run_1v6_myGERMANY_myconsistent_oppsearchbot_seed8,8,1v6,GERMANY,consistent,searchbot,max_phases,F1913R,60,0,0,1,16,3,7,7,0.0,0.0,0.0027472527472527475,0.7032967032967034,0.024725274725274724,0.1346153846153846,0.1346153846153846,0,1,0,0,1,5,0,1,2,4,0,0,0,0,0,0,1,5,0,0,2,0,0,0,1,4,0,0,12,22,16,32,29,41,45,62,57,81,11,42,47,69
