game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myENGLAND_myconsistent_oppsearchbot_seed0,0,1v6,ENGLAND,consistent,searchbot,stop_after_W1913A,W1913A,59,1,8,7,0,5,0,13,0.003246753246753247,0.2077922077922078,0.1590909090909091,0.0,0.08116883116883117,0.0,0.5487012987012987,1,1,0,1,0,0,0,0,0,2,1,0,1,3,1,1,2,3,4,0,0,1,0,0,1,3,0,0,19,36,30,40,38,46,26,35,31,44,10,17,50,68
run_1v6_myENGLAND_myconsistent_oppsearchbot_seed5,5,1v6,ENGLAND,consistent,searchbot,solo_18sc_FRANCE,F1908R,33,2,3,18,0,5,1,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,3,0,0,1,1,0,0,17,26,9,10,35,43,12,15,17,24,16,26,13,19
run_1v6_myENGLAND_myconsistent_oppsearchbot_seed4,4,1v6,ENGLAND,consistent,searchbot,solo_18sc_ENGLAND,F1911R,49,0,19,0,0,4,7,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,2,0,0,1,0,0,2,4,0,0,8,8,45,59,6,9,22,47,26,45,37,61,15,41
run_1v6_myENGLAND_myconsistent_oppsearchbot_seed6,6,1v6,ENGLAND,consistent,searchbot,solo_18sc_GERMANY,F1910R,46,0,0,0,21,8,2,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,2,0,0,0,0,0,0,1,2,1,0,2,1,2,0,0,3,0,0,0,5,0,0,0,3,0,0,11,23,4,6,9,11,32,43,26,48,21,68,22,33
run_1v6_myENGLAND_myconsistent_oppsearchbot_seed3,3,1v6,ENGLAND,consistent,searchbot,stop_after_W1913A,W1913A,54,0,4,14,0,7,3,6,0.0,0.05228758169934641,0.6405228758169934,0.0,0.16013071895424835,0.029411764705882353,0.11764705882352941,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,2,0,0,1,2,0,1,2,3,0,0,7,14,25,33,52,109,15,19,62,88,30,64,46,71
run_1v6_myENGLAND_myconsistent_oppsearchbot_seed8,8,1v6,ENGLAND,consistent,searchbot,solo_18sc_ITALY,F1912M,53,0,1,8,6,18,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,2,0,0,0,0,0,0,1,5,1,0,2,4,2,0,0,5,1,0,0,2,0,0,0,0,0,0,8,34,23,27,41,74,38,54,56,69,32,50,3,5
run_1v6_myENGLAND_myconsistent_oppsearchbot_seed9,9,1v6,ENGLAND,consistent,searchbot,stop_after_W1913A,W1913A,55,0,0,3,13,1,17,0,0.0,0.0,0.019230769230769232,0.3611111111111111,0.002136752136752137,0.6175213675213675,0.0,1,1,1,0,0,1,0,0,2,6,3,0,2,4,5,0,1,2,0,0,0,2,1,0,0,2,3,0,3,4,10,14,26,40,47,95,21,38,72,83,21,32
run_1v6_myENGLAND_myconsistent_oppsearchbot_seed7,7,1v6,ENGLAND,consistent,searchbot,stop_after_W1913A,W1913A,59,0,1,2,16,1,1,13,0.0,0.0023148148148148147,0.009259259259259259,0.5925925925925926,0.0023148148148148147,0.0023148148148148147,0.3912037037037037,0,0,0,0,0,0,0,0,4,5,0,0,0,4,1,0,3,7,2,0,0,1,0,1,1,5,0,0,4,7,5,12,20,46,63,120,35,66,7,24,39,102
run_1v6_myENGLAND_myconsistent_oppsearchbot_seed2,2,1v6,ENGLAND,consistent,searchbot,stop_after_W1913A,W1913A,58,0,6,4,7,6,6,5,0.0,0.18181818181818182,0.08080808080808081,0.2474747474747475,0.18181818181818182,0.18181818181818182,0.12626262626262627,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,2,1,0,0,3,4,0,0,0,5,1,0,6,34,36,43,22,56,32,58,34,53,23,80,33,67
run_1v6_myENGLAND_myconsistent_oppsearchbot_seed1,1,1v6,ENGLAND,consistent,searchbot,stop_after_W1913A,W1913A,57,0,0,6,11,7,10,0,0.0,0.0,0.11764705882352941,0.3954248366013072,0.16013071895424835,0.32679738562091504,0.0,0,2,0,0,0,1,0,0,6,12,1,0,8,14,1,0,0,2,0,0,1,2,0,0,2,4,0,1,13,20,15,16,17,47,60,83,40,59,52,105,8,25
run_1v6_myENGLAND_myconsistent_oppsearchbot_seed2,2,1v6,ENGLAND,consistent,searchbot,stop_after_W1913A,W1913A,58,0,6,4,7,6,6,5,0.0,0.18181818181818182,0.08080808080808081,0.2474747474747475,0.18181818181818182,0.18181818181818182,0.12626262626262627,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,2,1,0,0,3,4,0,0,0,5,1,0,6,34,36,43,22,56,32,58,34,53,23,80,33,67
