game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myFRANCE_myconsistent_oppsearchbot_seed0,0,1v6,FRANCE,consistent,searchbot,stop_after_W1913A,W1913A,58,0,0,7,9,2,0,16,0.0,0.0,0.12564102564102564,0.2076923076923077,0.010256410256410256,0.0,0.6564102564102564,0,1,1,1,0,1,0,0,0,1,0,0,2,5,2,0,1,2,0,0,0,1,0,0,0,0,0,0,5,9,14,19,40,51,50,75,35,53,7,12,70,93
run_1v6_myFRANCE_myconsistent_oppsearchbot_seed1,1,1v6,FRANCE,consistent,searchbot,solo_18sc_FRANCE,F1911M,48,0,0,21,1,2,4,6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,8,1,1,0,1,0,0,0,2,0,0,2,3,0,0,3,2,0,0,0,1,1,0,0,3,0,0,25,52,2,4,62,71,34,53,24,31,22,71,23,40
run_1v6_myFRANCE_myconsistent_oppsearchbot_seed4,4,1v6,FRANCE,consistent,searchbot,solo_18sc_FRANCE,F1909R,40,5,0,18,0,11,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,2,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,3,0,0,0,1,0,0,1,4,0,2,28,59,2,3,37,45,19,34,24,26,10,23,4,12
run_1v6_myFRANCE_myconsistent_oppsearchbot_seed3,3,1v6,FRANCE,consistent,searchbot,solo_18sc_FRANCE,F1910R,44,1,0,19,0,2,2,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,6,0,0,0,1,0,0,0,0,0,0,0,3,2,0,4,4,0,0,2,2,0,1,0,6,0,0,15,53,2,3,34,56,30,39,19,25,19,39,28,34
run_1v6_myFRANCE_myconsistent_oppsearchbot_seed2,2,1v6,FRANCE,consistent,searchbot,solo_18sc_FRANCE,F1912M,53,0,0,19,0,7,2,6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,2,1,0,0,0,0,0,0,1,0,0,1,3,0,1,0,2,0,0,0,3,1,0,0,2,0,0,10,37,1,9,48,61,30,65,32,66,26,63,27,45
run_1v6_myFRANCE_myconsistent_oppsearchbot_seed6,6,1v6,FRANCE,consistent,searchbot,solo_18sc_FRANCE,F1907R,29,0,1,18,0,12,3,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,5,1,1,1,2,0,0,0,2,0,0,0,3,0,0,1,3,0,0,0,1,0,0,0,4,0,0,4,11,18,22,27,29,10,26,23,28,19,42,10,19
run_1v6_myFRANCE_myconsistent_oppsearchbot_seed8,8,1v6,FRANCE,consistent,searchbot,solo_18sc_FRANCE,F1908R,31,7,0,19,0,0,6,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,3,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,1,34,40,8,11,35,49,14,23,12,12,24,41,11,17
run_1v6_myFRANCE_myconsistent_oppsearchbot_seed7,7,1v6,FRANCE,consistent,searchbot,solo_18sc_FRANCE,F1911R,50,0,0,20,0,0,5,9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,2,1,0,1,3,0,0,0,3,0,0,2,10,5,11,44,67,12,28,21,51,40,98,31,57
run_1v6_myFRANCE_myconsistent_oppsearchbot_seed5,5,1v6,FRANCE,consistent,searchbot,stop_after_W1913A,W1913A,59,0,1,3,9,8,6,7,0.0,0.004166666666666667,0.0375,0.3375,0.26666666666666666,0.15,0.20416666666666666,0,0,1,0,0,9,0,0,0,1,0,0,1,8,1,1,1,3,5,0,0,0,0,0,0,0,1,0,20,28,12,31,35,50,27,32,28,45,40,80,39,60
run_1v6_myFRANCE_myconsistent_oppsearchbot_seed9,9,1v6,FRANCE,consistent,searchbot,solo_18sc_FRANCE,F1911R,49,0,0,18,0,5,11,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,6,4,4,45,72,27,42,31,81,33,70,12,19
