game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myITALY_myconsistent_oppsearchbot_seed0,0,1v6,ITALY,consistent,searchbot,stop_after_W1913A,W1913A,60,5,16,0,0,5,8,0,0.06756756756756757,0.6918918918918919,0.0,0.0,0.06756756756756757,0.17297297297297298,0.0,0,3,0,0,0,4,2,0,0,1,0,0,1,4,1,1,0,0,0,0,0,2,6,0,1,0,0,0,38,66,49,61,5,8,22,43,37,41,51,78,4,7
run_1v6_myITALY_myconsistent_oppsearchbot_seed1,1,1v6,ITALY,consistent,searchbot,max_phases,F1913R,60,0,0,6,6,6,16,0,0.0,0.0,0.0989010989010989,0.0989010989010989,0.0989010989010989,0.7032967032967034,0.0,0,0,0,1,0,0,0,0,0,5,1,0,3,5,0,0,0,0,0,0,9,5,0,0,0,6,0,1,9,21,4,6,42,69,43,72,47,66,50,79,16,35
run_1v6_myITALY_myconsistent_oppsearchbot_seed2,2,1v6,ITALY,consistent,searchbot,solo_18sc_FRANCE,F1912R,50,0,0,18,1,4,3,8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,2,0,0,0,1,0,0,0,3,1,0,0,4,0,0,0,1,0,0,0,1,0,0,0,0,1,0,13,28,4,4,54,82,23,65,37,43,17,37,46,79
run_1v6_myITALY_myconsistent_oppsearchbot_seed3,3,1v6,ITALY,consistent,searchbot,solo_18sc_FRANCE,F1913R,57,1,0,18,0,9,6,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5,3,0,0,0,0,0,1,2,1,0,0,0,3,0,1,1,1,0,0,0,1,0,0,0,4,0,1,29,47,9,11,49,54,19,37,34,55,58,114,4,17
run_1v6_myITALY_myconsistent_oppsearchbot_seed4,4,1v6,ITALY,consistent,searchbot,solo_18sc_ITALY,F1912M,55,0,0,15,1,18,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,4,0,1,1,3,0,1,0,2,1,0,1,3,0,0,0,2,0,0,0,6,0,1,0,1,2,0,27,55,10,12,40,71,23,39,49,64,15,32,5,8
run_1v6_myITALY_myconsistent_oppsearchbot_seed6,6,1v6,ITALY,consistent,searchbot,solo_18sc_ITALY,F1911R,47,0,0,10,4,18,2,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,2,2,1,0,1,0,0,4,8,0,0,0,6,0,0,0,2,0,0,1,4,1,0,0,1,0,0,6,15,4,6,44,105,31,95,50,74,28,56,0,11
run_1v6_myITALY_myconsistent_oppsearchbot_seed5,5,1v6,ITALY,consistent,searchbot,stop_after_W1913A,W1913A,60,0,0,16,0,2,7,9,0.0,0.0,0.6564102564102564,0.0,0.010256410256410256,0.12564102564102564,0.2076923076923077,0,1,1,0,0,1,1,0,0,3,0,0,1,1,0,0,0,0,0,0,1,2,0,0,1,3,0,0,28,37,3,4,54,75,24,53,6,37,37,95,35,62
run_1v6_myITALY_myconsistent_oppsearchbot_seed9,9,1v6,ITALY,consistent,searchbot,solo_18sc_FRANCE,F1912R,54,0,0,19,0,5,5,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,2,8,2,0,4,7,0,0,0,0,0,0,2,5,0,0,0,0,0,0,21,31,6,10,48,64,18,60,22,38,39,83,27,39
run_1v6_myITALY_myconsistent_oppsearchbot_seed8,8,1v6,ITALY,consistent,searchbot,solo_18sc_FRANCE,F1911R,50,0,1,23,0,0,2,8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,1,0,1,3,0,0,1,2,1,0,0,5,0,0,0,0,0,0,2,3,0,0,2,2,1,0,4,5,14,33,67,82,11,27,21,25,42,85,26,30
run_1v6_myITALY_myconsistent_oppsearchbot_seed7,7,1v6,ITALY,consistent,searchbot,stop_after_W1913A,W1913A,57,1,0,17,3,0,4,9,0.0025252525252525255,0.0,0.7297979797979798,0.022727272727272728,0.0,0.04040404040404041,0.20454545454545456,4,5,0,0,0,1,0,0,0,1,2,0,1,4,0,0,0,0,0,0,0,2,0,0,0,3,0,0,49,93,21,26,38,46,34,41,11,11,16,39,41,56
