game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myRUSSIA_myconsistent_oppsearchbot_seed1,1,1v6,RUSSIA,consistent,searchbot,solo_18sc_FRANCE,F1913M,60,0,0,18,0,3,4,9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,2,0,0,0,2,0,0,1,2,2,0,0,1,0,0,2,1,2,0,0,1,0,0,1,2,0,0,10,14,9,12,71,103,4,14,29,39,76,119,37,52
run_1v6_myRUSSIA_myconsistent_oppsearchbot_seed8,8,1v6,RUSSIA,consistent,searchbot,max_phases,F1913R,60,0,0,5,9,16,4,0,0.0,0.0,0.06613756613756613,0.21428571428571427,0.6772486772486772,0.042328042328042326,0.0,0,1,1,1,0,2,0,1,7,9,1,0,4,9,0,0,0,2,2,0,0,0,0,0,0,1,0,1,2,2,7,9,34,85,47,110,72,88,38,50,11,18
run_1v6_myRUSSIA_myconsistent_oppsearchbot_seed7,7,1v6,RUSSIA,consistent,searchbot,max_phases,F1913M,60,2,0,0,16,8,8,0,0.010309278350515464,0.0,0.0,0.6597938144329897,0.16494845360824742,0.16494845360824742,0.0,1,3,0,0,0,1,0,0,1,4,0,0,4,2,0,0,2,1,2,0,0,3,0,0,0,2,0,1,41,69,10,16,19,40,76,102,13,33,37,75,5,7
run_1v6_myRUSSIA_myconsistent_oppsearchbot_seed9,9,1v6,RUSSIA,consistent,searchbot,stop_after_W1913A,W1913A,58,0,2,7,6,7,8,4,0.0,0.01834862385321101,0.22477064220183487,0.1651376146788991,0.22477064220183487,0.29357798165137616,0.07339449541284404,0,1,0,0,0,3,1,0,3,6,0,0,2,6,0,1,3,2,1,0,0,1,1,0,1,4,0,0,19,32,18,33,28,48,25,44,23,25,52,72,40,58
run_1v6_myRUSSIA_myconsistent_oppsearchbot_seed2,2,1v6,RUSSIA,consistent,searchbot,solo_18sc_RUSSIA,F1911R,50,0,0,6,0,7,21,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,2,0,0,1,1,0,0,1,4,1,0,1,4,1,0,0,0,0,0,0,2,0,0,1,1,0,0,15,25,6,7,36,57,22,36,34,60,53,75,11,34
run_1v6_myRUSSIA_myconsistent_oppsearchbot_seed0,0,1v6,RUSSIA,consistent,searchbot,stop_after_W1913A,W1913A,60,4,1,0,0,13,9,7,0.05063291139240506,0.0031645569620253164,0.0,0.0,0.5348101265822784,0.2563291139240506,0.1550632911392405,0,1,2,0,0,0,0,0,0,2,0,0,0,2,0,0,2,3,1,0,0,1,0,0,0,0,0,0,30,67,21,30,6,7,12,16,39,71,66,123,30,45
run_1v6_myRUSSIA_myconsistent_oppsearchbot_seed3,3,1v6,RUSSIA,consistent,searchbot,max_phases,F1913R,60,0,0,11,1,15,7,0,0.0,0.0,0.3055555555555556,0.0025252525252525255,0.5681818181818182,0.12373737373737374,0.0,0,0,0,0,0,0,0,0,0,6,0,0,3,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,9,6,7,56,82,24,63,66,87,36,68,18,23
run_1v6_myRUSSIA_myconsistent_oppsearchbot_seed4,4,1v6,RUSSIA,consistent,searchbot,stop_after_W1913A,W1913A,60,0,0,4,17,0,0,13,0.0,0.0,0.03375527426160337,0.609704641350211,0.0,0.0,0.35654008438818563,0,1,0,0,0,0,0,0,1,2,1,0,1,0,1,0,0,4,0,0,0,0,0,0,1,1,0,0,2,11,3,10,36,51,59,101,19,34,13,27,70,118
run_1v6_myRUSSIA_myconsistent_oppsearchbot_seed5,5,1v6,RUSSIA,consistent,searchbot,stop_after_W1913A,W1913A,56,0,0,8,7,3,9,7,0.0,0.0,0.25396825396825395,0.19444444444444445,0.03571428571428571,0.32142857142857145,0.19444444444444445,0,2,0,0,0,0,0,0,3,6,0,0,0,8,1,0,0,4,0,0,0,0,0,0,0,2,0,0,16,22,2,3,70,95,52,107,18,31,39,96,44,72
run_1v6_myRUSSIA_myconsistent_oppsearchbot_seed6,6,1v6,RUSSIA,consistent,searchbot,solo_18sc_FRANCE,F1910R,46,0,0,18,1,11,0,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,1,0,0,3,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,3,4,41,52,28,42,45,70,8,14,28,42
