game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myTURKEY_myconsistent_oppsearchbot_seed0,0,1v6,TURKEY,consistent,searchbot,solo_18sc_FRANCE,F1910R,43,0,0,18,2,6,0,8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,2,4,0,0,0,1,0,0,0,0,0,0,10,20,2,9,41,62,24,40,22,46,34,53,19,42
run_1v6_myTURKEY_myconsistent_oppsearchbot_seed4,4,1v6,TURKEY,consistent,searchbot,stop_after_W1913A,W1913A,59,0,0,2,15,0,0,17,0.0,0.0,0.007722007722007722,0.4343629343629344,0.0,0.0,0.5579150579150579,0,2,0,0,0,0,0,0,0,3,0,1,2,1,0,0,0,1,0,0,0,2,0,1,0,2,0,0,0,3,1,1,27,44,48,87,7,16,13,60,49,109
run_1v6_myTURKEY_myconsistent_oppsearchbot_seed2,2,1v6,TURKEY,consistent,searchbot,stop_after_W1913A,W1913A,55,0,6,15,0,5,0,8,0.0,0.10285714285714286,0.6428571428571429,0.0,0.07142857142857142,0.0,0.18285714285714286,0,2,0,0,0,2,0,1,0,2,2,0,1,1,0,0,4,3,0,0,0,3,1,1,0,1,0,0,10,19,17,20,61,93,13,17,48,97,14,48,46,59
run_1v6_myTURKEY_myconsistent_oppsearchbot_seed3,3,1v6,TURKEY,consistent,searchbot,stop_after_W1913A,W1913A,59,0,0,16,1,0,17,0,0.0,0.0,0.46886446886446886,0.0018315018315018315,0.0,0.5293040293040293,0.0,0,2,0,0,0,0,0,0,3,1,1,0,0,1,0,0,0,2,0,0,4,3,1,0,0,1,0,0,2,4,10,12,67,90,21,58,12,24,61,103,12,22
run_1v6_myTURKEY_myconsistent_oppsearchbot_seed1,1,1v6,TURKEY,consistent,searchbot,stop_after_W1913A,W1913A,56,5,2,5,7,6,4,5,0.1388888888888889,0.022222222222222223,0.1388888888888889,0.2722222222222222,0.2,0.08888888888888889,0.1388888888888889,0,2,2,0,0,1,0,0,0,3,0,1,1,2,3,0,1,3,0,0,1,4,0,0,0,0,0,0,27,51,11,19,31,44,34,51,31,61,34,74,34,66
run_1v6_myTURKEY_myconsistent_oppsearchbot_seed5,5,1v6,TURKEY,consistent,searchbot,solo_18sc_TURKEY,F1909R,42,0,1,1,12,0,1,19,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0,0,2,2,1,0,0,0,0,0,1,4,0,0,1,1,0,0,0,4,0,0,0,1,0,0,2,2,6,8,14,25,44,55,19,36,15,23,39,51
run_1v6_myTURKEY_myconsistent_oppsearchbot_seed8,8,1v6,TURKEY,consistent,searchbot,solo_18sc_RUSSIA,F1911R,51,0,0,11,5,0,18,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,2,0,1,0,4,0,1,1,3,0,0,1,6,0,0,1,5,2,0,0,3,2,0,0,0,0,0,3,5,6,17,35,71,28,74,25,61,56,84,9,21
run_1v6_myTURKEY_myconsistent_oppsearchbot_seed7,7,1v6,TURKEY,consistent,searchbot,solo_18sc_TURKEY,F1910M,44,0,2,10,3,1,0,18,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,3,1,0,0,2,1,0,2,2,0,0,0,2,0,0,1,4,0,0,0,1,0,0,0,2,0,0,6,35,18,31,34,45,23,37,10,27,6,14,55,69
run_1v6_myTURKEY_myconsistent_oppsearchbot_seed6,6,1v6,TURKEY,consistent,searchbot,solo_18sc_FRANCE,F1911R,50,0,0,20,2,12,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0,2,1,0,2,5,0,0,0,3,0,1,0,1,0,0,1,1,0,0,0,1,0,0,4,8,9,11,52,77,14,24,55,81,24,30,11,17
run_1v6_myTURKEY_myconsistent_oppsearchbot_seed9,9,1v6,TURKEY,consistent,searchbot,stop_after_W1913A,W1913A,60,0,2,17,0,7,5,3,0.0,0.010638297872340425,0.7686170212765957,0.0,0.13031914893617022,0.06648936170212766,0.023936170212765957,0,1,0,0,4,10,4,0,1,8,2,0,1,7,0,0,2,2,1,0,1,2,0,0,0,0,0,0,11,30,21,46,55,66,23,42,35,50,25,49,39,63
