role,scope,power,n_samples,mean_sos,win_rate,most_sc_rate,survived_rate,defeated_rate,win_count,most_sc_count,survived_count,defeated_count,c1_total,c2_total,c3_total,c4_total,c1_avg_per_sample,c2_avg_per_sample,c3_avg_per_sample,c4_avg_per_sample,support_success_total,support_total_total,support_success_ratio
consistent,per_power,AUSTRIA,10,0.0002958579881656805,0.0,0.0,0.1,0.9,0,0,1,9,0,3,0,0,0.0,0.3,0.0,0.0,146,281,0.5195729537366548
consistent,per_power,ENGLAND,10,0.1444212786124551,0.1,0.0,0.4,0.5,1,0,4,5,0,2,0,0,0.0,0.2,0.0,0.0,202,260,0.7769230769230769
consistent,per_power,FRANCE,10,0.8163141025641025,0.8,0.0,0.2,0.0,8,0,2,0,0,11,1,0,0.0,1.1,0.1,0.0,407,551,0.7386569872958257
consistent,per_power,GERMANY,10,0.2957942901909747,0.2,0.1,0.3,0.4,2,1,3,4,0,6,0,0,0.0,0.6,0.0,0.0,333,566,0.588339222614841
consistent,per_power,ITALY,10,0.21767250767250768,0.2,0.0,0.3,0.5,2,0,3,5,1,6,0,0,0.1,0.6,0.0,0.0,314,454,0.6916299559471366
consistent,per_power,RUSSIA,10,0.2202349536677662,0.1,0.2,0.4,0.3,1,2,4,3,0,8,1,0,0.0,0.8,0.1,0.0,418,719,0.5813630041724618
consistent,per_power,TURKEY,10,0.2903597259873856,0.2,0.1,0.3,0.4,2,1,3,4,0,8,0,0,0.0,0.8,0.0,0.0,313,519,0.603082851637765
opponent,per_power,AUSTRIA,60,0.021219510866189714,0.016666666666666666,0.0,0.1,0.8833333333333333,1,0,6,53,21,109,19,10,0.35,1.8166666666666667,0.31666666666666665,0.16666666666666666,809,1534,0.5273794002607562
opponent,per_power,ENGLAND,60,0.015314715123639874,0.0,0.016666666666666666,0.18333333333333332,0.8,0,1,11,48,21,93,20,6,0.35,1.55,0.3333333333333333,0.1,671,1089,0.6161616161616161
opponent,per_power,FRANCE,60,0.3186645066925271,0.2,0.11666666666666667,0.3333333333333333,0.35,12,7,20,21,70,195,48,4,1.1666666666666667,3.25,0.8,0.06666666666666667,2146,3463,0.6196939070170373
opponent,per_power,GERMANY,60,0.10930925406755493,0.016666666666666666,0.13333333333333333,0.18333333333333332,0.6666666666666666,1,8,11,40,62,200,30,8,1.0333333333333334,3.3333333333333335,0.5,0.13333333333333333,1755,3218,0.5453697949036669
opponent,per_power,ITALY,60,0.13547865570948178,0.05,0.06666666666666667,0.3333333333333333,0.55,3,4,20,33,63,141,30,2,1.05,2.35,0.5,0.03333333333333333,1843,2931,0.6287956328897987
opponent,per_power,RUSSIA,60,0.10652272840593234,0.03333333333333333,0.08333333333333333,0.23333333333333334,0.65,2,5,14,39,45,126,19,10,0.75,2.1,0.31666666666666665,0.16666666666666666,1591,3329,0.4779212976869931
opponent,per_power,TURKEY,60,0.12930850968744803,0.05,0.05,0.26666666666666666,0.6333333333333333,3,3,16,38,32,134,17,11,0.5333333333333333,2.2333333333333334,0.2833333333333333,0.18333333333333332,1654,2734,0.6049743964886612
consistent,overall,OVERALL,70,0.2835846738119082,0.22857142857142856,0.05714285714285714,0.2857142857142857,0.42857142857142855,16,4,20,30,1,44,2,0,0.014285714285714285,0.6285714285714286,0.02857142857142857,0.0,2133,3350,0.6367164179104478
opponent,overall,OVERALL,420,0.11940255436468195,0.05238095238095238,0.06666666666666667,0.23333333333333334,0.6476190476190476,22,28,98,272,314,998,183,51,0.7476190476190476,2.376190476190476,0.4357142857142857,0.12142857142857143,10469,18298,0.5721390315881517
