agent_name,singleton_power,count
consistent,AUSTRIA,3
consistent,ENGLAND,1
consistent,FRANCE,0
consistent,GERMANY,1
consistent,ITALY,4
consistent,RUSSIA,1
consistent,TURKEY,0
cicero_nopress,AUSTRIA,3
cicero_nopress,ENGLAND,1
cicero_nopress,FRANCE,0
cicero_nopress,GERMANY,1
cicero_nopress,ITALY,4
cicero_nopress,RUSSIA,1
cicero_nopress,TURKEY,0
dipnet,AUSTRIA,3
dipnet,ENGLAND,1
dipnet,FRANCE,0
dipnet,GERMANY,1
dipnet,ITALY,4
dipnet,RUSSIA,1
dipnet,TURKEY,0
searchbot,AUSTRIA,3
searchbot,ENGLAND,1
searchbot,FRANCE,0
searchbot,GERMANY,1
searchbot,ITALY,4
searchbot,RUSSIA,1
searchbot,TURKEY,0
