agent_name,power,count,expected_count_if_complete,delta_from_expected
consistent,AUSTRIA,10,10,0
consistent,ENGLAND,10,10,0
consistent,FRANCE,10,10,0
consistent,GERMANY,10,10,0
consistent,ITALY,10,10,0
consistent,RUSSIA,10,10,0
consistent,TURKEY,10,10,0
cicero_nopress,AUSTRIA,10,10,0
cicero_nopress,ENGLAND,10,10,0
cicero_nopress,FRANCE,10,10,0
cicero_nopress,GERMANY,10,10,0
cicero_nopress,ITALY,10,10,0
cicero_nopress,RUSSIA,10,10,0
cicero_nopress,TURKEY,10,10,0
dipnet,AUSTRIA,10,10,0
dipnet,ENGLAND,10,10,0
dipnet,FRANCE,10,10,0
dipnet,GERMANY,10,10,0
dipnet,ITALY,10,10,0
dipnet,RUSSIA,10,10,0
dipnet,TURKEY,10,10,0
searchbot,AUSTRIA,10,10,0
searchbot,ENGLAND,10,10,0
searchbot,FRANCE,10,10,0
searchbot,GERMANY,10,10,0
searchbot,ITALY,10,10,0
searchbot,RUSSIA,10,10,0
searchbot,TURKEY,10,10,0
