side,agent_name,scope,power,n_samples,mean_sos,mean_sos_bootstrap_se,win_rate,most_sc_rate,survived_rate,defeated_rate,win_count,most_sc_count,survived_count,defeated_count,c1_total,c2_total,c3_total,c4_total,conflict_total,c1_avg_per_sample,c2_avg_per_sample,c3_avg_per_sample,c4_avg_per_sample,conflict_avg_per_sample,phase_total,conflict_per_phase,conflict_per_phase_bootstrap_se,support_success_total,support_total_total,support_success_ratio,n_bootstrap_units,n_bootstrap_replications
mixed,consistent,overall,OVERALL,70,0.343275,0.032175,0.257143,0.085714,0.242857,0.414286,18,6,17,29,42,104,0,0,146,0.600000,1.485714,0.000000,0.000000,2.085714,3600,0.040556,0.004613,2427,3905,0.621511,10,10000
mixed,consistent,per_power,AUSTRIA,10,0.083235,0.051717,0.000000,0.100000,0.200000,0.700000,0,1,2,7,5,22,0,0,27,0.500000,2.200000,0.000000,0.000000,2.700000,525,0.051429,0.017489,272,548,0.496350,10,10000
mixed,consistent,per_power,ENGLAND,10,0.214911,0.104443,0.100000,0.100000,0.200000,0.600000,1,1,2,6,6,12,0,0,18,0.600000,1.200000,0.000000,0.000000,1.800000,523,0.034417,0.013205,337,474,0.710970,10,10000
mixed,consistent,per_power,FRANCE,10,0.607020,0.137958,0.500000,0.100000,0.200000,0.200000,5,1,2,2,8,17,0,0,25,0.800000,1.700000,0.000000,0.000000,2.500000,506,0.049407,0.018567,375,619,0.605816,10,10000
mixed,consistent,per_power,GERMANY,10,0.500000,0.157697,0.500000,0.000000,0.000000,0.500000,5,0,0,5,7,11,0,0,18,0.700000,1.100000,0.000000,0.000000,1.800000,490,0.036735,0.009756,412,587,0.701874,10,10000
mixed,consistent,per_power,ITALY,10,0.526127,0.132792,0.400000,0.200000,0.300000,0.100000,4,2,3,1,8,17,0,0,25,0.800000,1.700000,0.000000,0.000000,2.500000,518,0.048263,0.011030,437,610,0.716393,10,10000
mixed,consistent,per_power,RUSSIA,10,0.124771,0.093576,0.100000,0.000000,0.300000,0.600000,1,0,3,6,3,11,0,0,14,0.300000,1.100000,0.000000,0.000000,1.400000,519,0.026975,0.009212,239,444,0.538288,10,10000
mixed,consistent,per_power,TURKEY,10,0.346859,0.116425,0.200000,0.100000,0.500000,0.200000,2,1,5,2,5,14,0,0,19,0.500000,1.400000,0.000000,0.000000,1.900000,519,0.036609,0.006787,355,623,0.569823,10,10000
mixed,cicero_nopress,overall,OVERALL,70,0.115408,0.029374,0.071429,0.057143,0.214286,0.657143,5,4,15,46,22,96,13,3,134,0.314286,1.371429,0.185714,0.042857,1.914286,3654,0.036672,0.005218,1719,3023,0.568640,10,10000
mixed,cicero_nopress,per_power,AUSTRIA,10,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0,0,10,0,8,0,0,8,0.000000,0.800000,0.000000,0.000000,0.800000,506,0.015810,0.007024,101,184,0.548913,10,10000
mixed,cicero_nopress,per_power,ENGLAND,10,0.135403,0.096779,0.100000,0.100000,0.100000,0.700000,1,1,1,7,1,9,1,0,11,0.100000,0.900000,0.100000,0.000000,1.100000,519,0.021195,0.008734,221,319,0.692790,10,10000
mixed,cicero_nopress,per_power,FRANCE,10,0.230606,0.110700,0.100000,0.200000,0.100000,0.600000,1,2,1,6,8,16,6,0,30,0.800000,1.600000,0.600000,0.000000,3.000000,503,0.059642,0.012140,385,680,0.566176,10,10000
mixed,cicero_nopress,per_power,GERMANY,10,0.027909,0.020295,0.000000,0.000000,0.600000,0.400000,0,0,6,4,2,18,1,1,22,0.200000,1.800000,0.100000,0.100000,2.200000,589,0.037351,0.013158,251,529,0.474480,10,10000
mixed,cicero_nopress,per_power,ITALY,10,0.220276,0.124115,0.200000,0.000000,0.300000,0.500000,2,0,3,5,5,18,0,0,23,0.500000,1.800000,0.000000,0.000000,2.300000,508,0.045276,0.016892,325,553,0.587703,10,10000
mixed,cicero_nopress,per_power,RUSSIA,10,0.093659,0.053315,0.000000,0.100000,0.400000,0.500000,0,1,4,5,5,18,4,2,29,0.500000,1.800000,0.400000,0.200000,2.900000,551,0.052632,0.018573,233,421,0.553444,10,10000
mixed,cicero_nopress,per_power,TURKEY,10,0.100000,0.094681,0.100000,0.000000,0.000000,0.900000,1,0,0,9,1,9,1,0,11,0.100000,0.900000,0.100000,0.000000,1.100000,478,0.023013,0.010296,203,337,0.602374,10,10000
mixed,dipnet,overall,OVERALL,70,0.017000,0.006788,0.000000,0.014286,0.171429,0.814286,0,1,12,57,21,96,41,11,169,0.300000,1.371429,0.585714,0.157143,2.414286,3575,0.047273,0.005679,1221,2238,0.545576,10,10000
mixed,dipnet,per_power,AUSTRIA,10,0.009730,0.009212,0.000000,0.000000,0.100000,0.900000,0,0,1,9,3,10,0,0,13,0.300000,1.000000,0.000000,0.000000,1.300000,546,0.023810,0.006460,123,300,0.410000,10,10000
mixed,dipnet,per_power,ENGLAND,10,0.047682,0.045878,0.000000,0.100000,0.000000,0.900000,0,1,0,9,1,15,3,5,24,0.100000,1.500000,0.300000,0.500000,2.400000,529,0.045369,0.017776,156,216,0.722222,10,10000
mixed,dipnet,per_power,FRANCE,10,0.034349,0.019695,0.000000,0.000000,0.600000,0.400000,0,0,6,4,5,13,12,2,32,0.500000,1.300000,1.200000,0.200000,3.200000,531,0.060264,0.013191,291,484,0.601240,10,10000
mixed,dipnet,per_power,GERMANY,10,0.016477,0.012399,0.000000,0.000000,0.200000,0.800000,0,0,2,8,4,27,15,1,47,0.400000,2.700000,1.500000,0.100000,4.700000,495,0.094949,0.020340,198,421,0.470309,10,10000
mixed,dipnet,per_power,ITALY,10,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0,0,10,5,8,6,2,21,0.500000,0.800000,0.600000,0.200000,2.100000,499,0.042084,0.016552,141,219,0.643836,10,10000
mixed,dipnet,per_power,RUSSIA,10,0.001081,0.001024,0.000000,0.000000,0.100000,0.900000,0,0,1,9,1,12,5,1,19,0.100000,1.200000,0.500000,0.100000,1.900000,478,0.039749,0.016294,122,224,0.544643,10,10000
mixed,dipnet,per_power,TURKEY,10,0.009683,0.006670,0.000000,0.000000,0.200000,0.800000,0,0,2,8,2,11,0,0,13,0.200000,1.100000,0.000000,0.000000,1.300000,497,0.026157,0.007995,190,374,0.508021,10,10000
mixed,searchbot,overall,OVERALL,70,0.095746,0.016474,0.000000,0.100000,0.185714,0.714286,0,7,13,50,50,134,36,6,226,0.714286,1.914286,0.514286,0.085714,3.228571,3647,0.061969,0.005088,2239,3814,0.587048,10,10000
mixed,searchbot,per_power,AUSTRIA,10,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0,0,10,2,21,6,1,30,0.200000,2.100000,0.600000,0.100000,3.000000,491,0.061100,0.011691,207,340,0.608824,10,10000
mixed,searchbot,per_power,ENGLAND,10,0.110951,0.071505,0.000000,0.100000,0.100000,0.800000,0,1,1,8,0,11,2,1,14,0.000000,1.100000,0.200000,0.100000,1.400000,497,0.028169,0.012064,233,386,0.603627,10,10000
mixed,searchbot,per_power,FRANCE,10,0.154637,0.078389,0.000000,0.100000,0.300000,0.600000,0,1,3,6,7,19,10,1,37,0.700000,1.900000,1.000000,0.100000,3.700000,528,0.070076,0.014180,437,719,0.607789,10,10000
mixed,searchbot,per_power,GERMANY,10,0.074412,0.070345,0.000000,0.100000,0.100000,0.800000,0,1,1,8,9,25,11,2,47,0.900000,2.500000,1.100000,0.200000,4.700000,494,0.095142,0.022827,304,562,0.540925,10,10000
mixed,searchbot,per_power,ITALY,10,0.106908,0.065528,0.000000,0.100000,0.300000,0.600000,0,1,3,6,23,27,2,0,52,2.300000,2.700000,0.200000,0.000000,5.200000,543,0.095764,0.027194,363,581,0.624785,10,10000
