game_id,seed,block_seed,shift,setup,my_power,my_agent,opp_agent,ablation,end_reason,final_phase,num_phases,agent_AUSTRIA,agent_ENGLAND,agent_FRANCE,agent_GERMANY,agent_ITALY,agent_RUSSIA,agent_TURKEY,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_multi_block0_shift3_seed3_v1_no_c34,3,0,3,multi,AUSTRIA,consistent,dipnet,no_c34,solo_18sc_FRANCE,F1910M,36,searchbot,consistent,consistent,searchbot,dipnet,cicero_nopress,dipnet,0,4,19,3,0,5,3,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,4,0,1,0,0,0,0,0,1,5,0,1,4,0,0,0,0,1,0,0,1,0,0,1,3,0,1,7,20,14,28,40,79,13,55,4,7,33,51,22,35
run_multi_block0_shift0_seed0_v1_no_c34,0,0,0,multi,AUSTRIA,consistent,dipnet,no_c34,solo_18sc_ITALY,F1911R,49,dipnet,cicero_nopress,cicero_nopress,dipnet,consistent,searchbot,consistent,0,5,5,0,20,4,0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,7,31,27,33,28,40,19,24,47,59,32,48,12,23
run_multi_block0_shift2_seed2_v1_no_c34,2,0,2,multi,AUSTRIA,consistent,dipnet,no_c34,solo_18sc_RUSSIA,F1912R,52,cicero_nopress,dipnet,dipnet,cicero_nopress,searchbot,consistent,searchbot,0,0,10,0,4,18,2,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0,0,0,0,3,2,1,0,2,1,0,0,0,2,0,0,3,2,0,0,0,2,0,0,0,1,0,0,6,10,29,47,38,99,12,30,28,43,43,98,30,47
run_multi_block0_shift1_seed1_v1_no_c34,1,0,1,multi,AUSTRIA,consistent,dipnet,no_c34,max_phases,F1913R,60,consistent,searchbot,searchbot,consistent,cicero_nopress,dipnet,cicero_nopress,0,0,10,5,14,2,3,0.000000,0.000000,0.299401,0.074850,0.586826,0.011976,0.026946,0,0,0,0,0,2,0,0,1,2,0,0,1,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,18,36,9,19,62,101,44,86,45,55,31,53,29,48
run_multi_block1_shift2_seed1002_v1_no_c34,1002,1,2,multi,AUSTRIA,consistent,dipnet,no_c34,solo_18sc_ITALY,F1909R,39,cicero_nopress,searchbot,searchbot,dipnet,consistent,dipnet,cicero_nopress,0,3,10,2,18,1,0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,0,0,0,0,5,0,0,0,3,1,0,0,6,2,0,0,1,0,0,0,2,0,0,0,0,0,0,10,11,16,42,15,41,14,44,45,50,13,35,8,22
run_multi_block1_shift0_seed1000_v1_no_c34,1000,1,0,multi,AUSTRIA,consistent,dipnet,no_c34,stop_after_W1913A,W1913A,54,consistent,dipnet,dipnet,searchbot,cicero_nopress,searchbot,consistent,12,0,6,9,5,0,2,0.496552,0.000000,0.124138,0.279310,0.086207,0.000000,0.013793,0,0,0,0,0,2,0,0,3,3,1,0,0,3,0,0,1,5,0,0,0,0,0,0,0,0,0,0,40,57,5,15,44,89,50,70,34,58,5,7,23,53
run_multi_block1_shift1_seed1001_v1_no_c34,1001,1,1,multi,AUSTRIA,consistent,dipnet,no_c34,stop_after_W1913A,W1913A,58,dipnet,cicero_nopress,cicero_nopress,consistent,searchbot,consistent,dipnet,0,1,6,5,11,8,3,0.000000,0.003906,0.140625,0.097656,0.472656,0.250000,0.035156,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,1,0,0,9,17,18,21,28,33,46,54,49,95,33,92,41,49
run_multi_block1_shift3_seed1003_v1_no_c34,1003,1,3,multi,AUSTRIA,consistent,dipnet,no_c34,stop_after_W1913A,W1913A,58,searchbot,consistent,consistent,cicero_nopress,dipnet,cicero_nopress,searchbot,0,13,10,0,0,0,11,0.000000,0.433333,0.256410,0.000000,0.000000,0.000000,0.310256,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,7,17,45,85,60,101,12,56,5,8,14,43,67,98
run_multi_block2_shift1_seed2001_v1_no_c34,2001,2,1,multi,AUSTRIA,consistent,dipnet,no_c34,solo_18sc_FRANCE,F1910M,43,searchbot,searchbot,consistent,consistent,cicero_nopress,dipnet,dipnet,2,0,18,0,10,4,0,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1,4,1,0,0,2,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,21,58,5,11,38,52,14,40,29,43,33,46,5,10
run_multi_block2_shift0_seed2000_v1_no_c34,2000,2,0,multi,AUSTRIA,consistent,dipnet,no_c34,stop_after_W1913A,W1913A,59,dipnet,dipnet,searchbot,searchbot,consistent,cicero_nopress,cicero_nopress,0,0,6,10,2,0,16,0.000000,0.000000,0.090909,0.252525,0.010101,0.000000,0.646465,0,1,0,0,0,0,0,0,1,2,3,0,0,2,1,0,0,1,0,0,0,0,0,0,2,2,0,0,10,15,9,9,48,72,53,84,43,61,10,12,46,69
run_multi_block2_shift3_seed2003_v1_no_c34,2003,2,3,multi,AUSTRIA,consistent,dipnet,no_c34,solo_18sc_RUSSIA,F1908R,34,cicero_nopress,cicero_nopress,dipnet,dipnet,searchbot,consistent,consistent,1,3,6,3,3,18,0,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,9,15,8,19,14,33,8,38,17,28,42,60,7,12
