side,agent_name,scope,power,n_samples,mean_sos,win_rate,most_sc_rate,survived_rate,defeated_rate,win_count,most_sc_count,survived_count,defeated_count,c1_total,c2_total,c3_total,c4_total,c1_avg_per_sample,c2_avg_per_sample,c3_avg_per_sample,c4_avg_per_sample,support_success_total,support_total_total,support_success_ratio
mixed,consistent,overall,OVERALL,35,0.244014,0.171429,0.114286,0.200000,0.514286,6,4,7,18,3,15,0,0,0.085714,0.428571,0.000000,0.000000,1155,1712,0.674650
mixed,consistent,per_power,AUSTRIA,5,0.135153,0.000000,0.200000,0.200000,0.600000,0,1,1,3,1,3,0,0,0.200000,0.600000,0.000000,0.000000,138,268,0.514925
mixed,consistent,per_power,ENGLAND,5,0.256808,0.200000,0.000000,0.200000,0.600000,1,0,1,3,0,1,0,0,0.000000,0.200000,0.000000,0.000000,192,266,0.721805
mixed,consistent,per_power,FRANCE,5,0.600000,0.600000,0.000000,0.000000,0.400000,3,0,0,2,2,1,0,0,0.400000,0.200000,0.000000,0.000000,223,308,0.724026
mixed,consistent,per_power,GERMANY,5,0.011654,0.000000,0.000000,0.400000,0.600000,0,0,2,3,0,1,0,0,0.000000,0.200000,0.000000,0.000000,121,169,0.715976
mixed,consistent,per_power,ITALY,5,0.294737,0.200000,0.200000,0.000000,0.600000,1,1,0,3,0,8,0,0,0.000000,1.600000,0.000000,0.000000,193,260,0.742308
mixed,consistent,per_power,RUSSIA,5,0.142810,0.000000,0.200000,0.400000,0.400000,0,1,2,2,0,0,0,0,0.000000,0.000000,0.000000,0.000000,143,235,0.608511
mixed,consistent,per_power,TURKEY,5,0.266939,0.200000,0.200000,0.200000,0.400000,1,1,1,2,0,1,0,0,0.000000,0.200000,0.000000,0.000000,145,206,0.703883
mixed,cicero_nopress,overall,OVERALL,35,0.203467,0.114286,0.085714,0.257143,0.542857,4,3,9,19,13,55,25,2,0.371429,1.571429,0.714286,0.057143,1004,1472,0.682065
mixed,cicero_nopress,per_power,AUSTRIA,5,0.055102,0.000000,0.000000,0.200000,0.800000,0,0,1,4,2,5,2,1,0.400000,1.000000,0.400000,0.200000,100,156,0.641026
mixed,cicero_nopress,per_power,ENGLAND,5,0.041176,0.000000,0.000000,0.200000,0.800000,0,0,1,4,0,8,8,0,0.000000,1.600000,1.600000,0.000000,77,124,0.620968
mixed,cicero_nopress,per_power,FRANCE,5,0.119571,0.000000,0.200000,0.200000,0.600000,0,1,1,3,3,8,3,0,0.600000,1.600000,0.600000,0.000000,207,317,0.652997
mixed,cicero_nopress,per_power,GERMANY,5,0.430252,0.400000,0.000000,0.200000,0.400000,2,0,1,2,1,4,5,0,0.200000,0.800000,1.000000,0.000000,129,185,0.697297
mixed,cicero_nopress,per_power,ITALY,5,0.266262,0.200000,0.000000,0.600000,0.200000,1,0,3,1,3,6,2,0,0.600000,1.200000,0.400000,0.000000,148,177,0.836158
mixed,cicero_nopress,per_power,RUSSIA,5,0.200000,0.200000,0.000000,0.000000,0.800000,1,0,0,4,2,17,2,0,0.400000,3.400000,0.400000,0.000000,145,228,0.635965
mixed,cicero_nopress,per_power,TURKEY,5,0.311902,0.000000,0.400000,0.400000,0.200000,0,2,2,1,2,7,3,1,0.400000,1.400000,0.600000,0.200000,198,285,0.694737
mixed,dipnet,overall,OVERALL,35,0.057716,0.000000,0.085714,0.142857,0.771429,0,3,5,27,26,87,22,2,0.742857,2.485714,0.628571,0.057143,786,1431,0.549266
mixed,dipnet,per_power,AUSTRIA,5,0.053782,0.000000,0.200000,0.000000,0.800000,0,1,0,4,0,6,4,0,0.000000,1.200000,0.800000,0.000000,100,213,0.469484
mixed,dipnet,per_power,ENGLAND,5,0.064865,0.000000,0.000000,0.200000,0.800000,0,0,1,4,12,21,3,0,2.400000,4.200000,0.600000,0.000000,103,169,0.609467
mixed,dipnet,per_power,FRANCE,5,0.276064,0.000000,0.400000,0.200000,0.400000,0,2,1,2,7,16,4,0,1.400000,3.200000,0.800000,0.000000,241,337,0.715134
mixed,dipnet,per_power,GERMANY,5,0.000658,0.000000,0.000000,0.200000,0.800000,0,0,1,4,4,20,3,1,0.800000,4.000000,0.600000,0.200000,92,191,0.481675
mixed,dipnet,per_power,ITALY,5,0.000000,0.000000,0.000000,0.000000,1.000000,0,0,0,5,1,10,3,0,0.200000,2.000000,0.600000,0.000000,81,114,0.710526
mixed,dipnet,per_power,RUSSIA,5,0.005921,0.000000,0.000000,0.200000,0.800000,0,0,1,4,0,6,4,1,0.000000,1.200000,0.800000,0.200000,96,214,0.448598
mixed,dipnet,per_power,TURKEY,5,0.002721,0.000000,0.000000,0.200000,0.800000,0,0,1,4,2,8,1,0,0.400000,1.600000,0.200000,0.000000,73,193,0.378238
mixed,searchbot,overall,OVERALL,35,0.066232,0.028571,0.028571,0.228571,0.714286,1,1,8,25,28,91,12,2,0.800000,2.600000,0.342857,0.057143,941,1569,0.599745
mixed,searchbot,per_power,AUSTRIA,5,0.000000,0.000000,0.000000,0.000000,1.000000,0,0,0,5,0,6,1,1,0.000000,1.200000,0.200000,0.200000,42,77,0.545455
mixed,searchbot,per_power,ENGLAND,5,0.140470,0.000000,0.200000,0.400000,0.400000,0,1,2,2,2,15,2,0,0.400000,3.000000,0.400000,0.000000,122,201,0.606965
mixed,searchbot,per_power,FRANCE,5,0.093353,0.000000,0.000000,0.600000,0.400000,0,0,3,2,6,22,5,0,1.200000,4.400000,1.000000,0.000000,167,257,0.649805
mixed,searchbot,per_power,GERMANY,5,0.200000,0.200000,0.000000,0.000000,0.800000,1,0,0,4,4,15,1,0,0.800000,3.000000,0.200000,0.000000,125,249,0.502008
mixed,searchbot,per_power,ITALY,5,0.021008,0.000000,0.000000,0.200000,0.800000,0,0,1,4,3,11,1,1,0.600000,2.200000,0.200000,0.200000,104,162,0.641975
mixed,searchbot,per_power,RUSSIA,5,0.004737,0.000000,0.000000,0.200000,0.800000,0,0,1,4,8,8,1,0,1.600000,1.600000,0.200000,0.000000,205,325,0.630769
mixed,searchbot,per_power,TURKEY,5,0.004054,0.000000,0.000000,0.200000,0.800000,0,0,1,4,5,14,1,0,1.000000,2.800000,0.200000,0.000000,176,298,0.590604
