agent_name,power,count,expected_count_if_complete,delta_from_expected
consistent,AUSTRIA,5,5,0
consistent,ENGLAND,5,5,0
consistent,FRANCE,5,5,0
consistent,GERMANY,5,5,0
consistent,ITALY,5,5,0
consistent,RUSSIA,5,5,0
consistent,TURKEY,5,5,0
cicero_nopress,AUSTRIA,5,5,0
cicero_nopress,ENGLAND,5,5,0
cicero_nopress,FRANCE,5,5,0
cicero_nopress,GERMANY,5,5,0
cicero_nopress,ITALY,5,5,0
cicero_nopress,RUSSIA,5,5,0
cicero_nopress,TURKEY,5,5,0
dipnet,AUSTRIA,5,5,0
dipnet,ENGLAND,5,5,0
dipnet,FRANCE,5,5,0
dipnet,GERMANY,5,5,0
dipnet,ITALY,5,5,0
dipnet,RUSSIA,5,5,0
dipnet,TURKEY,5,5,0
searchbot,AUSTRIA,5,5,0
searchbot,ENGLAND,5,5,0
searchbot,FRANCE,5,5,0
searchbot,GERMANY,5,5,0
searchbot,ITALY,5,5,0
searchbot,RUSSIA,5,5,0
searchbot,TURKEY,5,5,0
