game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myGERMANY_mysearchbot_oppconsistent_seed1_v1,1,1v6,GERMANY,searchbot,consistent,solo_18sc_FRANCE,F1912M,53,6,0,18,0,2,8,0,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,0,0,0,0,0,0,2,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,81,8,14,73,105,10,21,14,45,45,72,4,4
run_1v6_myGERMANY_mysearchbot_oppconsistent_seed0_v1,0,1v6,GERMANY,searchbot,consistent,max_phases,F1913M,60,11,8,10,0,0,3,2,0.406040,0.214765,0.335570,0.000000,0.000000,0.030201,0.013423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,86,32,37,51,61,16,27,17,17,20,32,11,36
run_1v6_myGERMANY_mysearchbot_oppconsistent_seed2_v1,2,1v6,GERMANY,searchbot,consistent,solo_18sc_TURKEY,F1913M,58,0,1,3,12,0,0,18,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,24,30,24,30,32,53,44,89,10,12,11,21,44,60
run_1v6_myGERMANY_mysearchbot_oppconsistent_seed4_v1,4,1v6,GERMANY,searchbot,consistent,solo_18sc_FRANCE,F1908R,34,7,0,18,0,4,0,5,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,0,0,0,0,0,0,2,0,0,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,24,51,11,11,34,44,12,15,19,23,5,9,9,16
run_1v6_myGERMANY_mysearchbot_oppconsistent_seed3_v1,3,1v6,GERMANY,searchbot,consistent,solo_18sc_ENGLAND,F1913R,60,4,18,0,0,3,2,7,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,41,56,69,79,3,7,36,50,11,23,29,48,24,52
run_1v6_myGERMANY_mysearchbot_oppconsistent_seed5_v1,5,1v6,GERMANY,searchbot,consistent,solo_18sc_FRANCE,F1912R,56,0,0,18,0,12,4,0,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,36,11,19,63,71,27,40,59,73,32,48,9,11
run_1v6_myGERMANY_mysearchbot_oppconsistent_seed6_v1,6,1v6,GERMANY,searchbot,consistent,stop_after_W1913A,W1913A,57,0,7,0,0,6,9,12,0.000000,0.158065,0.000000,0.000000,0.116129,0.261290,0.464516,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,26,19,28,1,2,17,25,31,59,49,71,35,47
run_1v6_myGERMANY_mysearchbot_oppconsistent_seed7_v1,7,1v6,GERMANY,searchbot,consistent,solo_18sc_FRANCE,F1909R,42,0,0,18,0,6,6,4,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,35,5,5,36,45,20,23,27,49,23,47,12,17
run_1v6_myGERMANY_mysearchbot_oppconsistent_seed8_v1,8,1v6,GERMANY,searchbot,consistent,stop_after_W1913A,W1913A,59,2,0,13,0,16,0,3,0.009132,0.000000,0.385845,0.000000,0.584475,0.000000,0.020548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,53,28,33,68,87,8,10,58,76,2,2,13,16
run_1v6_myGERMANY_mysearchbot_oppconsistent_seed9_v1,9,1v6,GERMANY,searchbot,consistent,solo_18sc_FRANCE,F1911M,49,0,0,18,0,3,0,13,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,15,12,19,60,77,10,20,22,30,10,14,48,65
