game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myTURKEY_mysearchbot_oppconsistent_seed0_v1,0,1v6,TURKEY,searchbot,consistent,max_phases,F1913R,60,0,0,11,5,2,12,4,0.000000,0.000000,0.390323,0.080645,0.012903,0.464516,0.051613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,8,9,11,17,47,54,49,67,22,53,50,134,32,68
run_1v6_myTURKEY_mysearchbot_oppconsistent_seed1_v1,1,1v6,TURKEY,searchbot,consistent,solo_18sc_FRANCE,F1910R,45,13,1,19,0,1,0,0,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,47,63,17,27,38,60,21,30,22,22,8,22,5,6
run_1v6_myTURKEY_mysearchbot_oppconsistent_seed2_v1,2,1v6,TURKEY,searchbot,consistent,max_phases,S1917M,60,13,0,17,0,4,0,0,0.356540,0.000000,0.609705,0.000000,0.033755,0.000000,0.000000,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,1,0,0,102,173,7,8,101,184,17,27,25,48,15,29,4,12
run_1v6_myTURKEY_mysearchbot_oppconsistent_seed4_v1,4,1v6,TURKEY,searchbot,consistent,stop_after_W1913A,W1913A,58,16,13,5,0,0,0,0,0.568889,0.375556,0.055556,0.000000,0.000000,0.000000,0.000000,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,65,95,57,79,28,35,13,23,5,7,23,36,13,14
run_1v6_myTURKEY_mysearchbot_oppconsistent_seed3_v1,3,1v6,TURKEY,searchbot,consistent,stop_after_W1913A,W1913A,59,4,0,11,4,7,8,0,0.060150,0.000000,0.454887,0.060150,0.184211,0.240602,0.000000,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,51,74,12,17,39,65,46,61,38,43,43,83,3,8
run_1v6_myTURKEY_mysearchbot_oppconsistent_seed5_v1,5,1v6,TURKEY,searchbot,consistent,solo_18sc_FRANCE,F1913R,60,0,0,21,0,1,12,0,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,33,39,3,7,82,97,28,47,33,43,44,81,3,11
run_1v6_myTURKEY_mysearchbot_oppconsistent_seed6_v1,6,1v6,TURKEY,searchbot,consistent,max_phases,F1913R,60,0,0,16,3,12,0,3,0.000000,0.000000,0.612440,0.021531,0.344498,0.000000,0.021531,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,5,7,12,14,48,76,47,60,44,46,7,12,45,56
run_1v6_myTURKEY_mysearchbot_oppconsistent_seed7_v1,7,1v6,TURKEY,searchbot,consistent,max_phases,S1913R,60,1,5,11,0,0,17,0,0.002294,0.057339,0.277523,0.000000,0.000000,0.662844,0.000000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,2,32,37,24,32,58,67,10,24,16,29,68,82,3,5
run_1v6_myTURKEY_mysearchbot_oppconsistent_seed9_v1,9,1v6,TURKEY,searchbot,consistent,stop_after_W1913A,W1913A,60,3,0,13,5,12,1,0,0.025862,0.000000,0.485632,0.071839,0.413793,0.002874,0.000000,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,1,2,29,49,5,9,45,65,49,73,50,60,41,73,2,6
run_1v6_myTURKEY_mysearchbot_oppconsistent_seed8_v1,8,1v6,TURKEY,searchbot,consistent,solo_18sc_RUSSIA,F1913R,57,0,0,13,0,1,18,2,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,15,20,7,17,40,58,36,57,27,33,52,77,35,52
