side,agent_name,scope,power,n_samples,mean_sos,win_rate,most_sc_rate,survived_rate,defeated_rate,win_count,most_sc_count,survived_count,defeated_count,c1_total,c2_total,c3_total,c4_total,c1_avg_per_sample,c2_avg_per_sample,c3_avg_per_sample,c4_avg_per_sample,support_success_total,support_total_total,support_success_ratio
self,searchbot,per_power,AUSTRIA,10,0.000000,0.000000,0.000000,0.000000,1.000000,0,0,0,10,3,13,2,0,0.300000,1.300000,0.200000,0.000000,138,243,0.567901
self,searchbot,per_power,ENGLAND,10,0.029907,0.000000,0.100000,0.000000,0.900000,0,1,0,9,2,10,5,1,0.200000,1.000000,0.500000,0.100000,155,202,0.767327
self,searchbot,per_power,FRANCE,10,0.030932,0.000000,0.000000,0.200000,0.800000,0,0,2,8,4,16,12,4,0.400000,1.600000,1.200000,0.400000,168,255,0.658824
self,searchbot,per_power,GERMANY,10,0.000000,0.000000,0.000000,0.000000,1.000000,0,0,0,10,5,13,6,1,0.500000,1.300000,0.600000,0.100000,200,320,0.625000
self,searchbot,per_power,ITALY,10,0.032220,0.000000,0.000000,0.200000,0.800000,0,0,2,8,4,12,4,0,0.400000,1.200000,0.400000,0.000000,214,304,0.703947
self,searchbot,per_power,RUSSIA,10,0.000000,0.000000,0.000000,0.000000,1.000000,0,0,0,10,5,10,5,3,0.500000,1.000000,0.500000,0.300000,163,293,0.556314
self,searchbot,per_power,TURKEY,10,0.007314,0.000000,0.000000,0.200000,0.800000,0,0,2,8,3,18,2,5,0.300000,1.800000,0.200000,0.500000,145,238,0.609244
opponent,consistent,per_power,AUSTRIA,60,0.139079,0.050000,0.116667,0.166667,0.666667,3,7,10,40,10,20,2,0,0.166667,0.333333,0.033333,0.000000,1877,2844,0.659986
opponent,consistent,per_power,ENGLAND,60,0.095522,0.033333,0.050000,0.233333,0.683333,2,3,14,41,1,3,0,0,0.016667,0.050000,0.000000,0.000000,1266,1817,0.696753
opponent,consistent,per_power,FRANCE,60,0.373049,0.250000,0.100000,0.283333,0.366667,15,6,17,22,5,20,0,0,0.083333,0.333333,0.000000,0.000000,2595,3583,0.724253
opponent,consistent,per_power,GERMANY,60,0.095391,0.033333,0.033333,0.333333,0.600000,2,2,20,36,1,15,1,0,0.016667,0.250000,0.016667,0.000000,2094,3232,0.647896
opponent,consistent,per_power,ITALY,60,0.169848,0.033333,0.150000,0.266667,0.550000,2,9,16,33,2,17,2,0,0.033333,0.283333,0.033333,0.000000,2073,3025,0.685289
opponent,consistent,per_power,RUSSIA,60,0.125740,0.050000,0.100000,0.266667,0.583333,3,6,16,35,0,9,0,0,0.000000,0.150000,0.000000,0.000000,1856,3056,0.607330
opponent,consistent,per_power,TURKEY,60,0.151310,0.100000,0.066667,0.150000,0.683333,6,4,9,41,0,6,0,0,0.000000,0.100000,0.000000,0.000000,1270,1990,0.638191
self,searchbot,overall,OVERALL,70,0.014339,0.000000,0.014286,0.085714,0.900000,0,1,6,63,26,92,36,14,0.371429,1.314286,0.514286,0.200000,1183,1855,0.637736
opponent,consistent,overall,OVERALL,420,0.164277,0.078571,0.088095,0.242857,0.590476,33,37,102,248,19,90,5,0,0.045238,0.214286,0.011905,0.000000,13031,19547,0.666650
