game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myAUSTRIA_mysearchbot_oppconsistent_seed1_v2,1,1v6,AUSTRIA,searchbot,consistent,max_phases,F1913M,60,0,0,16,0,0,7,11,0.000000,0.000000,0.600939,0.000000,0.000000,0.115023,0.284038,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,10,13,89,101,27,38,23,38,40,87,54,63
run_1v6_myAUSTRIA_mysearchbot_oppconsistent_seed0_v2,0,1v6,AUSTRIA,searchbot,consistent,max_phases,F1913R,60,0,9,8,0,1,0,16,0.000000,0.201493,0.159204,0.000000,0.002488,0.000000,0.636816,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,23,37,89,41,80,26,47,13,24,17,25,79,95
run_1v6_myAUSTRIA_mysearchbot_oppconsistent_seed2_v2,2,1v6,AUSTRIA,searchbot,consistent,stop_after_W1913A,W1913A,57,0,16,0,0,5,13,0,0.000000,0.568889,0.000000,0.000000,0.055556,0.375556,0.000000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,65,106,7,7,19,34,27,82,55,147,12,13
run_1v6_myAUSTRIA_mysearchbot_oppconsistent_seed3_v2,3,1v6,AUSTRIA,searchbot,consistent,stop_after_W1913A,W1913A,60,0,0,5,10,1,5,13,0.000000,0.000000,0.078125,0.312500,0.003125,0.078125,0.528125,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,1,5,46,61,63,93,32,68,32,73,58,72
run_1v6_myAUSTRIA_mysearchbot_oppconsistent_seed5_v2,5,1v6,AUSTRIA,searchbot,consistent,solo_18sc_FRANCE,F1910R,44,0,2,19,0,0,5,8,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,4,29,41,38,87,10,43,10,15,17,40,31,42
run_1v6_myAUSTRIA_mysearchbot_oppconsistent_seed4_v2,4,1v6,AUSTRIA,searchbot,consistent,stop_after_W1913A,W1913A,59,0,5,11,1,8,6,3,0.000000,0.097656,0.472656,0.003906,0.250000,0.140625,0.035156,0,3,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,26,25,39,30,64,27,48,46,54,33,50,38,63
run_1v6_myAUSTRIA_mysearchbot_oppconsistent_seed6_v2,6,1v6,AUSTRIA,searchbot,consistent,solo_18sc_TURKEY,F1912R,55,0,4,2,5,2,2,19,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,28,26,35,23,31,29,31,21,27,25,47,70,88
run_1v6_myAUSTRIA_mysearchbot_oppconsistent_seed7_v2,7,1v6,AUSTRIA,searchbot,consistent,stop_after_W1913A,W1913A,60,4,5,13,0,5,0,7,0.056338,0.088028,0.595070,0.000000,0.088028,0.000000,0.172535,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,85,24,52,48,72,19,35,23,29,15,33,26,39
run_1v6_myAUSTRIA_mysearchbot_oppconsistent_seed8_v2,8,1v6,AUSTRIA,searchbot,consistent,stop_after_W1913A,W1913A,50,0,5,0,6,7,16,0,0.000000,0.068306,0.000000,0.098361,0.133880,0.699454,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,38,63,5,12,26,135,45,48,55,133,11,16
run_1v6_myAUSTRIA_mysearchbot_oppconsistent_seed9_v2,9,1v6,AUSTRIA,searchbot,consistent,stop_after_W1913A,W1913A,57,0,15,1,1,6,3,8,0.000000,0.669643,0.002976,0.002976,0.107143,0.026786,0.190476,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,33,45,65,30,41,27,53,28,46,31,59,31,53
