game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myENGLAND_mysearchbot_oppconsistent_seed0_v2,0,1v6,ENGLAND,searchbot,consistent,stop_after_W1913A,W1913A,58,0,2,8,0,11,10,3,0.000000,0.013423,0.214765,0.000000,0.406040,0.335570,0.030201,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,41,68,41,62,13,27,43,84,25,65,20,35
run_1v6_myENGLAND_mysearchbot_oppconsistent_seed1_v2,1,1v6,ENGLAND,searchbot,consistent,stop_after_W1913A,W1913A,60,0,0,3,0,5,15,11,0.000000,0.000000,0.023684,0.000000,0.065789,0.592105,0.318421,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,15,25,38,23,28,12,28,36,43,57,101,48,89
run_1v6_myENGLAND_mysearchbot_oppconsistent_seed2_v2,2,1v6,ENGLAND,searchbot,consistent,solo_18sc_TURKEY,F1913R,56,0,0,0,8,6,2,18,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,5,15,25,10,13,58,77,46,71,23,89,55,75
run_1v6_myENGLAND_mysearchbot_oppconsistent_seed3_v2,3,1v6,ENGLAND,searchbot,consistent,max_phases,F1913R,60,0,0,17,0,0,9,8,0.000000,0.000000,0.665899,0.000000,0.000000,0.186636,0.147465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,15,18,74,114,23,26,24,32,57,121,50,71
run_1v6_myENGLAND_mysearchbot_oppconsistent_seed4_v2,4,1v6,ENGLAND,searchbot,consistent,max_phases,F1913R,60,0,6,2,9,7,10,0,0.000000,0.133333,0.014815,0.300000,0.181481,0.370370,0.000000,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,43,57,12,30,52,82,35,42,42,75,19,23
run_1v6_myENGLAND_mysearchbot_oppconsistent_seed5_v2,5,1v6,ENGLAND,searchbot,consistent,stop_after_W1913A,W1913A,56,12,1,6,8,7,0,0,0.489796,0.003401,0.122449,0.217687,0.166667,0.000000,0.000000,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,102,27,44,26,79,37,79,50,74,18,27,8,19
run_1v6_myENGLAND_mysearchbot_oppconsistent_seed6_v2,6,1v6,ENGLAND,searchbot,consistent,stop_after_W1913A,W1913A,60,10,0,10,0,6,5,3,0.370370,0.000000,0.370370,0.000000,0.133333,0.092593,0.033333,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,27,62,8,10,59,76,18,36,39,63,40,90,34,46
run_1v6_myENGLAND_mysearchbot_oppconsistent_seed7_v2,7,1v6,ENGLAND,searchbot,consistent,max_phases,F1913M,60,0,0,16,0,2,8,8,0.000000,0.000000,0.659794,0.000000,0.010309,0.164948,0.164948,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,43,9,10,53,67,25,50,24,32,29,60,35,66
run_1v6_myENGLAND_mysearchbot_oppconsistent_seed8_v2,8,1v6,ENGLAND,searchbot,consistent,solo_18sc_FRANCE,F1912R,56,0,1,19,0,6,8,0,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,9,15,19,46,67,24,29,36,44,37,55,29,49
run_1v6_myENGLAND_mysearchbot_oppconsistent_seed9_v2,9,1v6,ENGLAND,searchbot,consistent,stop_after_W1913A,W1913A,57,0,0,8,4,13,9,0,0.000000,0.000000,0.193939,0.048485,0.512121,0.245455,0.000000,0,1,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,57,20,26,29,81,26,77,43,66,47,95,4,4
