game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myITALY_mysearchbot_oppconsistent_seed0_v2,0,1v6,ITALY,searchbot,consistent,max_phases,F1913M,60,0,3,7,8,0,13,3,0.000000,0.030000,0.163333,0.213333,0.000000,0.563333,0.030000,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,18,23,22,42,41,60,15,24,44,82,27,46
run_1v6_myITALY_mysearchbot_oppconsistent_seed1_v2,1,1v6,ITALY,searchbot,consistent,max_phases,F1914R,60,0,0,9,8,0,7,10,0.000000,0.000000,0.275510,0.217687,0.000000,0.166667,0.340136,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,24,53,9,12,51,116,60,93,33,66,30,58,35,50
run_1v6_myITALY_mysearchbot_oppconsistent_seed2_v2,2,1v6,ITALY,searchbot,consistent,max_phases,F1913R,60,0,0,10,7,0,3,14,0.000000,0.000000,0.282486,0.138418,0.000000,0.025424,0.553672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,14,25,40,51,49,79,23,26,47,102,36,90
run_1v6_myITALY_mysearchbot_oppconsistent_seed3_v2,3,1v6,ITALY,searchbot,consistent,stop_after_W1913A,W1913A,60,0,7,0,8,2,6,11,0.000000,0.178832,0.000000,0.233577,0.014599,0.131387,0.441606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,1,0,0,4,4,50,60,26,37,44,51,25,50,29,86,55,70
run_1v6_myITALY_mysearchbot_oppconsistent_seed4_v2,4,1v6,ITALY,searchbot,consistent,stop_after_W1913A,W1913A,59,0,10,10,0,0,14,0,0.000000,0.252525,0.252525,0.000000,0.000000,0.494949,0.000000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,2,0,0,0,0,0,0,4,4,50,79,39,48,18,53,20,66,60,112,18,30
run_1v6_myITALY_mysearchbot_oppconsistent_seed5_v2,5,1v6,ITALY,searchbot,consistent,stop_after_W1913A,W1913A,55,0,0,7,10,0,6,11,0.000000,0.000000,0.160131,0.326797,0.000000,0.117647,0.395425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,1,0,0,4,6,31,38,37,79,45,85,21,33,31,32,76,94
run_1v6_myITALY_mysearchbot_oppconsistent_seed6_v2,6,1v6,ITALY,searchbot,consistent,max_phases,F1913M,60,0,0,5,6,7,12,4,0.000000,0.000000,0.092593,0.133333,0.181481,0.533333,0.059259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,9,9,10,15,41,56,37,46,45,73,48,67,54,88
run_1v6_myITALY_mysearchbot_oppconsistent_seed7_v2,7,1v6,ITALY,searchbot,consistent,max_phases,F1914R,60,0,2,11,5,0,0,16,0.000000,0.009852,0.298030,0.061576,0.000000,0.000000,0.630542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,20,31,33,68,84,55,65,5,5,17,29,103,146
run_1v6_myITALY_mysearchbot_oppconsistent_seed8_v2,8,1v6,ITALY,searchbot,consistent,max_phases,F1913R,60,0,0,10,8,0,0,16,0.000000,0.000000,0.238095,0.152381,0.000000,0.000000,0.609524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,11,26,9,18,39,76,43,74,31,42,11,11,70,82
run_1v6_myITALY_mysearchbot_oppconsistent_seed9_v2,9,1v6,ITALY,searchbot,consistent,stop_after_W1913A,W1913A,57,0,0,2,12,0,5,15,0.000000,0.000000,0.010050,0.361809,0.000000,0.062814,0.565327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,7,10,13,24,36,65,49,66,20,46,31,60,55,107
