game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myRUSSIA_mysearchbot_oppconsistent_seed0_v2,0,1v6,RUSSIA,searchbot,consistent,stop_after_W1913A,W1913A,59,6,5,8,5,5,0,5,0.180000,0.125000,0.320000,0.125000,0.125000,0.000000,0.125000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,33,51,31,39,37,61,40,60,36,54,12,21,33,59
run_1v6_myRUSSIA_mysearchbot_oppconsistent_seed1_v2,1,1v6,RUSSIA,searchbot,consistent,stop_after_W1913A,W1913A,60,11,0,17,0,6,0,0,0.271300,0.000000,0.647982,0.000000,0.080717,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,44,75,9,18,59,100,47,62,31,44,3,15,26,41
run_1v6_myRUSSIA_mysearchbot_oppconsistent_seed2_v2,2,1v6,RUSSIA,searchbot,consistent,stop_after_W1913A,W1913A,57,0,10,5,2,10,1,6,0.000000,0.375940,0.093985,0.015038,0.375940,0.003759,0.135338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,8,15,37,61,54,71,14,31,55,78,26,44,42,56
run_1v6_myRUSSIA_mysearchbot_oppconsistent_seed3_v2,3,1v6,RUSSIA,searchbot,consistent,max_phases,S1914M,60,0,0,9,10,0,0,15,0.000000,0.000000,0.199507,0.246305,0.000000,0.000000,0.554187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,10,13,25,26,44,63,42,70,31,48,7,13,68,98
run_1v6_myRUSSIA_mysearchbot_oppconsistent_seed4_v2,4,1v6,RUSSIA,searchbot,consistent,stop_after_W1913A,W1913A,58,2,7,6,5,2,0,12,0.015267,0.187023,0.137405,0.095420,0.015267,0.000000,0.549618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,46,32,50,32,76,25,49,19,19,28,50,34,44
run_1v6_myRUSSIA_mysearchbot_oppconsistent_seed5_v2,5,1v6,RUSSIA,searchbot,consistent,max_phases,F1916R,60,14,0,8,10,0,0,2,0.538462,0.000000,0.175824,0.274725,0.000000,0.000000,0.010989,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,54,119,14,18,60,90,54,88,10,19,5,42,28,53
run_1v6_myRUSSIA_mysearchbot_oppconsistent_seed6_v2,6,1v6,RUSSIA,searchbot,consistent,stop_after_W1913A,W1913A,60,10,0,4,11,6,0,3,0.354610,0.000000,0.056738,0.429078,0.127660,0.000000,0.031915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,79,8,17,46,72,58,79,29,32,15,26,28,35
run_1v6_myRUSSIA_mysearchbot_oppconsistent_seed7_v2,7,1v6,RUSSIA,searchbot,consistent,max_phases,F1915R,60,0,8,9,0,1,0,16,0.000000,0.159204,0.201493,0.000000,0.002488,0.000000,0.636816,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,4,4,48,67,58,136,20,40,22,31,16,46,88,106
run_1v6_myRUSSIA_mysearchbot_oppconsistent_seed8_v2,8,1v6,RUSSIA,searchbot,consistent,stop_after_W1913A,W1913A,60,8,2,13,7,0,0,4,0.211921,0.013245,0.559603,0.162252,0.000000,0.000000,0.052980,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,40,59,49,81,58,83,30,52,9,15,15,29,28,34
run_1v6_myRUSSIA_mysearchbot_oppconsistent_seed9_v2,9,1v6,RUSSIA,searchbot,consistent,stop_after_W1913A,W1913A,59,1,0,0,17,7,0,9,0.002381,0.000000,0.000000,0.688095,0.116667,0.000000,0.192857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,42,78,9,12,38,47,63,101,29,43,10,18,34,50
